County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Allegany,11996.5,0.393797,5231.5,2357.2,24001
Anne Arundel,30793.0,0.605138,15500.0,10572.0,24003
Baltimore,90454.0,0.634964,41792.0,28777.0,24005
Calvert,4247.9,0.139084,1850.2,475.9,24009
Caroline,3380.4,0.532694,1919.0,1113.3,24011
Carroll,10421.0,0.800691,5089.0,4196.0,24013
Cecil,12430.0,0.308206,5044.0,2108.0,24015
Charles,12773.0,0.504971,6704.0,3937.0,24017
Dorchester,3756.0,0.532694,2132.2,1237.0,24019
Frederick,15205.0,0.627162,6854.0,4852.0,24021
Garrett,4907.6,0.393797,2140.1,964.3,24023
Harford,22498.0,0.797404,11158.0,8298.0,24025
Howard,18044.0,0.632343,7899.0,4658.0,24027
Kent,2253.6,0.532694,1279.3,742.2,24029
Montgomery,73934.0,0.62403,34432.0,23798.0,24031
Prince George's,110600.0,0.660099,45771.0,31930.0,24033
Queen Anne's,5258.4,0.532694,2985.1,1731.8,24035
St. Mary's,7074.1,0.624131,3063.8,1795.1,24037
Somerset,4278.1,0.467862,1880.7,1114.2,24039
Talbot,4131.6,0.532694,2345.4,1360.7,24041
Washington,21299.9,0.401937,8953.4,4394.4,24043
Wicomico,12834.2,0.467862,5642.2,3342.7,24045
Worcester,11000.7,0.467862,4836.1,2865.1,24047
Baltimore city,113378.0,0.462903,61948.0,32643.0,24510
