PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00101,8085,18540,4442,3643,7301,140,0.4505875077303649,14465,8742,0.6043553404770134
00201,8240,19664,4167,4073,7917,85,0.4942961165048544,14521,9313,0.6413470146684113
00301,3953,9833,1301,2652,5584,40,0.6708828737667594,9870,7292,0.7388044579533941
00302,2901,5372,701,2200,3952,42,0.7583591864874182,5431,3775,0.6950837783097036
00400,5089,10421,893,4196,8344,64,0.8245234820200432,8570,6878,0.8025670945157526
00501,3331,4709,628,2703,3683,35,0.8114680276193336,4741,4058,0.8559375659143641
00502,7829,21901,2475,5354,13806,56,0.6838676714778388,15138,11498,0.7595455145990223
00503,6283,11920,1916,4367,7718,54,0.6950501352856916,11267,9116,0.8090884885062573
00504,5335,11922,2070,3265,6955,45,0.6119962511715089,8280,5897,0.7121980676328502
00505,4537,10294,1378,3159,6655,36,0.6962750716332379,7993,6084,0.7611660202677343
00506,7952,16494,2922,5030,10095,79,0.6325452716297787,14479,10358,0.7153808964707508
00507,6525,13214,1626,4899,8523,58,0.7508045977011494,9110,6924,0.7600439077936334
00601,3740,5765,866,2874,4344,42,0.7684491978609626,7142,6009,0.8413609633155978
00602,7418,16733,1994,5424,13596,60,0.7311943920194123,10940,8066,0.7372943327239488
00700,5044,12430,2936,2108,3831,48,0.41792228390166536,8277,4338,0.5241029358463212
00801,18270,34001,8233,10037,15816,134,0.5493705528188286,25445,14204,0.558223619571625
00802,13358,21760,5559,7799,11795,122,0.5838448869591256,18101,11364,0.6278106181978896
00803,8746,16173,5010,3736,6282,65,0.42716670477932767,13733,7676,0.558945605475861
00804,9259,17780,4965,4294,7499,78,0.46376498541959177,13422,6958,0.5184026225599762
00805,12315,23664,5538,6777,11091,99,0.5503045066991474,16266,8245,0.5068855280954138
00901,1726,5723,593,1133,3671,16,0.6564310544611819,4259,3666,0.8607654378962197
00902,5308,10612,2145,3163,6791,25,0.5958929917106255,6762,4463,0.6600118308192843
00903,865,1709,503,362,948,10,0.4184971098265896,3748,2356,0.6286019210245464
01001,1941,3763,372,1569,3200,26,0.8083462132921174,3350,2703,0.806865671641791
01002,4163,9286,1415,2748,5653,30,0.6601008887821282,6960,5116,0.7350574712643678
01003,6302,11596,1531,4771,7423,56,0.7570612503966995,12214,8366,0.684951694776486
01004,3367,5140,656,2711,4056,35,0.8051678051678052,5135,4028,0.7844206426484908
01005,6631,18415,1986,4645,10827,51,0.7004976624943448,10330,7390,0.7153920619554696
01006,4554,9960,1973,2581,5053,40,0.5667545015371103,7736,5270,0.6812306101344364
01007,5718,12331,2539,3179,6968,48,0.555963623644631,8411,5057,0.6012364760432767
01008,1756,3443,162,1594,2957,17,0.907744874715262,3588,2799,0.7801003344481605
01101,9970,29394,2793,7177,19917,66,0.7198595787362086,12932,9412,0.7278069904113826
01102,6067,15513,2464,3603,7992,42,0.5938684687654524,9134,5884,0.6441865557258595
01103,6258,17818,1400,4858,13641,56,0.7762863534675615,9974,7410,0.7429316222177662
01104,7024,15484,2358,4666,10407,57,0.6642938496583144,10913,8175,0.7491065701456978
01105,4797,9299,369,4428,8146,41,0.9230769230769231,7691,6935,0.9017032895592251
01106,3764,8278,1623,2141,3885,37,0.5688097768331563,6042,4182,0.692154915590864
01107,7891,14814,2834,5057,9019,56,0.6408566721581549,11101,6743,0.6074227547067832
01201,2926,5766,615,2311,3976,25,0.7898154477101845,6139,5299,0.863169897377423
01202,4796,11404,2289,2507,6047,45,0.5227272727272727,9232,5979,0.6476386481802426
01203,2019,4493,540,1479,2400,25,0.7325408618127786,3215,2622,0.815552099533437
01204,2842,4328,1073,1769,1987,35,0.6224489795918368,6386,4704,0.7366113373003444
01205,2917,4802,411,2506,4224,34,0.8591018169352074,5195,3837,0.738594802694899
01300,10661,18780,4476,6185,10004,132,0.5801519557264797,17619,11576,0.6570179919405188
01400,12359,28113,5037,7322,13153,117,0.5924427542681446,19892,12321,0.6193947315503721
01501,2045,4695,1519,526,653,15,0.2572127139364303,5435,2888,0.5313707451701932
01601,2869,6627,1124,1745,4353,27,0.6082258626699198,4636,3044,0.6566005176876618
01700,6704,12773,2767,3937,6450,49,0.5872613365155132,9490,6131,0.6460484720758694
