County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Androscoggin,21470.0,0.16381,8359.0,2352.0,23001
Aroostook,12024.5,0.412774,6618.9,2868.8,23003
Cumberland,18961.0,0.585795,11700.6,7203.4,23005
Franklin,5937.0,0.328507,2898.2,1219.1,23007
Hancock,6440.7,0.51001,3421.1,2038.4,23009
Kennebec,14852.0,0.243604,7098.0,2380.0,23011
Knox,4651.6,0.51001,2470.8,1472.2,23013
Lincoln,3578.2,0.51001,1900.6,1132.4,23015
Oxford,11280.3,0.328507,5506.7,2316.3,23017
Penobscot,20629.2,0.466828,11114.1,5772.8,23019
Piscataquis,4749.6,0.328507,2318.6,975.3,23021
Sagadahoc,2319.2,0.552121,1241.4,800.7,23023
Somerset,11874.0,0.328507,5796.5,2438.2,23025
Waldo,2862.5,0.51001,1520.5,906.0,23027
Washington,7014.3,0.412774,3861.0,1673.4,23029
York,14804.8,0.528428,8508.0,4621.9,23031
