PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,12962,23548,7344,5618,9720,231,0.43342076839993826,23347,13576,0.5814879856084294
00200,16520,33841,9571,6949,11117,195,0.4206416464891041,25426,14391,0.5659954377408951
00300,8632,16120,3935,4697,7769,76,0.5441380908248378,14206,9044,0.6366324088413347
00400,7098,14852,4718,2380,3618,53,0.33530571992110453,14152,7484,0.5288298473713963
00500,9313,17533,3764,5549,8942,128,0.5958337807366048,17090,11739,0.6868929198361615
00600,8359,21470,6007,2352,3517,55,0.28137337002033735,15875,7215,0.45448818897637794
00700,4000,7473,1420,2580,4126,33,0.645,7783,6266,0.8050880123345754
00800,7780,13524,3219,4561,7554,58,0.5862467866323907,14618,9717,0.6647284170201122
00900,4538,7922,2678,1860,3449,20,0.40987219039224326,8619,5628,0.6529759832927253
01000,5132,7166,1507,3625,5082,31,0.7063522992985191,10857,8699,0.8012342267661416
