County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Alcona,2664.7,0.521412,1276.9,750.3,26001
Alger,1641.4,0.496149,833.2,480.7,26003
Allegan,14450.0,0.55654,6275.0,4181.0,26005
Alpena,4885.2,0.521412,2341.0,1375.6,26007
Antrim,3495.6,0.522142,1725.6,1072.4,26009
Arenac,2717.4,0.582844,1439.9,927.2,26011
Baraga,1316.0,0.521958,661.5,375.4,26013
Barry,5962.3,0.528944,3193.7,1691.1,26015
Bay,16973.7,0.429807,8712.6,4104.0,26017
Benzie,2037.8,0.639793,1076.1,730.7,26019
Berrien,22452.0,0.615714,11815.0,7766.0,26021
Branch,6396.4,0.613388,2985.0,1937.8,26023
Calhoun,14905.7,0.528944,7984.3,4227.9,26025
Cass,8866.6,0.319295,3618.2,1751.4,26027
Charlevoix,4448.9,0.522142,2196.2,1364.9,26029
Cheboygan,4441.1,0.521412,2128.2,1250.5,26031
Chippewa,6975.8,0.496149,3541.2,2043.0,26033
Clare,8288.4,0.610649,3753.6,2273.7,26035
Clinton,8301.2,0.474691,3829.9,2244.3,26037
Crawford,2220.5,0.521412,1064.1,625.3,26039
Delta,5334.4,0.496149,2707.9,1562.3,26041
Dickinson,3070.7,0.521958,1543.4,876.0,26043
Eaton,10466.8,0.474691,4829.1,2829.7,26045
Emmet,3495.6,0.522142,1725.6,1072.4,26047
Genesee,80209.9,0.447762,35500.1,16845.2,26049
Gladwin,3882.0,0.582844,2057.0,1324.6,26051
Gogebic,3070.7,0.521958,1543.4,876.0,26053
Grand Traverse,6986.8,0.639793,3689.4,2505.4,26055
Gratiot,6907.0,0.610649,3128.0,1894.8,26057
Hillsdale,6932.1,0.631397,3177.8,1938.7,26059
Houghton,5264.1,0.521958,2645.8,1501.8,26061
Huron,7808.8,0.528239,3366.4,2009.2,26063
Ingham,41606.0,0.703721,24284.0,17265.0,26065
Ionia,10726.7,0.517258,4979.2,2559.7,26067
Iosco,4658.4,0.582844,2468.4,1589.5,26069
Iron,2193.4,0.521958,1102.4,625.7,26071
Isabella,12432.6,0.610649,5630.4,3410.6,26073
Jackson,21279.0,0.415903,10504.0,4886.0,26075
Kalamazoo,32255.0,0.644799,16111.0,10346.0,26077
Kalkaska,1906.7,0.522142,941.2,584.9,26079
Kent,68409.0,0.590069,30702.0,20011.0,26081
Keweenaw,1316.0,0.521958,661.5,375.4,26083
Lake,2403.2,0.459222,1121.4,546.1,26085
Lapeer,8403.4,0.553856,4218.9,2492.6,26087
Leelanau,2911.2,0.639793,1537.3,1043.9,26089
Lenawee,13330.9,0.631397,6111.2,3728.3,26091
Livingston,11812.0,0.568574,6355.0,3502.0,26093
Luce,1641.4,0.496149,833.2,480.7,26095
Mackinac,2462.0,0.496149,1249.8,721.1,26097
Macomb,96496.0,0.493243,44388.0,26402.0,26099
Manistee,2911.2,0.639793,1537.3,1043.9,26101
Marquette,11844.3,0.521958,5953.1,3379.0,26103
Mason,5407.3,0.459222,2523.1,1228.8,26105
Mecosta,8715.5,0.517258,4045.6,2079.7,26107
Menominee,3282.7,0.496149,1666.4,961.4,26109
Midland,12730.3,0.429807,6534.4,3078.0,26111
Missaukee,1588.9,0.522142,784.4,487.5,26113
Monroe,19241.0,0.508965,8728.0,5721.0,26115
Montcalm,9385.9,0.517258,4356.8,2239.7,26117
Montmorency,2220.5,0.521412,1064.1,625.3,26119
Muskegon,30309.0,0.359068,14396.0,6809.0,26121
Newaygo,6608.9,0.459222,3083.8,1501.8,26123
Oakland,108775.0,0.581007,57063.0,35674.0,26125
Oceana,4806.5,0.459222,2242.8,1092.2,26127
Ogemaw,3105.6,0.582844,1645.6,1059.7,26129
Ontonagon,1754.7,0.521958,881.9,500.6,26131
Osceola,4692.9,0.517258,2178.4,1119.9,26133
Oscoda,2220.5,0.521412,1064.1,625.3,26135
Otsego,2664.7,0.521412,1276.9,750.3,26137
Ottawa,34942.0,0.666991,14349.0,10893.0,26139
Presque Isle,3108.8,0.521412,1489.7,875.4,26141
Roscommon,5046.6,0.582844,2674.1,1722.0,26143
Saginaw,30666.0,0.39878,14374.0,6540.0,26145
St. Clair,18264.0,0.474485,10416.0,5668.0,26147
St. Joseph,8856.6,0.613388,4133.0,2683.2,26149
Sanilac,7808.8,0.528239,3366.4,2009.2,26151
Schoolcraft,1641.4,0.496149,833.2,480.7,26153
Shiawassee,7802.7,0.444301,3466.0,1959.2,26155
Tuscola,8409.4,0.528239,3625.3,2163.7,26157
Van Buren,13595.4,0.319295,5547.8,2685.6,26159
Washtenaw,45608.0,0.557907,21472.0,13485.0,26161
Wayne,377016.0,0.354375,169396.0,71047.0,26163
Wexford,2542.3,0.522142,1255.0,779.9,26165
