PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,14993,29830,6483,8510,15570,214,0.5675982124991663,26812,18007,0.6716022676413547
00200,11665,22979,4935,6730,11401,206,0.576939562794685,20285,14005,0.6904116342124723
00300,11705,24426,4827,6878,12736,232,0.5876121315677061,21276,14490,0.6810490693739425
00400,8628,17478,3266,5362,9126,201,0.6214649976819657,17536,12473,0.7112796532846716
00500,7840,14847,2516,5324,9499,127,0.6790816326530612,15472,11717,0.7573035160289555
00600,8971,19226,4602,4369,8829,203,0.48701371084605954,16226,9258,0.5705657586589424
00700,14396,30309,7587,6809,10883,118,0.47297860516810225,23608,13136,0.5564215520162656
00801,7129,18761,2042,5087,10624,42,0.7135643147706551,12312,10023,0.8140838206627681
00802,7220,16181,1414,5806,12682,47,0.8041551246537396,12786,10443,0.816752698263726
00900,6275,14450,2094,4181,8042,61,0.6662948207171314,11071,8236,0.7439255713124379
01001,4760,10523,1687,3073,5685,36,0.6455882352941177,12009,8203,0.6830710300607877
01002,15318,35632,6819,8499,17917,89,0.554837446141794,23738,13380,0.5636532142556239
01003,5750,12818,471,5279,11438,38,0.9180869565217391,9791,8750,0.8936778674292718
01004,4874,9436,1714,3160,5326,42,0.6483381206401313,9855,7058,0.7161846778285135
01100,15560,33521,7561,7999,17339,236,0.5140745501285348,24015,14735,0.6135748490526755
01200,12512,27628,4933,7579,16871,161,0.6057384910485933,19826,13379,0.6748209421971149
01300,10285,19410,3662,6623,11313,201,0.6439474963539135,19196,13417,0.698947697436966
01400,15247,29704,8065,7182,12767,148,0.4710434839640585,25147,14809,0.5888972839702549
01500,14374,30666,7834,6540,12229,123,0.45498817309030193,24686,13405,0.5430203354127846
01600,10358,24027,4176,6182,12692,217,0.5968333655145781,17789,12649,0.711057395019394
01701,7383,14706,3021,4362,8145,78,0.5908167411621292,13650,9924,0.727032967032967
01702,9772,22782,4564,5208,11711,53,0.5329512893982808,14663,8742,0.5961945031712473
01703,16017,36387,9950,6067,14165,109,0.3787850408940501,22032,9312,0.4226579520697168
01704,10013,22541,4353,5660,10015,108,0.5652651552981125,17739,11400,0.6426517842042956
01801,13513,23613,1811,11702,20398,92,0.8659809072744764,20383,17022,0.8351076877790315
01802,10771,17993,5208,5563,8881,64,0.5164794355213073,17606,11085,0.6296149040099966
01900,8659,18768,3585,5074,8909,95,0.5859799053008431,14762,10550,0.7146728085625254
02000,11178,20868,5259,5919,11038,125,0.5295222758990875,22165,14473,0.6529663884502594
02101,7108,14426,2181,4927,9694,54,0.6931626336522229,13029,8787,0.6744186046511628
02102,9003,17829,3584,5419,11104,58,0.601910474286349,15048,9176,0.6097820308346624
02200,7118,15253,2497,4621,9356,114,0.6491992132621522,14725,11618,0.7889983022071307
02300,9166,22462,4729,4437,7172,116,0.48407156884137026,15140,9710,0.6413474240422721
02400,11815,22452,4049,7766,13824,114,0.6573000423190859,20770,14893,0.717043813192104
02500,9289,20263,3622,5667,12794,137,0.6100764344924103,17585,12591,0.7160079613306796
02600,10504,21279,5618,4886,8850,100,0.46515613099771513,16812,9663,0.574768022840828
02701,2623,5755,868,1755,3149,26,0.6690812047274114,5261,3667,0.697015776468352
02702,9841,20663,2227,7614,16122,61,0.7737018595671171,14099,11469,0.8134619476558621
02703,9008,19190,4892,4116,6174,58,0.45692717584369447,13036,7168,0.5498619208346118
02800,6355,11812,2853,3502,6716,43,0.5510621557828481,10717,7231,0.67472240365774
02901,5935,12565,1967,3968,8318,42,0.6685762426284751,10127,7625,0.752937691320233
02902,3804,8818,1586,2218,3863,32,0.5830704521556257,6153,4142,0.6731675605395742
02903,5464,10418,1716,3748,7125,50,0.6859443631039531,8699,6667,0.7664099321761122
02904,13071,27844,4999,8072,14760,82,0.6175503021957004,19438,13191,0.678619199506122
02905,4529,8326,716,3813,6108,38,0.8419077058953411,9134,8361,0.9153711407926429
02906,4598,10671,1368,3230,5929,43,0.7024793388429752,6421,4706,0.73290764678399
02907,9633,14672,4057,5576,9151,57,0.5788435586006436,15934,10384,0.6516882138822644
02908,10029,15461,4980,5049,7945,66,0.5034400239306013,18133,12376,0.6825125461865108
03001,5419,8416,1244,4175,6325,42,0.7704373500645876,8849,7164,0.809583003729235
03002,5004,10038,1116,3888,4975,36,0.7769784172661871,9178,7597,0.8277402484201352
03003,8823,22389,3508,5315,11684,62,0.6024028108353168,13576,9047,0.6663965822038892
03004,9418,18878,4222,5196,7970,72,0.5517094924612445,17176,10543,0.6138216115510013
03005,8246,17142,3675,4571,9787,75,0.5543293718166383,14169,8393,0.592349495377232
03006,7478,19633,4221,3257,6855,53,0.4355442631719711,19087,10599,0.5552994184523498
03100,10416,18264,4748,5668,8666,105,0.544162826420891,19166,12022,0.6272566002295732
03201,7205,13655,3307,3898,6417,59,0.5410131852879945,10252,6683,0.6518728053062817
03202,7314,12478,2098,5216,8570,64,0.7131528575334974,10808,8369,0.7743338267949667
03203,15049,47008,7575,7474,20434,89,0.4966442953020134,23563,13397,0.5685608793447354
03204,15085,25359,9369,5716,8147,85,0.37891945641365593,23198,11955,0.5153461505302182
03205,7293,16481,3142,4151,8539,46,0.5691759221170986,13868,8590,0.6194115950389386
03206,4322,7427,989,3333,5343,36,0.7711707542804257,8990,6751,0.7509454949944383
03207,9220,21172,4118,5102,8580,71,0.5533622559652929,15292,9425,0.6163353387392101
03208,22830,52281,16280,6550,12062,118,0.28690319754708715,33157,13533,0.40814910878547517
03209,15829,35817,9537,6292,10399,82,0.39749826268241834,21955,9400,0.4281484855386017
03210,17429,43615,11435,5994,13901,93,0.34390957599403293,24108,10160,0.4214368674298988
03211,22023,40431,14557,7466,10968,126,0.3390092176361077,26986,10848,0.40198621507448307
03212,16351,34542,10141,6210,13169,104,0.37979328481438446,23859,10205,0.42772119535605013
03213,9446,26750,5801,3645,7076,59,0.3858776201566801,14172,6942,0.4898391193903472
03300,8728,19241,3007,5721,9793,64,0.6554766269477543,15989,12263,0.7669647882919507
