County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Aitkin,2487.3,0.542788,1333.1,849.5,27001
Anoka,26003.0,0.579356,12286.0,8112.0,27003
Becker,4588.8,0.491577,1973.8,1108.3,27005
Beltrami,5382.1,0.466909,2626.4,1469.1,27007
Benton,4445.3,0.530855,2361.2,1564.9,27009
Big Stone,792.6,0.660174,390.4,249.4,27011
Blue Earth,7213.2,0.790819,4149.6,3345.4,27013
Brown,2288.9,0.588507,1566.4,850.4,27015
Carlton,2798.2,0.542788,1499.7,955.6,27017
Carver,8129.0,1.0,3062.0,3062.0,27019
Cass,4005.4,0.458431,2034.2,1136.6,27021
Chippewa,1321.0,0.660174,650.6,415.7,27023
Chisago,3956.9,0.65209,2292.9,1652.8,27025
Clay,10361.6,0.49625,4096.9,2620.8,27027
Clearwater,1376.7,0.491577,592.2,332.5,27029
Cook,930.5,0.667318,610.5,411.0,27031
Cottonwood,1700.6,0.453605,809.0,451.6,27033
Crow Wing,7836.7,0.682991,4070.3,2684.3,27035
Dakota,24003.0,0.814023,13568.0,11274.0,27037
Dodge,1858.3,0.618834,885.2,659.4,27039
Douglas,2906.1,0.660174,1431.3,914.6,27041
Faribault,1716.7,0.588507,1174.8,637.8,27043
Fillmore,2230.0,0.618834,1062.2,791.3,27045
Freeborn,2861.2,0.588507,1957.9,1062.9,27047
Goodhue,5362.1,0.784874,2254.6,1699.9,27049
Grant,528.4,0.660174,260.2,166.3,27051
Hennepin,123928.0,0.597758,65016.0,41779.0,27053
Houston,1858.3,0.618834,885.2,659.4,27055
Hubbard,2548.9,0.458431,1294.5,723.3,27057
Isanti,2739.4,0.65209,1587.4,1144.2,27059
Itasca,7646.7,0.458431,3883.5,2169.9,27061
Jackson,1700.6,0.453605,809.0,451.6,27063
Kanabec,1243.6,0.542788,666.5,424.7,27065
Kandiyohi,6245.2,0.736446,2651.4,2073.4,27067
Kittson,917.8,0.491577,394.8,221.7,27069
Koochiching,1820.6,0.458431,924.6,516.6,27071
Lac qui Parle,792.6,0.660174,390.4,249.4,27073
Lake,1163.1,0.667318,763.2,513.8,27075
Lake of the Woods,1376.7,0.491577,592.2,332.5,27077
Le Sueur,3996.0,0.286458,1588.8,804.4,27079
Lincoln,850.3,0.453605,404.5,225.8,27081
Lyon,2976.0,0.453605,1415.8,790.3,27083
McLeod,4683.9,0.736446,1988.5,1555.1,27085
Mahnomen,917.8,0.491577,394.8,221.7,27087
Marshall,1835.5,0.491577,789.5,443.3,27089
Martin,2002.8,0.588507,1370.6,744.1,27091
Meeker,3122.6,0.736446,1325.7,1036.7,27093
Mille Lacs,2130.7,0.65209,1234.7,890.0,27095
Morrison,2985.4,0.682991,1550.6,1022.6,27097
Mower,4088.3,0.618834,1947.4,1450.8,27099
Murray,1275.4,0.453605,606.8,338.7,27101
Nicollet,3155.8,0.790819,1815.4,1463.6,27103
Nobles,2550.9,0.453605,1213.5,677.4,27105
Norman,1376.7,0.491577,592.2,332.5,27107
Olmsted,13463.0,0.643542,8078.0,4305.0,27109
Otter Tail,11009.2,0.49625,4353.0,2784.6,27111
Pennington,2294.4,0.491577,986.9,554.1,27113
Pine,2798.2,0.542788,1499.7,955.6,27115
Pipestone,2125.8,0.453605,1011.2,564.5,27117
Polk,4588.8,0.491577,1973.8,1108.3,27119
Pope,1056.8,0.660174,520.5,332.6,27121
Ramsey,52795.0,0.458926,23764.0,13228.0,27123
Red Lake,917.8,0.491577,394.8,221.7,27125
Redwood,2550.9,0.453605,1213.5,677.4,27127
Renville,3122.6,0.736446,1325.7,1036.7,27129
Rice,9133.8,0.286458,3631.6,1838.7,27131
Rock,1275.4,0.453605,606.8,338.7,27133
Roseau,2294.4,0.491577,986.9,554.1,27135
St. Louis,22893.2,0.59796,11711.2,7495.8,27137
Scott,7687.0,0.73982,4163.0,3411.0,27139
Sherburne,13609.7,0.578549,3978.6,2196.2,27141
Sibley,2081.7,0.736446,883.8,691.1,27143
Stearns,15517.9,0.543328,8234.8,5531.9,27145
Steele,4566.9,0.286458,1815.8,919.3,27147
Stevens,792.6,0.660174,390.4,249.4,27149
Swift,1056.8,0.660174,520.5,332.6,27151
Todd,2985.4,0.682991,1550.6,1022.6,27153
Traverse,528.4,0.660174,260.2,166.3,27155
Wabasha,2924.8,0.784874,1229.8,927.2,27157
Wadena,1119.5,0.682991,581.5,383.5,27159
Waseca,2854.3,0.286458,1134.9,574.6,27161
Washington,16876.0,0.582069,6859.0,4985.0,27163
Watonwan,858.4,0.588507,587.4,318.9,27165
Wilkin,1295.2,0.49625,512.1,327.6,27167
Winona,6337.1,0.784874,2664.6,2008.9,27169
Wright,7944.2,0.693846,3874.4,2610.1,27171
Yellow Medicine,1056.8,0.660174,520.5,332.6,27173
