PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00101,10264,23862,4501,5763,11730,214,0.5614770070148091,16060,10806,0.6728518057285181
00201,10171,20027,4488,5683,9181,179,0.5587454527578409,17362,11933,0.6873056099527705
00301,6716,10235,2195,4521,6830,93,0.6731685527099464,11526,8468,0.7346867950720111
00401,5869,13819,2288,3581,7750,40,0.6101550519679673,12177,9277,0.761846103309518
00501,5499,10260,1995,3504,5569,150,0.6372067648663393,11093,8450,0.7617416388713604
00600,7753,14927,2640,5113,10195,154,0.659486650328905,14426,11293,0.7828226812699293
00700,8962,22666,3229,5733,11248,109,0.6397009596072305,14869,11187,0.752370704149573
00800,5335,10832,1926,3409,7151,115,0.638987816307404,10472,7793,0.7441749427043545
00901,3530,6724,804,2726,4576,59,0.7722379603399433,9020,7379,0.8180709534368071
01001,7739,14500,2952,4787,6807,34,0.618555368910712,11907,8568,0.7195767195767195
01101,3889,14528,1795,2094,8567,18,0.5384417588068913,6657,4416,0.6633618747183416
01200,5115,8827,1428,3687,5756,70,0.7208211143695015,8597,6810,0.7921367919041526
01301,4037,6240,857,3180,4544,18,0.7877136487490711,5566,4690,0.8426158821415738
01302,5750,12330,2386,3364,7398,35,0.5850434782608696,10892,8014,0.7357693720161587
01303,2499,7433,931,1568,3123,13,0.6274509803921569,4426,2626,0.5933122458201536
01401,4178,9971,836,3342,6312,25,0.7999042604116803,8255,6042,0.7319200484554815
01402,2681,6905,1038,1643,3511,13,0.6128310331965684,5547,4308,0.7766360194699837
01501,3081,6256,796,2285,4852,20,0.741642323920805,8240,6576,0.7980582524271844
01502,3687,5094,661,3026,4433,25,0.8207214537564416,5937,5026,0.8465554994104767
01503,9444,26153,5946,3498,6814,40,0.3703939008894536,14433,7217,0.500034642832398
01504,4197,8208,1287,2910,4208,20,0.6933523945675483,6673,5386,0.8071332234377342
01505,3355,7084,1846,1509,3922,14,0.4497764530551416,7219,3680,0.5097658955534008
01601,3979,6117,472,3507,5471,24,0.8813772304599146,5782,5310,0.9183673469387755
01602,2572,7060,536,2036,6082,12,0.7916018662519441,6395,5428,0.8487881157154027
01603,6097,12366,1519,4578,9958,23,0.7508610792192881,10463,8764,0.8376182739176145
01604,7688,16291,2427,5261,11153,32,0.6843132154006244,10087,7187,0.7125012392187965
01605,2255,6079,480,1775,3904,10,0.7871396895787139,4372,2903,0.6639981701738334
01606,4790,9054,736,4054,6528,29,0.8463465553235908,7441,6321,0.8494825964252116
01607,6605,10558,1328,5277,7153,34,0.7989401968205905,9830,8187,0.8328585961342828
01608,9031,14974,3849,5182,6207,39,0.5738013509024471,11992,7352,0.6130753835890593
01609,9530,15535,4878,4652,8025,36,0.4881427072402938,16684,11188,0.6705825941021338
01610,3314,7254,178,3136,6186,15,0.9462884731442366,4969,4791,0.9641779029985913
01611,9155,18640,6834,2321,3412,26,0.2535226652102676,13620,6069,0.44559471365638764
01701,4353,4647,684,3669,3963,23,0.8428669882839421,5727,4874,0.8510563995110878
01702,3351,5398,401,2950,4072,17,0.8803342285884811,7600,6674,0.8781578947368421
01703,4871,12064,1179,3692,9730,23,0.7579552453295011,8960,7433,0.8295758928571428
01704,993,1894,30,963,1774,12,0.9697885196374623,2021,1829,0.904997525977239
01800,4163,7687,752,3411,5687,19,0.8193610377131876,6914,5997,0.8673705525021695
01900,3062,8129,0,3062,8129,24,1.0,5123,4692,0.9158696076517665
02001,3291,5765,995,2296,4227,34,0.6976602856274688,6516,5016,0.7697974217311234
02100,8175,19256,1782,6393,14181,118,0.7820183486238532,14348,11355,0.7913994981879008
02200,8090,17006,3574,4516,7714,149,0.5582200247218788,13750,9525,0.6927272727272727
02300,6657,9728,3043,3614,5725,89,0.5428871864203094,13150,9372,0.7126996197718631
02400,5965,10369,1156,4809,8200,45,0.8062028499580889,12537,10816,0.8627263300630135
02500,8171,20551,4034,4137,5887,79,0.5063027781177335,13197,7113,0.5389861332120937
02600,6149,14624,1513,4636,11478,64,0.7539437306879168,9063,7342,0.8101070285777336
02700,8078,13463,3773,4305,8664,44,0.5329289428076257,12179,8218,0.6747680433533131
02800,4780,10035,1219,3561,6210,99,0.744979079497908,8855,6971,0.7872388481084134
