County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adair,2603.9,0.773024,1428.5,1095.0,29001
Andrew,2826.5,0.477992,1237.1,773.7,29003
Atchison,751.8,0.72262,388.8,282.5,29005
Audrain,2463.6,0.606999,1296.3,799.7,29007
Barry,7013.0,0.63788,2832.8,1935.4,29009
Barton,2221.1,0.449388,915.7,484.6,29011
Bates,1565.4,0.581949,727.3,454.9,29013
Benton,3927.5,0.681254,2167.8,1503.3,29015
Bollinger,1845.6,0.417933,948.2,430.2,29017
Boone,26123.8,0.673408,12447.6,8968.0,29019
Buchanan,14697.6,0.477992,6432.7,4023.1,29021
Butler,7317.8,0.554827,3709.6,2361.5,29023
Caldwell,1727.0,0.553223,667.8,413.0,29025
Callaway,6857.6,0.55268,2666.3,1749.0,29027
Camden,8565.2,0.670752,4057.4,2913.2,29029
Cape Girardeau,11305.6,0.656658,5440.3,4044.5,29031
Carroll,1380.8,0.442482,684.8,338.1,29033
Carter,1219.6,0.554827,618.3,393.6,29035
Cass,9392.6,0.581949,4363.7,2729.1,29037
Cedar,2961.4,0.449388,1220.9,646.1,29039
Chariton,1380.8,0.442482,684.8,338.1,29041
Christian,9015.5,0.574816,3955.7,2706.4,29043
Clark,976.5,0.773024,535.7,410.6,29045
Clay,21217.0,0.705519,9321.0,7275.0,29047
Clinton,2878.3,0.553223,1112.9,688.3,29049
Cole,11221.6,0.55268,4363.1,2862.0,29051
Cooper,2301.4,0.442482,1141.4,563.5,29053
Crawford,3966.7,0.687675,1476.4,1024.0,29055
Dade,1480.7,0.449388,610.5,323.1,29057
Dallas,1963.8,0.681254,1083.9,751.6,29059
Daviess,751.8,0.72262,388.8,282.5,29061
DeKalb,1695.9,0.477992,742.2,464.2,29063
Dent,2439.3,0.554827,1236.5,787.2,29065
Douglas,2082.3,0.676628,1117.3,850.8,29067
Dunklin,6151.9,0.417933,3160.8,1434.1,29069
Franklin,13883.3,0.687675,5167.6,3584.0,29071
Gasconade,1618.4,0.64838,895.0,654.1,29073
Gentry,751.8,0.72262,388.8,282.5,29075
Greene,47815.5,0.650098,22134.8,15670.0,29077
Grundy,1503.5,0.72262,777.5,565.0,29079
Harrison,1127.6,0.72262,583.1,423.7,29081
Henry,4442.1,0.449388,1831.4,969.2,29083
Hickory,1963.8,0.681254,1083.9,751.6,29085
Holt,1127.6,0.72262,583.1,423.7,29087
Howard,1380.8,0.442482,684.8,338.1,29089
Howell,6941.0,0.676628,3724.2,2836.1,29091
Iron,2439.3,0.554827,1236.5,787.2,29093
Jackson,98823.0,0.525657,45422.0,26353.0,29095
Jasper,23733.7,0.477031,9912.5,4957.6,29097
Jefferson,25587.0,0.536522,10094.0,6364.0,29099
Johnson,8059.3,0.553223,3116.2,1927.3,29101
Knox,651.0,0.773024,357.1,273.8,29103
Laclede,4418.5,0.681254,2438.7,1691.2,29105
Lafayette,4605.3,0.553223,1780.7,1101.3,29107
Lawrence,7403.5,0.449388,3052.4,1615.3,29109
Lewis,1302.0,0.773024,714.2,547.5,29111
Lincoln,4575.3,0.606999,2407.4,1485.1,29113
Linn,1879.4,0.72262,971.9,706.2,29115
Livingston,1879.4,0.72262,971.9,706.2,29117
McDonald,4207.8,0.63788,1699.7,1161.3,29119
Macon,1627.4,0.773024,892.8,684.4,29121
Madison,2439.3,0.554827,1236.5,787.2,29123
Maries,971.0,0.64838,537.0,392.4,29125
Marion,2603.9,0.773024,1428.5,1095.0,29127
Mercer,751.8,0.72262,388.8,282.5,29129
Miller,4057.2,0.670752,1922.0,1379.9,29131
Mississippi,2460.8,0.417933,1264.3,573.6,29133
Moniteau,1803.2,0.670752,854.2,613.3,29135
Monroe,976.5,0.773024,535.7,410.6,29137
Montgomery,1407.8,0.606999,740.7,456.9,29139
Morgan,3606.4,0.670752,1708.4,1226.6,29141
New Madrid,3691.1,0.417933,1896.5,860.4,29143
Newton,10639.3,0.477031,4443.5,2222.4,29145
Nodaway,2255.3,0.72262,1166.3,847.4,29147
Oregon,2082.3,0.676628,1117.3,850.8,29149
Osage,1294.7,0.64838,716.0,523.2,29151
Ozark,2082.3,0.676628,1117.3,850.8,29153
Pemiscot,3691.1,0.417933,1896.5,860.4,29155
Perry,3212.6,0.422759,1489.1,694.7,29157
Pettis,5063.1,0.442482,2511.1,1239.6,29159
Phelps,3884.1,0.64838,2148.0,1569.7,29161
Pike,1759.7,0.606999,925.9,571.2,29163
Platte,7083.0,0.819992,4016.0,3271.0,29165
Polk,3927.5,0.681254,2167.8,1503.3,29167
Pulaski,4207.8,0.64838,2327.0,1700.5,29169
Putnam,751.8,0.72262,388.8,282.5,29171
Ralls,976.5,0.773024,535.7,410.6,29173
Randolph,2761.7,0.442482,1369.7,676.2,29175
Ray,3454.0,0.553223,1335.5,826.0,29177
Reynolds,1219.6,0.554827,618.3,393.6,29179
Ripley,2439.3,0.554827,1236.5,787.2,29181
St. Charles,19801.0,0.719156,10593.0,8206.0,29183
St. Clair,2221.1,0.449388,915.7,484.6,29185
Ste. Genevieve,3212.6,0.422759,1489.1,694.7,29186
St. Francois,12207.8,0.422759,5658.7,2639.9,29187
St. Louis,106880.0,0.662528,47908.0,36167.0,29189
Saline,3682.3,0.442482,1826.3,901.5,29195
Schuyler,751.8,0.72262,388.8,282.5,29197
Scotland,651.0,0.773024,357.1,273.8,29199
Scott,6545.4,0.656658,3149.7,2341.5,29201
Shannon,1219.6,0.554827,618.3,393.6,29203
Shelby,976.5,0.773024,535.7,410.6,29205
Stoddard,4921.5,0.417933,2528.6,1147.2,29207
Stone,8415.7,0.63788,3399.4,2322.5,29209
Sullivan,1127.6,0.72262,583.1,423.7,29211
Taney,12623.5,0.63788,5099.1,3483.8,29213
Texas,5552.8,0.676628,2979.4,2268.9,29215
Vernon,4442.1,0.449388,1831.4,969.2,29217
Warren,3167.5,0.606999,1666.7,1028.1,29219
Washington,3855.1,0.422759,1787.0,833.7,29221
Wayne,2439.3,0.554827,1236.5,787.2,29223
Webster,3796.0,0.574816,1665.6,1139.6,29225
Worth,375.9,0.72262,194.4,141.2,29227
Wright,2776.4,0.676628,1489.7,1134.5,29229
St. Louis city,64756.0,0.454305,34559.0,17691.0,29510
