PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,8164,15787,2232,5932,11408,222,0.7266046055854973,14970,12066,0.8060120240480962
00200,8412,19220,3151,5261,9187,103,0.6254160722776986,15366,11073,0.7206169465052714
00300,7321,13345,1709,5612,10316,155,0.7665619450894686,14948,11868,0.793952368209794
00400,7037,13374,2696,4341,8118,104,0.6168821941168111,14519,10843,0.7468145189062607
00501,9211,23690,3169,6042,13093,76,0.655954836608403,15552,11066,0.711548353909465
00601,10266,20513,2729,7537,14491,71,0.7341710500681863,18275,14975,0.8194254445964432
00700,8903,17951,4508,4395,7943,149,0.4936538245535213,17223,11790,0.684549730012193
00800,8013,20724,3057,4956,11465,110,0.6184949457132161,14862,10742,0.7227829363477325
00901,3280,7646,612,2668,5395,30,0.8134146341463414,7068,6204,0.8777589134125636
00902,6041,13571,1434,4607,9574,51,0.7626220824366826,10363,8649,0.834603879185564
01000,4016,7083,745,3271,5808,42,0.81449203187251,8424,7550,0.8962488129154795
01101,22173,46285,11056,11117,20104,146,0.5013755468362423,32964,19119,0.5799963596650892
01102,8243,17994,3015,5228,9716,63,0.6342351085769744,16092,11766,0.7311707680835198
01103,3792,8694,1344,2448,5099,37,0.6455696202531646,8504,6616,0.7779868297271872
01104,2764,7687,306,2458,7212,24,0.8892908827785818,4895,4589,0.9374872318692543
01105,8450,18163,3348,5102,9816,65,0.6037869822485207,20449,15543,0.7600860677783755
01200,5091,10958,1907,3184,6377,67,0.6254174032606561,11090,8436,0.7606853020739405
01300,10378,25172,4886,5492,11312,172,0.529196376951243,19311,13192,0.6831339650976127
01400,8942,16201,2741,6201,11037,124,0.6934690225900246,15546,11637,0.7485526823620224
01500,8542,18032,2409,6133,12095,114,0.7179817372980567,15431,12128,0.7859503596656082
01600,6623,11976,1783,4840,7765,97,0.730786652574362,13068,10634,0.8137434955616774
01700,6644,17850,2036,4608,12275,84,0.6935580975316075,13729,10788,0.7857819214800786
01801,1712,3408,271,1441,2543,19,0.8417056074766355,3475,3128,0.9001438848920863
01802,3874,6595,213,3661,6382,27,0.945018069179143,7455,7080,0.9496981891348089
01803,5007,9798,1903,3104,5315,35,0.6199320950669064,10805,8709,0.8060157334567329
01901,6000,15360,1644,4356,8995,32,0.726,11405,8936,0.7835160017536168
01902,6980,13402,1375,5605,9646,39,0.8030085959885387,13852,11356,0.8198094138030609
01903,15808,37682,6067,9741,19665,120,0.616206983805668,26886,18625,0.6927397158372387
01904,2731,3333,0,2731,3333,19,1.0,4708,4708,1.0
01905,3716,7951,467,3249,6907,31,0.8743272335844995,5901,5375,0.9108625656668361
01906,2718,8893,274,2444,8326,21,0.8991905813097866,5623,5280,0.9390005335230304
01907,6565,13346,1914,4651,7026,53,0.7084539223153085,12977,10694,0.8240733605609926
01908,3390,6913,0,3390,6913,31,1.0,6643,6408,0.9646244166792112
02001,20898,36312,11031,9867,16214,116,0.47215044501866205,31129,18073,0.5805840213305921
02002,13661,28444,5837,7824,13205,73,0.5727252763340898,21616,13782,0.6375832716506291
02101,3749,8182,1438,2311,4374,29,0.6164310482795412,5978,4390,0.7343593174974908
02102,6345,17405,2292,4053,9354,45,0.6387706855791963,12396,9799,0.7904969344949984
02200,10424,22488,5561,4863,9507,105,0.4665195702225633,16565,10185,0.6148505885904014
02300,8590,17851,2204,6386,11722,79,0.7434225844004656,13034,9990,0.766456958723339
02400,11695,22762,6389,5306,9513,179,0.4536981616075246,19644,11013,0.5606291997556506
02500,11747,23173,4269,7478,12857,168,0.636588065037882,22067,15745,0.7135088593827887
02600,11545,21517,2753,8792,14559,142,0.7615417929839757,21567,16875,0.7824454026985672
02701,7495,17082,2367,5128,9819,91,0.6841894596397599,15766,12188,0.7730559431688443
02702,11354,26336,4893,6461,13205,90,0.5690505548705302,20115,13746,0.6833706189410887
02703,8907,17209,980,7927,15425,57,0.8899741776131133,16694,15143,0.9070923685156344
02800,13031,32260,4128,8903,20578,163,0.6832169442099608,23856,17894,0.7500838363514419
02900,14356,34373,7176,7180,16397,141,0.5001393145723043,24986,15324,0.613303449931962
