County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adams,7397.7,0.617906,3913.8,2762.9,28001
Alcorn,8295.7,0.604504,3757.7,2533.4,28003
Amite,2959.1,0.617906,1565.5,1105.1,28005
Attala,4287.0,0.424662,2116.9,950.5,28007
Benton,2488.7,0.604504,1127.3,760.0,28009
Bolivar,9960.6,0.607987,3781.5,2185.9,28011
Calhoun,3226.5,0.529831,1466.2,1007.7,28013
Carroll,2143.5,0.424662,1058.4,475.3,28015
Chickasaw,3226.5,0.529831,1466.2,1007.7,28017
Choctaw,2320.8,0.559902,1217.3,743.0,28019
Claiborne,2219.3,0.617906,1174.1,828.9,28021
Clarke,3793.2,0.46798,1656.0,998.8,28023
Clay,3868.0,0.559902,2028.8,1238.3,28025
Coahoma,8248.6,0.523604,3205.0,1741.2,28027
Copiah,5926.3,0.485151,2324.8,1396.4,28029
Covington,3877.6,0.506044,1654.2,1039.6,28031
DeSoto,22560.0,0.707181,10055.0,7679.0,28033
Forrest,17128.9,0.665249,7538.6,5399.7,28035
Franklin,2219.3,0.617906,1174.1,828.9,28037
George,3830.5,0.701103,1960.0,1473.1,28039
Greene,3102.1,0.506044,1323.4,831.7,28041
Grenada,5001.5,0.424662,2469.7,1108.9,28043
Hancock,11491.6,0.701103,5880.0,4419.2,28045
Harrison,40785.0,0.55106,18433.0,11167.0,28047
Hinds,47722.5,0.493326,20934.3,12430.5,28049
Holmes,4287.0,0.424662,2116.9,950.5,28051
Humphreys,3320.2,0.607987,1260.5,728.6,28053
Issaquena,1106.7,0.607987,420.2,242.9,28055
Itawamba,3871.9,0.529831,1759.4,1209.3,28057
Jackson,23717.0,0.615086,10119.0,6558.0,28059
Jasper,4985.9,0.553272,2279.9,1485.6,28061
Jefferson,2959.1,0.617906,1565.5,1105.1,28063
Jefferson Davis,3102.1,0.506044,1323.4,831.7,28065
Jones,15510.5,0.506044,6617.0,4158.5,28067
Kemper,1424.6,0.553272,651.4,424.4,28069
Lafayette,9679.6,0.529831,4398.6,3023.2,28071
Lamar,13866.2,0.665249,6102.6,4371.2,28073
Lauderdale,18966.0,0.46798,8279.9,4993.8,28075
Lawrence,2219.3,0.617906,1174.1,828.9,28077
Leake,4273.7,0.553272,1954.2,1273.3,28079
Lee,15799.7,0.788046,7236.5,5010.1,28081
Leflore,5716.0,0.424662,2822.5,1267.4,28083
Lincoln,7397.7,0.617906,3913.8,2762.9,28085
Lowndes,13924.8,0.559902,7303.7,4457.9,28087
Madison,15078.4,0.717996,7586.5,5315.0,28089
Marion,4894.0,0.665249,2153.9,1542.8,28091
Marshall,8295.7,0.604504,3757.7,2533.4,28093
Monroe,7098.4,0.529831,3225.6,2217.0,28095
Montgomery,2858.0,0.424662,1411.3,633.7,28097
Neshoba,5698.2,0.553272,2605.6,1697.8,28099
Newton,4551.8,0.46798,1987.2,1198.5,28101
Noxubee,2320.8,0.559902,1217.3,743.0,28103
Oktibbeha,10056.8,0.559902,5274.9,3219.6,28105
Panola,12962.1,0.523604,5036.4,2736.2,28107
Pearl River,10214.8,0.701103,5226.7,3928.2,28109
Perry,2447.0,0.665249,1076.9,771.4,28111
Pike,8137.4,0.617906,4305.1,3039.1,28113
Pontotoc,4121.7,0.788046,1887.8,1307.0,28115
Prentiss,6636.5,0.604504,3006.2,2026.7,28117
Quitman,3535.1,0.523604,1373.6,746.2,28119
Rankin,18208.8,0.657655,8710.3,6515.2,28121
Scott,5698.2,0.553272,2605.6,1697.8,28123
Sharkey,2213.5,0.607987,840.3,485.8,28125
Simpson,4429.2,0.657655,2118.7,1584.8,28127
Smith,3561.4,0.553272,1628.5,1061.1,28129
Stone,3192.1,0.701103,1633.3,1227.6,28131
Sunflower,7747.1,0.607987,2941.2,1700.1,28133
Tallahatchie,4713.5,0.523604,1831.4,995.0,28135
Tate,7070.2,0.523604,2747.1,1492.5,28137
Tippah,4977.4,0.604504,2254.6,1520.0,28139
Tishomingo,5807.0,0.604504,2630.4,1773.4,28141
Tunica,4713.5,0.523604,1831.4,995.0,28143
Union,4121.7,0.788046,1887.8,1307.0,28145
Walthall,3698.8,0.617906,1956.9,1381.4,28147
Warren,9630.2,0.485151,3777.9,2269.1,28149
Washington,21027.9,0.607987,7983.2,4614.7,28151
Wayne,5428.7,0.506044,2316.0,1455.5,28153
Webster,2320.8,0.559902,1217.3,743.0,28155
Wilkinson,2219.3,0.617906,1174.1,828.9,28157
Winston,3868.0,0.559902,2028.8,1238.3,28159
Yalobusha,2858.0,0.424662,1411.3,633.7,28161
Yazoo,4059.6,0.717996,2042.5,1431.0,28163
