PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,10055,22560,2376,7679,15954,59,0.7636996519144704,17256,14093,0.8167014371812703
00200,16534,36501,5387,11147,22065,177,0.6741865247369058,24797,18809,0.7585191757067388
00300,16025,41243,7319,8706,21595,134,0.5432761310452419,21352,13660,0.6397527163731734
00400,12316,27103,3851,8465,14360,128,0.6873173108151998,19497,14952,0.7668872134174488
00500,11012,24043,3388,7624,18947,114,0.6923356338539775,19404,15386,0.7929292929292929
00600,20288,38680,7905,12383,21657,184,0.6103608044164038,30669,20371,0.6642212005608269
00700,13407,27151,7387,6020,11530,161,0.4490191690907735,20427,11114,0.5440838106427767
00800,17227,45376,7269,9958,27588,175,0.5780460904394265,23345,14324,0.6135789248233027
00900,9629,19138,2883,6746,13741,75,0.7005919617821165,14737,10755,0.7297957521883695
01001,9590,24446,3830,5760,11860,90,0.6006256517205423,15073,10237,0.6791614144496783
01101,17447,38833,7111,10336,19230,158,0.5924227660915917,26492,18117,0.6838668277215764
01300,10829,22638,2729,8100,14888,107,0.7479915042940253,18869,15049,0.797551539562245
01400,11725,25642,4085,7640,14187,141,0.6515991471215352,21824,16886,0.7737353372434017
01500,11923,27311,4732,7191,12781,103,0.6031200201291621,17517,11550,0.6593594793629046
01600,21917,41427,6445,15472,25598,235,0.7059360313911576,31971,24403,0.7632854774639517
01700,13234,31021,4917,8317,15698,128,0.6284570046849025,21408,15385,0.7186565769805681
01800,16872,38336,4787,12085,25503,154,0.7162754860123282,26154,19993,0.7644337386250669
01900,14700,28729,3652,11048,20142,134,0.7515646258503401,24298,18984,0.7812988723351716
02001,9646,20713,3715,5931,10848,101,0.6148662658096621,15380,10892,0.7081924577373212
02002,8787,20072,3551,5236,11627,94,0.5958802776829407,15105,10573,0.6999668983780205
02100,10119,23717,3561,6558,14588,93,0.6480877557070857,18022,13448,0.7461990900011097
