County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Beaverhead,1203.4,0.618447,686.8,419.1,30001
Big Horn,1892.5,0.560969,790.7,542.3,30003
Blaine,2079.6,0.752683,863.7,613.7,30005
Broadwater,1039.8,0.752683,431.8,306.8,30007
Carbon,2599.5,0.752683,1079.6,767.1,30009
Carter,378.5,0.560969,158.1,108.5,30011
Cascade,7503.6,0.585436,3641.1,2393.5,30013
Chouteau,1039.8,0.752683,431.8,306.8,30015
Custer,2271.0,0.560969,948.8,650.8,30017
Daniels,378.5,0.560969,158.1,108.5,30019
Dawson,1135.5,0.560969,474.4,325.4,30021
Deer Lodge,1203.4,0.618447,686.8,419.1,30023
Fallon,378.5,0.560969,158.1,108.5,30025
Fergus,1559.7,0.752683,647.8,460.3,30027
Flathead,10694.1,0.642348,5619.8,3862.9,30029
Gallatin,9940.0,0.962274,5832.0,5669.0,30031
Garfield,378.5,0.560969,158.1,108.5,30033
Glacier,1336.8,0.642348,702.5,482.9,30035
Golden Valley,519.9,0.752683,215.9,153.4,30037
Granite,802.3,0.618447,457.8,279.4,30039
Hill,3119.4,0.752683,1295.5,920.5,30041
Jefferson,1559.7,0.752683,647.8,460.3,30043
Judith Basin,519.9,0.752683,215.9,153.4,30045
Lake,4198.4,0.70624,2313.1,1784.2,30047
Lewis and Clark,5102.4,0.585436,2475.9,1627.5,30049
Liberty,519.9,0.752683,215.9,153.4,30051
Lincoln,2005.1,0.642348,1053.7,724.3,30053
McCone,378.5,0.560969,158.1,108.5,30055
Madison,1604.6,0.618447,915.7,558.8,30057
Meagher,519.9,0.752683,215.9,153.4,30059
Mineral,839.7,0.70624,462.6,356.8,30061
Missoula,12175.5,0.70624,6708.0,5174.2,30063
Musselshell,757.0,0.560969,316.3,216.9,30065
Park,3119.4,0.752683,1295.5,920.5,30067
Petroleum,519.9,0.752683,215.9,153.4,30069
Phillips,519.9,0.752683,215.9,153.4,30071
Pondera,1039.8,0.752683,431.8,306.8,30073
Powder River,378.5,0.560969,158.1,108.5,30075
Powell,802.3,0.618447,457.8,279.4,30077
Prairie,378.5,0.560969,158.1,108.5,30079
Ravalli,5214.8,0.618447,2975.9,1816.0,30081
Richland,1892.5,0.560969,790.7,542.3,30083
Roosevelt,1135.5,0.560969,474.4,325.4,30085
Rosebud,1514.0,0.560969,632.5,433.8,30087
Sanders,1679.4,0.70624,925.2,713.7,30089
Sheridan,757.0,0.560969,316.3,216.9,30091
Silver Bow,3610.2,0.618447,2060.2,1257.2,30093
Stillwater,1559.7,0.752683,647.8,460.3,30095
Sweet Grass,519.9,0.752683,215.9,153.4,30097
Teton,1559.7,0.752683,647.8,460.3,30099
Toole,1559.7,0.752683,647.8,460.3,30101
Treasure,378.5,0.560969,158.1,108.5,30103
Valley,1135.5,0.560969,474.4,325.4,30105
Wheatland,519.9,0.752683,215.9,153.4,30107
Wibaux,378.5,0.560969,158.1,108.5,30109
Yellowstone,16520.0,0.644145,8562.3,6323.6,30111
