County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Alamance,20313.0,0.630581,11449.0,8183.0,37001
Alexander,5545.6,0.527964,2552.0,1464.9,37003
Alleghany,2470.9,0.488162,1097.5,618.3,37005
Anson,6009.5,0.688442,2336.6,1550.8,37007
Ashe,5998.8,0.656929,3469.0,2466.2,37009
Avery,3332.6,0.656929,1927.2,1370.1,37011
Beaufort,9355.5,0.457031,4037.8,2247.8,37013
Bertie,3598.3,0.457031,1553.0,864.5,37015
Bladen,9695.0,0.357272,4044.6,1860.4,37017
Brunswick,20951.0,0.600496,10293.0,7259.0,37019
Buncombe,30639.0,0.508861,15061.0,8723.0,37021
Burke,17003.0,0.334294,7199.8,3005.5,37023
Cabarrus,22020.1,0.444577,10329.5,5426.5,37025
Caldwell,15052.4,0.527964,6927.0,3976.1,37027
Camden,801.9,0.570856,467.5,260.3,37029
Carteret,14829.3,0.594614,7309.8,4466.7,37031
Caswell,4316.8,0.55041,1968.9,1227.6,37033
Catawba,16968.0,0.574788,9820.0,5880.0,37035
Chatham,10381.6,0.588318,4003.6,2620.9,37037
Cherokee,7749.6,0.602,3785.8,2712.7,37039
Chowan,1603.8,0.570856,934.9,520.6,37041
Clay,2583.2,0.602,1261.9,904.2,37043
Cleveland,17329.0,0.493895,7723.6,4672.1,37045
Columbus,13220.4,0.357272,5515.3,2537.0,37047
Craven,11683.7,0.594614,5759.2,3519.3,37049
Cumberland,53964.0,0.521329,23398.0,12970.0,37051
Currituck,4009.4,0.570856,2337.3,1301.5,37053
Dare,8635.8,0.457031,3727.2,2074.8,37055
Davidson,28557.0,0.427076,13036.0,7069.0,37057
Davie,5069.2,0.574734,2462.7,1588.1,37059
Duplin,12137.0,0.503587,5720.2,3160.2,37061
Durham,37778.0,0.659458,18750.0,13737.0,37063
Edgecombe,9212.0,0.346972,4130.4,1802.4,37065
Forsyth,64861.0,0.467353,24281.0,13357.0,37067
Franklin,11546.9,0.469095,5598.9,3168.6,37069
Gaston,40211.0,0.494964,16644.0,9411.0,37071
Gates,1202.8,0.570856,701.2,390.5,37073
Graham,918.6,0.563458,542.8,352.7,37075
Granville,10792.0,0.55041,4922.1,3069.1,37077
Greene,3558.5,0.475966,1509.7,773.5,37079
Guilford,96065.0,0.429126,39101.0,19520.0,37081
Halifax,10538.5,0.36634,4938.5,2144.0,37083
Harnett,27777.0,0.563236,9338.0,6096.0,37085
Haywood,6430.1,0.563458,3799.8,2468.7,37087
Henderson,18121.4,0.690067,7281.4,5180.0,37089
Hertford,5269.3,0.36634,2469.3,1072.0,37091
Hoke,11479.9,0.397184,4766.2,1983.8,37093
Hyde,2878.6,0.457031,1242.4,691.6,37095
Iredell,21234.5,0.640112,10066.9,6761.7,37097
Jackson,5812.2,0.602,2839.4,2034.5,37099
Johnston,37329.1,0.49636,13245.1,6958.1,37101
Jones,2449.9,0.458958,1059.6,524.9,37103
Lee,8742.4,0.588318,3371.4,2207.1,37105
Lenoir,13882.8,0.458958,6004.4,2974.4,37107
Lincoln,14907.7,0.500583,6471.9,4109.0,37109
McDowell,9716.0,0.334294,4114.2,1717.5,37111
Macon,6458.0,0.602,3154.9,2260.6,37113
Madison,2143.4,0.563458,1266.6,822.9,37115
Martin,4317.9,0.457031,1863.6,1037.4,37117
Mecklenburg,127664.0,0.57562,55910.0,35851.0,37119
Mitchell,2666.1,0.656929,1541.8,1096.1,37121
Montgomery,4657.9,0.569856,2530.3,1477.2,37123
Moore,13508.1,0.569856,7337.7,4283.8,37125
Nash,16450.0,0.346972,7375.6,3218.6,37127
New Hanover,28033.1,0.529146,14915.4,9673.3,37129
Northampton,6586.6,0.36634,3086.6,1340.0,37131
Onslow,33250.3,0.462822,13514.0,6986.7,37133
Orange,17571.0,0.84224,9005.0,7646.0,37135
Pamlico,5037.6,0.457031,2174.2,1210.3,37137
Pasquotank,4009.4,0.570856,2337.3,1301.5,37139
Pender,8715.9,0.385776,3955.6,2116.7,37141
Perquimans,1603.8,0.570856,934.9,520.6,37143
Person,5036.2,0.55041,2297.0,1432.2,37145
Pitt,31789.0,0.668281,15692.0,11480.0,37147
Polk,5057.7,0.486482,2319.1,1329.9,37149
Randolph,29276.0,0.513458,13016.0,7723.0,37151
Richmond,10523.2,0.397184,4369.1,1818.4,37153
Robeson,30847.6,0.357272,12869.1,5919.6,37155
Rockingham,13288.0,0.582687,6591.2,4144.8,37157
Rowan,29687.0,0.366086,12148.0,6610.0,37159
Rutherford,13908.6,0.486482,6377.4,3657.1,37161
Sampson,11559.0,0.503587,5447.8,3009.8,37163
Scotland,8609.9,0.397184,3574.7,1487.8,37165
Stanly,5719.9,0.641333,3371.5,2204.5,37167
Stokes,7852.0,0.582687,3894.8,2449.2,37169
Surry,18943.6,0.488162,8414.3,4740.6,37171
Swain,1531.0,0.563458,904.7,587.8,37173
Transylvania,7248.6,0.690067,2912.6,2072.0,37175
Tyrrell,719.7,0.457031,310.6,172.9,37177
Union,21848.5,0.689741,7805.4,5380.2,37179
Vance,8660.1,0.469095,4199.1,2376.4,37181
Wake,83408.0,0.63428,40968.0,30189.0,37183
Warren,4610.6,0.36634,2160.6,938.0,37185
Washington,2878.6,0.457031,1242.4,691.6,37187
Watauga,8664.9,0.656929,5010.8,3562.4,37189
Wayne,29681.0,0.490078,12082.0,6338.0,37191
Wilkes,14825.5,0.488162,6585.1,3710.0,37193
Wilson,17792.4,0.475966,7548.3,3867.4,37195
Yadkin,4562.3,0.574734,2216.4,1429.3,37197
Yancey,3332.6,0.656929,1927.2,1370.1,37199
