PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,13876,23995,4011,9865,15763,152,0.7109397520899394,20236,15551,0.7684819134216249
00200,16097,36240,7028,9069,17691,185,0.5633969062558241,24647,15662,0.6354525905789751
00300,10486,21140,3892,6594,12318,111,0.6288384512683578,18814,13823,0.7347188264058679
00400,9188,20145,3459,5729,11088,96,0.6235306922072268,15525,11199,0.7213526570048309
00500,9798,20207,4253,5545,9479,87,0.5659318228209839,17324,11756,0.678596167166936
00600,12655,27005,7161,5494,9893,206,0.4341367048597392,18466,9728,0.5268060218780461
00700,7713,13231,3418,4295,7553,77,0.5568520679372488,13839,8890,0.6423874557410217
00800,16151,37422,7160,8991,17103,185,0.5566837966689369,26682,17920,0.6716138220523199
00900,11506,25662,6485,5021,8904,111,0.4363810185989918,19264,10142,0.5264742524916943
01001,12983,30603,6331,6652,14566,137,0.5123623199568667,20975,13464,0.6419070321811681
01101,9320,28077,4373,4947,14125,67,0.530793991416309,16352,10737,0.656616927592955
01201,9179,17526,2639,6540,10834,71,0.7124959145876457,14208,11202,0.7884290540540541
01202,4567,9036,874,3693,5936,34,0.8086271075104007,11164,7265,0.6507524184879971
01203,3688,6747,1299,2389,4941,33,0.6477765726681128,7526,6080,0.8078660643103907
01204,7314,19282,3179,4135,9150,43,0.5653541153951326,13359,9115,0.6823115502657384
01205,4277,7656,643,3634,5390,33,0.8496609773205518,9329,8329,0.8928073748526102
01206,3444,5259,832,2612,3335,29,0.7584204413472706,4784,3865,0.8079013377926422
01207,4819,10862,1094,3725,6643,38,0.7729819464619215,6800,5392,0.7929411764705883
01208,3680,7040,219,3461,6675,29,0.9404891304347827,6308,5928,0.9397590361445783
01301,11297,21676,2809,8488,14793,69,0.7513499159068779,19611,15467,0.788690020906634
01302,7453,16102,2204,5249,10120,51,0.7042801556420234,12676,9735,0.7679867466077627
01400,9005,17571,1359,7646,14799,99,0.8490838423098279,13495,11637,0.8623193775472398
01500,7375,19124,2547,4828,11251,64,0.6546440677966102,14608,9820,0.6722343921139102
01600,11449,20313,3266,8183,12809,142,0.7147349113459691,20919,14812,0.7080644390267221
01701,9954,23302,3737,6217,14352,71,0.624573035965441,16467,11392,0.6918078581405235
01702,12076,27491,8441,3635,6188,90,0.30101026830076183,17766,8152,0.4588539907688844
01703,4807,12101,1664,3143,6902,41,0.6538381526939879,9736,7210,0.7405505341002465
01704,12264,33171,5739,6525,13782,92,0.5320450097847358,20302,11708,0.5766919515318688
01801,8403,27829,5331,3072,6571,60,0.3655837200999643,15466,8493,0.5491400491400491
01802,10862,26016,3871,6991,16602,77,0.6436199594918063,16802,10257,0.6104630401142721
01803,5016,11016,1722,3294,7140,53,0.6566985645933014,11515,8835,0.7672600955275727
01900,6403,13180,2274,4129,7575,76,0.6448539746993597,12277,8325,0.6780972550297304
