County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adams,504.3,0.638455,220.5,142.4,38001
Barnes,1356.2,0.725699,753.0,590.5,38003
Benson,1017.1,0.725699,564.7,442.9,38005
Billings,504.3,0.638455,220.5,142.4,38007
Bottineau,898.8,0.658256,417.1,278.1,38009
Bowman,1008.7,0.638455,441.0,284.7,38011
Burke,299.6,0.658256,139.0,92.7,38013
Burleigh,9220.8,0.490728,5672.2,2936.2,38015
Cass,13145.0,0.848536,9130.0,7821.0,38017
Cavalier,419.4,0.750055,286.8,224.9,38019
Dickey,1017.1,0.725699,564.7,442.9,38021
Divide,504.3,0.638455,220.5,142.4,38023
Dunn,504.3,0.638455,220.5,142.4,38025
Eddy,339.0,0.725699,188.2,147.6,38027
Emmons,339.0,0.725699,188.2,147.6,38029
Foster,339.0,0.725699,188.2,147.6,38031
Golden Valley,504.3,0.638455,220.5,142.4,38033
Grand Forks,4613.9,0.750055,3154.7,2473.7,38035
Grant,504.3,0.638455,220.5,142.4,38037
Griggs,339.0,0.725699,188.2,147.6,38039
Hettinger,1008.7,0.638455,441.0,284.7,38041
Kidder,339.0,0.725699,188.2,147.6,38043
LaMoure,678.1,0.725699,376.5,295.3,38045
Logan,339.0,0.725699,188.2,147.6,38047
McHenry,599.2,0.658256,278.1,185.4,38049
McIntosh,339.0,0.725699,188.2,147.6,38051
McKenzie,2521.7,0.638455,1102.4,711.9,38053
McLean,898.8,0.658256,417.1,278.1,38055
Mercer,898.8,0.658256,417.1,278.1,38057
Morton,3397.2,0.490728,2089.8,1081.8,38059
Mountrail,898.8,0.658256,417.1,278.1,38061
Nelson,209.7,0.750055,143.4,112.4,38063
Oliver,299.6,0.658256,139.0,92.7,38065
Pembina,838.9,0.750055,573.6,449.8,38067
Pierce,678.1,0.725699,376.5,295.3,38069
Ramsey,629.2,0.750055,430.2,337.3,38071
Ransom,1017.1,0.725699,564.7,442.9,38073
Renville,299.6,0.658256,139.0,92.7,38075
Richland,2034.3,0.725699,1129.4,885.8,38077
Rolette,1356.2,0.725699,753.0,590.5,38079
Sargent,678.1,0.725699,376.5,295.3,38081
Sheridan,299.6,0.658256,139.0,92.7,38083
Sioux,1008.7,0.638455,441.0,284.7,38085
Slope,504.3,0.638455,220.5,142.4,38087
Stark,4539.1,0.638455,1984.4,1281.3,38089
Steele,209.7,0.750055,143.4,112.4,38091
Stutsman,2373.3,0.725699,1317.7,1033.4,38093
Towner,339.0,0.725699,188.2,147.6,38095
Traill,838.9,0.750055,573.6,449.8,38097
Walsh,1258.3,0.750055,860.4,674.7,38099
Ward,4793.4,0.658256,2224.5,1483.3,38101
Wells,678.1,0.725699,376.5,295.3,38103
Williams,4034.7,0.638455,1763.9,1139.0,38105
