County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adams,3724.1,0.80553,2055.2,1685.4,31001
Antelope,1474.8,0.747457,647.1,527.4,31003
Arthur,379.9,0.666642,200.5,136.0,31005
Banner,356.5,0.527748,182.9,119.6,31007
Blaine,227.2,0.814474,128.2,112.8,31009
Boone,983.2,0.747457,431.4,351.6,31011
Box Butte,1069.5,0.527748,548.8,358.9,31013
Boyd,356.5,0.527748,182.9,119.6,31015
Brown,356.5,0.527748,182.9,119.6,31017
Buffalo,4551.7,0.80553,2511.9,2059.9,31019
Burt,1474.8,0.747457,647.1,527.4,31021
Butler,1001.3,0.630493,452.4,314.4,31023
Cass,2847.6,0.6193,1205.8,778.1,31025
Cedar,983.2,0.747457,431.4,351.6,31027
Chase,379.9,0.666642,200.5,136.0,31029
Cherry,713.0,0.527748,365.8,239.3,31031
Cheyenne,1069.5,0.527748,548.8,358.9,31033
Clay,827.6,0.80553,456.7,374.5,31035
Colfax,1474.8,0.747457,647.1,527.4,31037
Cuming,1474.8,0.747457,647.1,527.4,31039
Custer,908.7,0.814474,512.8,451.2,31041
Dakota,2458.1,0.747457,1078.6,878.9,31043
Dawes,713.0,0.527748,365.8,239.3,31045
Dawson,2659.0,0.666642,1403.2,952.2,31047
Deuel,356.5,0.527748,182.9,119.6,31049
Dixon,983.2,0.747457,431.4,351.6,31051
Dodge,4271.4,0.6193,1808.6,1167.1,31053
Douglas,61543.0,0.592058,31369.0,21627.0,31055
Dundy,379.9,0.666642,200.5,136.0,31057
Fillmore,667.6,0.630493,301.6,209.6,31059
Franklin,827.6,0.80553,456.7,374.5,31061
Frontier,379.9,0.666642,200.5,136.0,31063
Furnas,379.9,0.666642,200.5,136.0,31065
Gage,2336.4,0.630493,1055.6,733.6,31067
Garden,356.5,0.527748,182.9,119.6,31069
Garfield,227.2,0.814474,128.2,112.8,31071
Gosper,379.9,0.666642,200.5,136.0,31073
Grant,379.9,0.666642,200.5,136.0,31075
Greeley,227.2,0.814474,128.2,112.8,31077
Hall,3180.5,0.814474,1794.9,1579.1,31079
Hamilton,681.5,0.814474,384.6,338.4,31081
Harlan,413.8,0.80553,228.4,187.3,31083
Hayes,379.9,0.666642,200.5,136.0,31085
Hitchcock,379.9,0.666642,200.5,136.0,31087
Holt,1425.9,0.527748,731.7,478.6,31089
Hooker,379.9,0.666642,200.5,136.0,31091
Howard,454.4,0.814474,256.4,225.6,31093
Jefferson,1001.3,0.630493,452.4,314.4,31095
Johnson,667.6,0.630493,301.6,209.6,31097
Kearney,827.6,0.80553,456.7,374.5,31099
Keith,1139.6,0.666642,601.4,408.1,31101
Keya Paha,356.5,0.527748,182.9,119.6,31103
Kimball,356.5,0.527748,182.9,119.6,31105
Knox,1474.8,0.747457,647.1,527.4,31107
Lancaster,37002.0,0.709151,19116.0,13706.0,31109
Lincoln,3038.9,0.666642,1603.7,1088.2,31111
Logan,379.9,0.666642,200.5,136.0,31113
Loup,227.2,0.814474,128.2,112.8,31115
McPherson,379.9,0.666642,200.5,136.0,31117
Madison,4424.5,0.747457,1941.4,1582.1,31119
Merrick,681.5,0.814474,384.6,338.4,31121
Morrill,356.5,0.527748,182.9,119.6,31123
Nance,491.6,0.747457,215.7,175.8,31125
Nemaha,667.6,0.630493,301.6,209.6,31127
Nuckolls,827.6,0.80553,456.7,374.5,31129
Otoe,1668.9,0.630493,754.0,524.0,31131
Pawnee,333.8,0.630493,150.8,104.8,31133
Perkins,379.9,0.666642,200.5,136.0,31135
Phelps,1241.4,0.80553,685.1,561.8,31137
Pierce,983.2,0.747457,431.4,351.6,31139
Platte,3932.9,0.747457,1725.7,1406.3,31141
Polk,667.6,0.630493,301.6,209.6,31143
Red Willow,1139.6,0.666642,601.4,408.1,31145
Richardson,1001.3,0.630493,452.4,314.4,31147
Rock,356.5,0.527748,182.9,119.6,31149
Saline,1668.9,0.630493,754.0,524.0,31151
Sarpy,17161.0,0.576773,6107.0,3666.0,31153
Saunders,2373.0,0.6193,1004.8,648.4,31155
Scotts Bluff,3921.4,0.527748,2012.1,1316.1,31157
Seward,1335.1,0.630493,603.2,419.2,31159
Sheridan,713.0,0.527748,365.8,239.3,31161
Sherman,227.2,0.814474,128.2,112.8,31163
Sioux,356.5,0.527748,182.9,119.6,31165
Stanton,983.2,0.747457,431.4,351.6,31167
Thayer,667.6,0.630493,301.6,209.6,31169
Thomas,379.9,0.666642,200.5,136.0,31171
Thurston,983.2,0.747457,431.4,351.6,31173
Valley,454.4,0.814474,256.4,225.6,31175
Washington,2373.0,0.6193,1004.8,648.4,31177
Wayne,983.2,0.747457,431.4,351.6,31179
Webster,827.6,0.80553,456.7,374.5,31181
Wheeler,227.2,0.814474,128.2,112.8,31183
York,1335.1,0.630493,603.2,419.2,31185
