PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,6768,13190,2341,4427,6961,108,0.6541075650118203,14004,11305,0.8072693516138246
00200,11217,25564,2076,9141,19108,149,0.814923776410805,19409,16314,0.8405378947910763
00300,4359,7724,524,3835,6291,68,0.8797889424179858,11250,9213,0.8189333333333333
00400,7016,13295,2255,4761,8863,102,0.6785917901938426,14234,11257,0.7908528874525783
00500,7764,14069,1397,6367,11333,106,0.8200669757856774,15036,12906,0.858339984038308
00600,6786,15020,2070,4716,9470,116,0.6949602122015915,12600,10192,0.8088888888888889
00701,5024,11865,1782,3242,7348,56,0.6453025477707006,9531,7254,0.76109537299339
00702,6107,17161,2441,3666,9898,44,0.6002947437366956,12050,9082,0.7536929460580913
00801,10625,21813,3390,7235,14604,65,0.6809411764705883,20138,16056,0.7972986393882213
00802,8491,15189,2020,6471,11636,48,0.7621010481686492,11700,9537,0.8151282051282052
00901,7220,13380,1567,5653,9741,48,0.7829639889196676,13432,10378,0.77263251935676
00902,3754,5704,271,3483,5244,30,0.9278103356419819,8616,6764,0.7850510677808727
00903,11465,25384,5307,6158,11808,66,0.5371129524640209,18314,9890,0.5400240253358086
00904,8930,17075,2597,6333,9644,50,0.7091825307950728,14577,11521,0.790354668313096
