County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Belknap,4324.7,0.724011,3080.6,2383.3,33001
Carroll,4565.0,0.724011,3251.7,2515.7,33003
Cheshire,5129.4,0.688287,3274.1,2438.7,33005
Coos,3923.7,0.648444,2231.0,1512.3,33007
Grafton,9987.6,0.648444,5679.0,3849.4,33009
Hillsborough,28643.4,0.528732,15214.6,9719.9,33011
Merrimack,10907.7,0.713528,5511.8,3965.5,33013
Rockingham,17322.0,0.721507,10500.7,8463.1,33015
Strafford,12288.9,0.616796,6123.4,4032.9,33017
Sullivan,3923.7,0.648444,2231.0,1512.3,33019
