PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,10141,17835,3267,6874,11565,134,0.6778424218518884,17349,12690,0.7314542624935155
00201,7188,10091,1627,5561,7306,61,0.773650528658876,11497,9600,0.8350004348960598
00301,7144,14337,2439,4705,8843,53,0.6585946248600224,12967,9381,0.7234518392843372
00401,4325,9188,1310,3015,6485,42,0.6971098265895954,8768,6462,0.7369981751824818
00501,5275,8264,1346,3929,5688,68,0.7448341232227488,8194,6689,0.81632902123505
00601,6595,13982,2621,3974,6421,43,0.6025777103866565,11248,7590,0.6747866287339972
00602,1367,2027,182,1185,1643,15,0.866861741038771,2718,2342,0.8616629874908021
00603,4148,7772,2039,2109,3496,31,0.5084378013500482,6906,4719,0.6833188531711555
00701,3532,5529,455,3077,4567,31,0.8711778029445073,7230,6353,0.8786998616874135
00801,7383,11991,1419,5964,8523,42,0.8078017066233238,11885,9485,0.7980647875473286
