County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Atlantic,37574.7,0.458843,16718.1,8094.4,34001
Bergen,63321.0,0.681891,34072.0,23086.0,34003
Burlington,31515.0,0.741583,14612.0,11522.0,34005
Camden,67523.0,0.333753,29678.0,12941.0,34007
Cape May,10615.3,0.410267,5008.9,2898.6,34009
Cumberland,25893.5,0.554663,11462.2,6408.1,34011
Essex,126596.0,0.508452,56435.0,30617.0,34013
Gloucester,29809.0,0.748398,13077.0,10117.0,34015
Hudson,114828.0,0.427213,49676.0,22957.0,34017
Hunterdon,8746.0,0.730048,4113.0,2988.0,34019
Mercer,39473.0,0.578725,19136.0,11257.0,34021
Middlesex,76299.0,0.656863,33184.0,23105.0,34023
Monmouth,48057.0,0.656075,22517.0,15913.0,34025
Morris,25573.0,0.777148,12469.0,9613.0,34027
Ocean,82827.0,0.60333,30587.0,21833.0,34029
Passaic,79169.0,0.393715,32544.0,15005.0,34031
Salem,11934.5,0.463851,4785.8,2464.9,34033
Somerset,17480.0,0.570023,9010.0,6565.0,34035
Sussex,7039.0,0.716863,3629.0,2627.0,34037
Union,55252.0,0.677333,22642.0,15614.0,34039
Warren,6495.0,0.610316,3859.0,2428.0,34041
