PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00101,11481,24878,6396,5085,11429,86,0.44290567023778415,18447,9806,0.5315769501816013
00102,4630,11410,1972,2658,5284,36,0.5740820734341253,9600,6935,0.7223958333333333
00301,5898,9454,2579,3319,4956,52,0.5627331298745337,9835,6807,0.6921199796644637
00302,5975,12755,2855,3120,5630,45,0.5221757322175732,8996,5561,0.6181636282792352
00303,6669,9493,2431,4238,6379,58,0.6354775828460039,11170,8378,0.7500447627573859
00304,5493,13691,1791,3702,10443,56,0.6739486619333698,7731,5547,0.7175009701202949
00305,2776,4900,251,2525,4459,29,0.9095821325648416,4582,4169,0.9098646879092099
00306,2364,3946,51,2313,3895,22,0.9784263959390863,3657,3547,0.9699207000273449
00307,2206,4576,576,1630,3602,27,0.7388939256572983,5281,4077,0.7720128763491763
00308,2691,4506,452,2239,3814,26,0.832032701597919,3806,3354,0.8812401471361009
00501,10265,23176,5243,5022,10212,93,0.48923526546517293,16638,8712,0.5236206274792643
00502,4848,9768,1612,3236,6558,46,0.6674917491749175,7671,5646,0.7360187719984357
00503,15594,41793,10198,5396,11303,102,0.34603052456072847,23557,10838,0.4600755614042535
00504,1837,4432,486,1351,3097,18,0.7354382144801307,3872,3213,0.8298037190082644
00601,10917,24981,4459,6458,14636,80,0.5915544563524778,15707,10394,0.661743171834214
00602,10596,26037,7569,3027,5323,61,0.285673839184598,14871,6136,0.41261515701701296
00603,7210,15351,4302,2908,5833,63,0.40332871012482663,12080,6645,0.5500827814569537
00604,11894,27771,6459,5435,13380,67,0.4569530855893728,17097,9707,0.5677604258056969
00605,9059,20688,3930,5129,9884,78,0.5661772822607352,15374,10656,0.6931182515935996
00800,4113,8746,1125,2988,6385,47,0.7264770240700219,6342,5153,0.8125197098707032
00901,5464,13017,1026,4438,10238,48,0.8122254758418741,8775,6983,0.7957834757834757
00902,3653,7403,582,3071,5863,30,0.840678894059677,4986,4029,0.8080625752105897
00903,1952,5141,426,1526,3116,23,0.7817622950819673,5081,4418,0.8695138752214131
00904,3821,7822,671,3150,6204,38,0.8243915205443602,5791,4930,0.8513210153686755
00905,3617,7104,1031,2586,4116,35,0.7149571468067459,6069,4552,0.7500411929477674
00906,8862,20073,3295,5567,13173,66,0.6281877679981945,12215,8031,0.6574703233729021
00907,5815,15739,3048,2767,7408,47,0.4758383490971625,8528,4506,0.5283771106941839
01001,2179,3897,571,1608,2425,27,0.7379531895364846,4117,3173,0.7707068253582706
01002,3062,5586,667,2395,3450,25,0.7821685173089484,4989,3887,0.7791140509120064
01003,3769,7997,1207,2562,4089,34,0.6797559034226586,7945,6251,0.786784140969163
01101,3933,7421,752,3181,4470,43,0.8087973557081108,7358,5767,0.7837727643381354
01102,2127,5576,1204,923,1669,24,0.43394452280206863,5026,3661,0.7284122562674095
01103,7022,14533,2339,4683,9725,61,0.6669040159498718,12324,8562,0.6947419668938656
01104,3576,8209,784,2792,6936,33,0.7807606263982103,5582,4529,0.8113579362235758
01105,3081,5669,1001,2080,3807,27,0.6751054852320675,4600,3487,0.7580434782608696
01106,2778,6649,524,2254,4922,29,0.8113750899928006,4553,4029,0.8849110476608829
01201,4586,9310,871,3715,6187,59,0.8100741386829481,7570,6542,0.8642007926023778
01202,8802,16373,2314,6488,11782,90,0.7371052033628721,15122,11763,0.7778732971829123
01203,7455,36820,3040,4415,19853,73,0.5922199865861838,12372,7759,0.6271419333979955
01204,5685,13891,1109,4576,8393,58,0.8049252418645558,11038,9354,0.8474361297336473
01205,4059,6433,1420,2639,3757,42,0.650160137965016,7370,5692,0.7723202170963365
01401,6087,12365,1421,4666,8704,42,0.7665516674880893,9887,7348,0.7431981389703651
01402,7202,12813,3192,4010,6544,43,0.5567897806164954,10204,5711,0.5596824774598197
01403,2841,4601,1385,1456,2093,30,0.5124956001407955,4572,2965,0.6485126859142607
01404,2547,6577,334,2213,5184,26,0.8688653317628583,4240,3565,0.8408018867924528
01405,9184,20037,4535,4649,9602,48,0.5062064459930313,16517,10530,0.6375249742689351
01406,12972,32161,6346,6626,17823,62,0.5107924761023743,21090,12890,0.611190137505927
01407,15602,38042,8605,6997,14418,94,0.4484681451096013,21820,11909,0.5457836846929423
01501,3763,8241,882,2881,6795,37,0.76561254318363,7036,5865,0.8335702103467879
01502,2610,5642,478,2132,4896,30,0.8168582375478928,5187,4570,0.8810487757856179
01503,3110,6273,752,2358,4032,35,0.7581993569131833,5593,4231,0.7564813159306276
01504,2986,5417,744,2242,4151,30,0.7508372404554589,5133,4103,0.7993376193259303
01600,3629,7039,1002,2627,5046,47,0.7238908790300358,7474,6100,0.8161626973508161
01700,3859,6495,1431,2428,3964,36,0.6291785436641617,7200,5081,0.7056944444444444
01901,3646,8648,831,2815,6033,34,0.772078990674712,6745,5714,0.8471460340993329
01902,2998,5543,802,2196,4053,28,0.7324883255503669,3814,2627,0.6887781856318825
01903,3547,8760,1519,2028,4974,38,0.571750775303073,6757,4893,0.7241379310344828
01904,4754,12170,1230,3524,8788,48,0.7412705090450147,8511,5998,0.7047350487604277
01905,7697,20131,2646,5051,13576,53,0.6562296998830713,14868,10295,0.6924266881894
02001,4559,10486,1125,3434,7632,57,0.7532353586312788,11889,9246,0.7776936664143326
02002,4519,7312,611,3908,6002,48,0.8647930958176587,7622,6695,0.8783783783783784
02003,5534,13717,1354,4180,9737,57,0.7553306830502349,7807,6173,0.7907006532598949
02101,13732,33272,10023,3709,5625,99,0.2700990387416254,21744,8308,0.38208241353936717
02102,5871,14852,3221,2650,5091,48,0.4513711463123829,8863,5006,0.5648200383617286
02103,5508,9861,1674,3834,5756,60,0.696078431372549,11791,9105,0.7721991349334238
02104,4567,9538,1819,2748,6064,46,0.6017079045325159,8511,6479,0.761250146868758
02201,6114,14793,1967,4147,9550,55,0.6782793588485443,9660,6906,0.7149068322981367
02202,6963,15016,993,5970,12759,74,0.8573890564411891,10079,8888,0.8818335152296854
02301,10778,22980,5971,4807,10426,65,0.4460011133791056,18454,10622,0.5755933672916441
02302,3279,5524,493,2786,5005,33,0.8496492833180848,5144,4401,0.8555598755832037
02303,5079,10969,1415,3664,7413,36,0.7214018507580232,10541,8973,0.8512475097239351
02401,9165,20165,3940,5225,11705,66,0.5701036552100381,13476,8391,0.6226625111308994
02501,7083,17663,3435,3648,8193,80,0.5150360016941974,11601,7136,0.6151193862598052
02601,5616,11902,2366,3250,4883,68,0.5787037037037037,10818,8244,0.762063227953411
