County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Bernalillo,90573.0,0.472046,45980.8,24473.9,35001
Catron,1230.7,0.455231,571.7,273.4,35003
Chaves,13334.7,0.426196,6140.0,2785.8,35005
Cibola,7737.2,0.24396,2797.9,897.8,35006
Colfax,2353.2,0.426196,1083.5,491.6,35007
Curry,10981.5,0.426196,5056.4,2294.2,35009
De Baca,784.4,0.426196,361.2,163.9,35011
Doña Ana,48851.0,0.350638,20854.0,8913.0,35013
Eddy,13895.3,0.528867,5355.2,3000.9,35015
Grant,6153.6,0.455231,2858.7,1367.0,35017
Guadalupe,784.4,0.426196,361.2,163.9,35019
Harding,784.4,0.426196,361.2,163.9,35021
Hidalgo,1230.7,0.455231,571.7,273.4,35023
Lea,19239.7,0.528867,7414.8,4155.1,35025
Lincoln,5538.2,0.455231,2572.8,1230.3,35027
Los Alamos,2555.8,0.348589,1300.4,618.6,35028
Luna,4307.5,0.455231,2001.1,956.9,35029
McKinley,28369.7,0.24396,10258.9,3291.8,35031
Mora,1277.9,0.348589,650.2,309.3,35033
Otero,12922.6,0.455231,6003.2,2870.8,35035
Quay,2353.2,0.426196,1083.5,491.6,35037
Rio Arriba,7028.4,0.348589,3576.2,1701.1,35039
Roosevelt,3922.0,0.426196,1805.9,819.3,35041
Sandoval,26880.2,0.377593,8483.3,4149.4,35043
San Juan,27514.1,0.379273,9138.2,4068.5,35045
San Miguel,6389.5,0.348589,3251.1,1546.5,35047
Santa Fe,17845.5,0.508296,8622.4,5028.0,35049
Sierra,2461.4,0.455231,1143.5,546.8,35051
Socorro,3692.2,0.455231,1715.2,820.2,35053
Taos,6389.5,0.348589,3251.1,1546.5,35055
Torrance,2812.9,0.390215,1207.8,605.6,35057
Union,784.4,0.426196,361.2,163.9,35059
Valencia,14064.4,0.390215,6038.8,3028.1,35061
