PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,14922,41265,10134,4788,10067,343,0.3208685162846803,20177,8055,0.3992169301680131
00200,7273,22356,3803,3470,9177,88,0.47710710848343185,10770,5791,0.5376973073351904
00300,12029,23641,6307,5722,8241,126,0.4756837642364286,19666,11239,0.5714939489474219
00400,16614,36082,9076,7538,15378,152,0.4537137354038763,25793,14482,0.5614701663241964
00500,8044,16457,3293,4751,8568,114,0.5906265539532571,14346,9757,0.6801198940471211
00600,8337,26581,4274,4063,9994,110,0.487345567950102,15526,9539,0.614388767229164
00701,4193,9008,1091,3102,5839,29,0.739804435964703,8211,5836,0.7107538667640969
00702,10544,18424,4743,5801,9414,75,0.550170713201821,17229,10993,0.6380521214231818
00703,3460,5750,643,2817,4995,26,0.8141618497109827,7601,5871,0.7723983686357059
00704,6130,10719,3452,2678,4680,63,0.43686786296900487,12213,7179,0.587816261360845
00705,10652,22847,5915,4737,7328,74,0.44470521967705595,16988,8630,0.5080056510477985
00706,9311,19887,4820,4491,8962,61,0.48233272473418537,14687,7434,0.506161911894873
00800,9662,22503,4817,4845,8781,79,0.5014489753674187,18924,11412,0.6030437539632213
00900,17438,37537,9099,8339,17088,160,0.47820851015024657,29379,17028,0.5795976718063923
01001,8696,24667,4824,3872,8309,82,0.4452621895124195,13919,7318,0.5257561606437244
01002,12158,24184,7117,5041,8820,74,0.41462411580852115,18899,9857,0.5215619874067411
01100,12770,33135,5614,7156,17524,78,0.5603758809710259,22239,13364,0.6009263006430146
