County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Churchill,3517.2,0.48207,1439.9,902.2,32001
Clark,303548.0,0.546332,130474.0,81309.0,32003
Douglas,6254.0,0.428526,2912.0,1816.3,32005
Elko,7536.9,0.48207,3085.6,1933.3,32007
Esmeralda,502.5,0.48207,205.7,128.9,32009
Eureka,502.5,0.48207,205.7,128.9,32011
Humboldt,2512.3,0.48207,1028.5,644.4,32013
Lander,1004.9,0.48207,411.4,257.8,32015
Lincoln,1004.9,0.48207,411.4,257.8,32017
Lyon,6621.9,0.428526,3083.3,1923.2,32019
Mineral,1004.9,0.48207,411.4,257.8,32021
Nye,7536.9,0.48207,3085.6,1933.3,32023
Pershing,502.5,0.48207,205.7,128.9,32027
Storey,367.9,0.428526,171.3,106.8,32029
Washoe,49041.0,0.614078,24525.0,15111.0,32031
White Pine,1507.4,0.48207,617.1,386.7,32033
Carson City,5518.2,0.428526,2569.4,1602.6,32510
