PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00101,6486,14227,2467,4019,9300,78,0.6196423065063213,10928,7812,0.7148609077598829
00102,13966,26584,6348,7618,14084,150,0.5454675640842045,21936,13966,0.6366703136396791
00103,4073,8230,599,3474,6731,48,0.8529339553154923,8722,7777,0.891653290529695
00200,11108,27133,4148,6960,13080,123,0.6265754411235146,21160,15682,0.7411153119092627
00300,8736,18762,3287,5449,8040,121,0.6237408424908425,16664,11866,0.7120739318290926
00401,3692,7860,1249,2443,4967,39,0.6617009750812568,7068,5390,0.7625919637804188
00402,11206,30932,5278,5928,14795,86,0.5290023201856149,20677,13029,0.6301204236591381
00403,12520,38196,5566,6954,15977,95,0.5554313099041533,21293,13768,0.6465974733480486
00404,7603,17718,3004,4599,8361,65,0.6048928054715244,11736,7983,0.6802147239263804
00405,7665,16715,2217,5448,10853,75,0.7107632093933464,12735,10121,0.7947389085198272
00406,10952,25594,4657,6295,13152,86,0.5747808619430241,18522,11777,0.6358384623690746
00407,13070,34030,7905,5165,11253,125,0.3951798010711553,22200,11157,0.5025675675675676
00408,11090,29985,5627,5463,13674,94,0.49260595130748425,20109,10842,0.5391615694465165
00409,14818,25844,7197,7621,12485,124,0.5143069240113376,24371,15324,0.6287801075048213
00410,5290,10104,655,4635,7797,54,0.8761814744801513,9052,7900,0.8727353071144498
00411,4748,9574,683,4065,7586,41,0.8561499578770009,8337,7532,0.9034424853064652
00412,5815,11699,1028,4787,8370,50,0.8232158211521926,11751,9381,0.7983150370181261
00413,5848,10264,1179,4669,7941,45,0.7983926128590971,10417,8665,0.8318133819717769
00414,5956,11237,998,4958,9335,61,0.8324378777703156,9058,7510,0.82910134687569
00415,10201,23796,1922,8279,19292,76,0.8115870993039898,18226,14739,0.8086799078239877
