County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Albany,41485.0,0.65496,19981.0,12753.0,36001
Allegany,8713.6,0.551965,4154.0,2185.6,36003
Bronx,396635.0,0.278553,180215.0,55727.0,36005
Broome,26441.7,0.517382,13460.6,7104.0,36007
Cattaraugus,13070.4,0.551965,6231.0,3278.4,36009
Cayuga,7940.5,0.543737,3721.6,2266.2,36011
Chautauqua,27992.0,0.358424,11683.0,4682.0,36013
Chemung,17596.9,0.357624,7197.3,3120.7,36015
Chenango,5840.6,0.4618,2983.7,1493.6,36017
Clinton,9719.2,0.529331,5070.1,2621.0,36019
Columbia,8432.3,0.65447,4125.2,2758.5,36021
Cortland,5587.2,0.482949,3090.8,1698.1,36023
Delaware,6570.7,0.4618,3356.7,1680.3,36025
Dutchess,23633.6,0.639647,11137.1,6842.6,36027
Erie,141459.0,0.440424,71581.0,32049.0,36029
Essex,7952.0,0.529331,4148.2,2144.4,36031
Franklin,6626.7,0.529331,3456.9,1787.0,36033
Fulton,6961.2,0.499075,3617.4,1982.8,36035
Genesee,4921.0,0.458642,2715.5,1502.6,36037
Greene,7227.7,0.65447,3535.8,2364.5,36039
Hamilton,1767.1,0.529331,921.8,476.5,36041
Herkimer,7560.5,0.504881,3532.9,1812.4,36043
Jefferson,17938.4,0.597556,7518.4,4263.2,36045
Kings,500598.0,0.410038,218110.0,93632.0,36047
Lewis,4484.6,0.597556,1879.6,1065.8,36049
Livingston,5108.0,0.633392,2499.2,1530.9,36051
Madison,8165.8,0.482949,4517.2,2481.9,36053
Monroe,99691.0,0.441223,48835.0,22623.0,36055
Montgomery,6551.8,0.499075,3404.6,1866.2,36057
Nassau,71716.0,0.770386,33548.0,24523.0,36059
New York,236314.0,0.46183,137783.0,69164.0,36061
Niagara,27954.0,0.558811,14651.0,8076.0,36063
Oneida,44650.0,0.417126,20603.1,9665.6,36065
Onondaga,65953.5,0.420242,31381.4,15381.8,36067
Ontario,11351.0,0.633392,5553.8,3402.1,36069
Orange,55769.0,0.440209,16772.0,7994.0,36071
Orleans,3827.4,0.458642,2112.1,1168.7,36073
Oswego,21967.0,0.452998,9129.0,4139.0,36075
Otsego,8732.2,0.641542,4216.7,2596.0,36077
Putnam,6268.4,0.935143,2794.9,2460.4,36079
Queens,351035.0,0.541211,151807.0,84573.0,36081
Rensselaer,18143.0,0.608224,7467.0,4880.0,36083
Richmond,72952.0,0.596159,29019.0,17962.0,36085
Rockland,60470.0,0.507194,15501.0,8428.0,36087
St. Lawrence,22868.0,0.503761,11330.0,5851.0,36089
Saratoga,13874.0,0.715727,9090.0,6565.0,36091
Schenectady,25195.0,0.352808,11052.0,4767.0,36093
Schoharie,3175.3,0.641542,1533.3,944.0,36095
Schuyler,2650.7,0.442953,1251.1,607.9,36097
Seneca,5056.1,0.56198,2446.4,1508.5,36099
Steuben,18013.8,0.412643,8099.5,3798.3,36101
Suffolk,92910.0,0.622882,43467.0,29172.0,36103
Sullivan,9606.4,0.52758,5484.1,2674.7,36105
Tioga,7213.5,0.376722,3052.1,1363.2,36107
Tompkins,15964.0,0.762528,7992.0,6031.0,36109
Ulster,14248.6,0.499267,8369.9,4403.3,36111
Warren,7070.9,0.439122,3511.2,1857.2,36113
Washington,6456.1,0.439122,3205.8,1695.8,36115
Wayne,11950.8,0.56198,5782.4,3565.5,36117
Westchester,91130.0,0.636453,45123.0,28666.0,36119
Wyoming,3280.6,0.458642,1810.4,1001.7,36121
Yates,3677.2,0.56198,1779.2,1097.1,36123
