PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,11330,22868,5479,5851,11520,146,0.5164165931156223,16086,9865,0.613266194206142
00200,13597,26065,6568,7029,13797,209,0.5169522688828418,21327,12422,0.5824541660805551
00300,6717,13527,3164,3553,5940,109,0.5289563793360131,12990,8800,0.6774441878367975
00401,5979,12819,2947,3032,6375,114,0.507108212075598,11751,7386,0.6285422517232576
00402,17007,37010,9269,7738,14539,140,0.4549891221261833,25743,13908,0.5402633725672998
00403,6900,14289,2652,4248,9167,154,0.6156521739130435,13192,8956,0.6788963007883566
00500,9398,22423,4069,5329,13399,184,0.5670355394764843,18268,12408,0.6792204948543902
00600,9129,21967,4990,4139,9951,137,0.4533902946653522,13770,7494,0.5442265795206972
00701,18057,39861,11464,6593,11449,151,0.3651215595060088,25648,11609,0.45262788521522146
00702,5548,10692,1724,3824,6723,46,0.6892573900504686,11274,8552,0.7585595174738335
00703,5990,11589,2113,3877,7472,67,0.647245409015025,10986,7554,0.687602403058438
00704,5508,11752,2154,3354,6390,115,0.6089324618736384,10560,6871,0.6506628787878788
00800,10008,20684,3837,6171,11624,144,0.6166067146282974,16769,11090,0.6613393762299481
00901,4974,8923,2254,2720,4024,52,0.5468435866505831,10406,7245,0.6962329425331539
00902,13881,26705,10118,3763,6604,126,0.2710899791081334,19984,7203,0.3604383506805444
00903,10512,21305,7018,3494,6242,97,0.3323820395738204,16639,6892,0.4142075845904201
00904,6729,14401,1574,5155,11155,59,0.7660870857482538,12301,9183,0.74652467279083
00905,4672,10798,2227,2445,5349,47,0.5233304794520548,8114,4922,0.6066058664037466
00906,8067,17559,3021,5046,10612,70,0.625511342506508,13271,9246,0.6967071057192374
01000,6638,12029,2965,3673,5517,120,0.5533293160590539,12054,7981,0.6621038659366185
01101,10069,18253,5057,5012,9163,99,0.4977654186115801,17000,10091,0.5935882352941176
01102,4582,9701,1518,3064,6458,53,0.6687036228721083,7527,5017,0.6665338116115318
01201,5453,8227,3070,2383,4207,52,0.4370071520264075,10421,6301,0.6046444679013531
01202,5488,11677,2030,3458,8661,49,0.6301020408163265,9278,6691,0.721168355248976
01203,3900,5351,1438,2462,3469,33,0.6312820512820513,8156,5762,0.7064737616478666
01204,10950,22623,6439,4511,8204,110,0.4119634703196347,19026,11030,0.57973299695154
01205,22255,51855,14419,7836,18024,167,0.35210065153898,30542,12963,0.42443192980158473
01206,15856,28303,9109,6747,12326,115,0.42551715438950555,21657,10972,0.5066260331532529
01207,7679,13423,3027,4652,7411,98,0.6058080479229067,12096,7850,0.6489748677248677
01300,8053,16459,3120,4933,10425,135,0.6125667453123059,15755,10895,0.6915264995239606
01500,7608,13753,3428,4180,6642,172,0.5494216614090431,13256,8568,0.6463488231744116
01600,7022,13513,3173,3849,6744,117,0.5481344346340074,12385,8104,0.6543399273314493
01700,11052,25195,6285,4767,8889,79,0.43132464712269275,15538,8335,0.5364268245591454
01801,4043,5461,602,3441,4699,43,0.8511006678209251,6982,5900,0.8450300773417359
01802,5047,8413,1923,3124,5231,63,0.618981573211809,7705,4776,0.6198572355613238
01900,7467,18143,2587,4880,11035,82,0.6535422525780099,13774,9715,0.705314360389139
02001,9717,20982,2957,6760,15188,59,0.6956879695379232,15992,10723,0.6705227613806903
02002,10264,20503,4271,5993,11983,86,0.5838854247856586,15219,9935,0.652802418030094
02100,7661,15660,2538,5123,10249,91,0.6687116564417178,12101,9082,0.7505164862408066
02201,9731,19141,4494,5237,10309,105,0.5381769602301921,17261,10624,0.6154915705926656
