County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adams,5142.2,0.426199,2712.2,1438.6,39001
Allen,12871.0,0.447518,6357.0,3945.0,39003
Ashland,11020.9,0.623907,3877.1,2484.8,39005
Ashtabula,15734.8,0.461794,6048.2,2825.8,39007
Athens,10432.7,0.472664,4915.4,2682.7,39009
Auglaize,3794.3,0.624479,2258.1,1541.0,39011
Belmont,11766.7,0.417407,5832.8,2835.3,39013
Brown,7010.7,0.384806,2709.3,1355.2,39015
Butler,44602.0,0.505403,22174.0,12618.0,39017
Carroll,3396.9,0.664652,1428.5,909.8,39019
Champaign,3449.4,0.624479,2052.8,1400.9,39021
Clark,21277.0,0.379894,10633.0,5097.0,39023
Clermont,27465.3,0.476028,12192.7,7436.8,39025
Clinton,5140.4,0.502814,2776.4,1600.4,39027
Columbiana,16153.7,0.42955,8084.6,3748.4,39029
Coshocton,9184.1,0.623907,3230.9,2070.6,39031
Crawford,5948.1,0.398371,3068.8,1663.2,39033
Cuyahoga,209377.0,0.377014,105135.0,50402.0,39035
Darke,5512.9,0.56645,2685.3,1739.5,39037
Defiance,4031.3,0.612851,1997.8,1265.0,39039
Delaware,12363.0,0.673704,3984.0,2937.0,39041
Erie,14700.0,0.520882,5928.5,3387.3,39043
Fairfield,16560.0,0.493539,6729.0,3883.0,39045
Fayette,3598.2,0.502814,1943.5,1120.2,39047
Franklin,205917.0,0.536648,89901.0,55369.0,39049
Fulton,4366.0,0.730738,2014.8,1494.8,39051
Gallia,6229.3,0.303316,2987.4,1125.3,39053
Geauga,11394.2,0.461794,4379.8,2046.2,39055
Greene,15107.0,0.724432,8410.0,6186.0,39057
Guernsey,5348.5,0.417407,2651.2,1288.8,39059
Hamilton,122641.0,0.510229,60339.0,33053.0,39061
Hancock,7543.7,0.657993,4882.8,3123.3,39063
Hardin,4023.3,0.657993,2604.2,1665.7,39065
Harrison,3588.3,0.503748,1774.3,965.7,39067
Henry,3056.2,0.730738,1410.4,1046.4,39069
Highland,5654.4,0.502814,3054.1,1760.4,39071
Hocking,6021.6,0.333419,2277.1,906.9,39073
Holmes,9184.1,0.623907,3230.9,2070.6,39075
Huron,9555.0,0.520882,3853.5,2201.7,39077
Jackson,5450.7,0.303316,2614.0,984.7,39079
Jefferson,14215.3,0.42955,7114.4,3298.6,39081
Knox,7114.0,0.522175,3589.8,1973.0,39083
Lake,27898.0,0.629006,12111.0,8354.0,39085
Lawrence,14016.0,0.303316,6721.6,2532.0,39087
Licking,15081.0,0.494331,7895.0,4333.0,39089
Logan,3794.3,0.624479,2258.1,1541.0,39091
Lorain,34261.0,0.520154,15886.0,8451.0,39093
Lucas,84363.9,0.443821,38722.7,20811.2,39095
Madison,3970.5,0.539879,2130.7,1386.4,39097
Mahoning,46633.1,0.373851,21812.7,9755.9,39099
Marion,9146.6,0.522175,4615.5,2536.7,39101
Medina,22043.0,0.380302,8417.0,4514.0,39103
Meigs,4173.1,0.472664,1966.2,1073.1,39105
Mercer,4031.3,0.612851,1997.8,1265.0,39107
Miami,10242.0,0.623706,5192.0,2777.0,39109
Monroe,2139.4,0.417407,1060.5,515.5,39111
Montgomery,79504.0,0.539193,40844.0,23965.0,39113
Morgan,3175.4,0.29947,1485.3,539.4,39115
Morrow,4573.3,0.522175,2307.7,1268.3,39117
Muskingum,16670.9,0.29947,7797.8,2831.9,39119
Noble,2139.4,0.417407,1060.5,515.5,39121
Ottawa,4345.5,0.781323,2613.6,2151.9,39123
Paulding,2239.6,0.612851,1109.9,702.8,39125
Perry,7144.7,0.29947,3341.9,1213.7,39127
Pickaway,5294.0,0.539879,2841.0,1848.6,39129
Pike,5142.2,0.426199,2712.2,1438.6,39131
Portage,16671.0,0.642793,7951.0,5424.0,39133
Preble,4725.3,0.56645,2301.7,1491.0,39135
Putnam,3492.8,0.730738,1611.8,1195.8,39137
Richland,15076.0,0.404152,7631.0,3903.0,39139
Ross,14623.8,0.333419,5530.0,2202.4,39141
Sandusky,4345.5,0.781323,2613.6,2151.9,39143
Scioto,15426.6,0.426199,8136.6,4315.8,39145
Seneca,6405.6,0.398371,3304.8,1791.2,39147
Shelby,3937.8,0.56645,1918.1,1242.5,39149
Stark,51207.1,0.53622,24866.5,14201.2,39151
Summit,71322.0,0.395446,34161.0,16241.0,39153
Trumbull,34774.9,0.478425,17477.3,9664.1,39155
Tuscarawas,17223.7,0.503748,8516.7,4635.3,39157
Union,4301.4,0.539879,2308.3,1502.0,39159
Van Wert,4031.3,0.612851,1997.8,1265.0,39161
Vinton,2580.7,0.333419,975.9,388.7,39163
Warren,15454.0,0.62961,8498.0,6198.0,39165
Washington,12519.2,0.472664,5898.5,3219.2,39167
Wayne,14191.0,0.46755,6485.0,3514.0,39169
Williams,4031.3,0.612851,1997.8,1265.0,39171
Wood,15749.0,0.659343,7899.0,5677.0,39173
Wyandot,2745.3,0.398371,1416.4,767.6,39175
