PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,9101,18365,3338,5763,11255,117,0.633227117899132,19692,14765,0.7497968718261223
00200,5037,10915,1300,3737,7976,78,0.741909866984316,8471,6711,0.7922323220399008
00301,5406,10250,2224,3182,5239,63,0.5886052534221236,9556,7191,0.7525115110925074
00302,15722,34778,6566,9156,16868,127,0.5823686553873553,24625,16630,0.6753299492385787
00303,16375,37308,8906,7469,13751,130,0.45612213740458013,24575,12859,0.5232553407934893
00401,6447,10719,1139,5308,8375,75,0.8233286800062044,11704,9301,0.7946855775803144
00500,9782,24255,4193,5589,12634,100,0.5713555510120629,16323,11201,0.6862096428352631
00601,12096,24238,6494,5602,10926,98,0.46312830687830686,20519,11868,0.5783907597836152
00602,3790,10023,941,2849,6895,45,0.7517150395778364,8844,7116,0.8046132971506106
00701,2939,3900,771,2168,3129,32,0.737665872745832,7295,5826,0.7986291980808773
00702,6290,10043,1441,4849,7986,63,0.770906200317965,11821,10070,0.8518737839438287
00703,12013,22434,7888,4125,6136,109,0.3433780071589112,16479,7282,0.4418957461010984
00704,7837,16133,2440,5397,9501,66,0.6886563736123517,12358,8623,0.6977666289043535
00705,3894,7140,854,3040,5194,35,0.7806882383153569,7699,6845,0.8890765034420055
00706,7528,20140,3724,3804,5031,62,0.5053134962805526,13560,8271,0.6099557522123894
00707,19377,48342,11466,7911,15126,121,0.40826753367394336,27152,13545,0.4988582793164408
00708,26876,52366,19651,7225,10732,196,0.2688272064295282,37809,15607,0.41278531566558224
00709,12425,19898,5064,7361,10197,103,0.5924346076458753,18473,12154,0.657933199805121
00710,5956,8981,1434,4522,5906,61,0.7592343854936199,11639,9245,0.794312226136266
00801,6035,11876,1895,4140,6386,63,0.6859983429991715,12287,10114,0.8231464149100676
00802,6076,16022,1862,4214,11162,47,0.6935483870967742,10873,7678,0.7061528556975996
00900,10428,27129,5556,4872,12528,112,0.4672036823935558,20452,13216,0.6461959710541756
01001,9179,18759,3560,5619,10456,97,0.612158187166358,15152,10747,0.709279303062302
01002,11268,22085,5405,5863,9564,96,0.5203230386936457,19841,12550,0.6325286023889924
01003,18843,40564,10905,7938,14051,193,0.42127049832829166,29051,15499,0.5335100340780008
01100,7951,16671,2527,5424,10716,80,0.6821783423468746,15692,11580,0.737955646189141
01201,1818,3701,312,1506,3303,16,0.8283828382838284,5435,4740,0.8721251149954001
01202,4684,8035,2339,2345,3042,39,0.5006404782237404,9980,7114,0.7128256513026052
01203,21619,46456,13081,8538,13743,166,0.39493038530921876,33485,17006,0.5078691951620128
01204,6040,13130,2188,3852,8116,58,0.6377483443708609,13598,10226,0.7520223562288572
01300,8417,22043,3903,4514,8383,76,0.5362955922537721,15765,11112,0.7048525214081827
01400,6485,14191,2971,3514,6635,79,0.5418658442559753,10801,7431,0.6879918526062402
01500,10339,29389,3713,6626,18336,104,0.6408743592223619,17023,12248,0.71949715091347
01600,7631,15076,3728,3903,6093,72,0.5114663871052286,15301,9679,0.6325730344421934
01700,7790,15099,3568,4222,6015,101,0.541976893453145,14673,9399,0.6405643017787773
01800,7899,15749,2222,5677,10384,84,0.7186985694391695,13861,10836,0.7817617776495203
01900,7487,11567,2698,4789,7611,70,0.6396420462134367,12172,8393,0.6895333552415379
02000,6357,12871,2412,3945,5760,67,0.6205757432751298,12251,8877,0.7245939107011673
02100,6569,11038,2086,4483,6893,98,0.6824478611660831,12756,10396,0.814989024772656
02200,6905,14176,2432,4473,8030,128,0.6477914554670529,13965,9805,0.7021124239169352
02300,5192,10242,2415,2777,6388,48,0.5348613251155624,9914,6803,0.6862013314504741
02400,10633,21277,5536,5097,8083,110,0.4793567196463839,18277,10448,0.5716474257263227
02500,7280,13566,2543,4737,7324,92,0.6506868131868132,13020,8696,0.6678955453149001
02600,10513,20834,4735,5778,10879,104,0.5496052506420622,18657,12705,0.680977649139733
02701,7958,15239,2367,5591,11205,68,0.7025634581553154,13088,9892,0.7558068459657702
02702,12215,24807,6594,5621,8835,98,0.46017191977077365,21443,13100,0.6109219792006716
02703,6122,14558,2223,3899,9676,79,0.6368833714472395,12247,9023,0.7367518575977791
02800,15199,30369,8152,7047,13045,176,0.46364892427133364,24012,14393,0.599408629018824
02900,10291,20812,4690,5601,10484,116,0.5442619764843066,13961,8528,0.6108444953799871
03000,10605,21394,5450,5155,8930,156,0.4860914662894861,18501,11415,0.6169936760175125
03100,12625,26991,8040,4585,8083,152,0.36316831683168316,20367,10568,0.5188785780920115
03200,7895,15081,3562,4333,7455,84,0.5488283723875871,15085,10117,0.6706662247265496
03301,2054,6446,955,1099,2780,27,0.5350535540408958,5006,3495,0.6981622053535758
03302,1930,5917,92,1838,5549,13,0.9523316062176166,4028,3549,0.8810824230387289
03401,3321,6513,564,2757,5308,23,0.8301716350496838,5932,4954,0.8351314902225219
03402,9452,27427,3391,6061,17732,58,0.6412399492170969,15538,10874,0.6998326682970781
03403,6186,10771,1740,4446,6353,54,0.7187196896217265,9038,7181,0.7945341889798628
03404,3853,9202,1284,2569,4815,30,0.6667531793407734,6444,4670,0.7247051520794537
