County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adair,4878.7,0.493646,1869.7,1071.3,40001
Alfalfa,1262.7,0.61504,515.7,344.4,40003
Atoka,3011.2,0.582492,1327.8,798.1,40005
Beaver,1262.7,0.61504,515.7,344.4,40007
Beckham,3127.9,0.492167,1313.3,711.5,40009
Blaine,2104.4,0.61504,859.4,574.0,40011
Bryan,9786.4,0.582492,4315.4,2593.8,40013
Caddo,7819.8,0.492167,3283.2,1778.9,40015
Canadian,11377.0,0.838798,5254.0,4562.0,40017
Carter,9068.2,0.557366,4419.8,2557.5,40019
Cherokee,12684.5,0.493646,4861.1,2785.5,40021
Choctaw,4434.5,0.411915,1978.8,966.9,40023
Cimarron,841.8,0.61504,343.8,229.6,40025
Cleveland,40809.0,0.511774,17659.0,10787.0,40027
Coal,1505.6,0.582492,663.9,399.0,40029
Comanche,25498.9,0.395626,9571.2,4167.6,40031
Cotton,1342.1,0.395626,503.8,219.4,40033
Craig,3609.2,0.50936,1632.2,971.1,40035
Creek,15588.6,0.521394,7337.0,4484.3,40037
Custer,5473.8,0.492167,2298.2,1245.2,40039
Delaware,9383.9,0.50936,4243.6,2524.8,40041
Dewey,1262.7,0.61504,515.7,344.4,40043
Ellis,841.8,0.61504,343.8,229.6,40045
Garfield,9836.0,0.505439,4335.0,2499.0,40047
Garvin,5245.4,0.483544,2112.3,1282.6,40049
Grady,8742.3,0.483544,3520.5,2137.7,40051
Grant,1157.2,0.505439,510.0,294.0,40053
Greer,1564.0,0.492167,656.6,355.8,40055
Harmon,782.0,0.492167,328.3,177.9,40057
Harper,841.8,0.61504,343.8,229.6,40059
Haskell,3547.6,0.411915,1583.0,773.5,40061
Hughes,3083.9,0.495967,1457.8,849.4,40063
Jackson,6255.8,0.492167,2626.5,1423.1,40065
Jefferson,1700.3,0.557366,828.7,479.5,40067
Johnston,3011.2,0.582492,1327.8,798.1,40069
Kay,6364.5,0.505439,2805.0,1617.0,40071
Kingfisher,1683.5,0.61504,687.5,459.2,40073
Kiowa,2345.9,0.492167,985.0,533.7,40075
Latimer,2660.7,0.411915,1187.3,580.1,40077
Le Flore,10642.7,0.411915,4749.1,2320.5,40079
Lincoln,6762.6,0.277832,2567.7,1094.9,40081
Logan,8590.1,0.506978,4278.1,2746.2,40083
Love,1700.3,0.557366,828.7,479.5,40085
McClain,5245.4,0.483544,2112.3,1282.6,40087
McCurtain,7982.0,0.411915,3561.8,1740.4,40089
McIntosh,4934.2,0.495967,2332.4,1359.0,40091
Major,1262.7,0.61504,515.7,344.4,40093
Marshall,4516.8,0.582492,1991.7,1197.1,40095
Mayes,7218.4,0.50936,3264.3,1942.2,40097
Murray,2833.8,0.557366,1381.2,799.2,40099
Muskogee,8782.2,0.571711,4300.0,2220.9,40101
Noble,2314.4,0.505439,1020.0,588.0,40103
Nowata,2180.4,0.48197,909.6,519.2,40105
Okfuskee,2467.1,0.495967,1166.2,679.5,40107
Oklahoma,128715.0,0.537125,56714.0,33828.0,40109
Okmulgee,7455.4,0.521394,3509.0,2144.7,40111
Osage,10118.5,0.398282,4169.3,2216.5,40113
Ottawa,6496.5,0.50936,2937.9,1747.9,40115
Pawnee,3891.7,0.398282,1603.6,852.5,40117
Payne,15197.9,0.506978,7568.9,4858.8,40119
Pittsburg,8634.8,0.495967,4081.7,2378.2,40121
Pontotoc,8280.8,0.582492,3651.4,2194.8,40123
Pottawatomie,16906.4,0.277832,6419.3,2737.1,40125
Pushmataha,3547.6,0.411915,1583.0,773.5,40127
Roger Mills,420.9,0.61504,171.9,114.8,40129
Rogers,15262.6,0.48197,6367.4,3634.8,40131
Seminole,5551.0,0.495967,2624.0,1528.9,40133
Sequoyah,11708.8,0.493646,4487.2,2571.2,40135
Stephens,6234.4,0.557366,3038.6,1758.3,40137
Texas,2525.3,0.61504,1031.3,688.7,40139
Tillman,3909.9,0.492167,1641.6,889.4,40141
Tulsa,121626.0,0.441205,51342.0,26870.0,40143
Wagoner,10977.8,0.571711,5375.0,2776.1,40145
Washington,10896.8,0.398282,4490.1,2387.0,40147
Washita,3127.9,0.492167,1313.3,711.5,40149
Woods,1683.5,0.61504,687.5,459.2,40151
Woodward,2104.4,0.61504,859.4,574.0,40153
