PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
20100,7391,18098,2455,4936,11131,113,0.6678392639696928,14375,10835,0.7537391304347826
20200,8670,19672,3672,4998,9943,88,0.5764705882352941,14581,9323,0.6393937315684796
20300,10263,24907,4807,5456,9920,110,0.5316184351554126,16550,10073,0.6086404833836858
20400,7277,17443,3123,4154,8407,77,0.5708396317163666,12959,8512,0.6568408056177174
20500,12078,26708,4892,7186,13604,205,0.5949660539824474,20349,14634,0.7191508182220256
20600,11218,29272,4790,6428,14450,135,0.5730076662506686,17611,12079,0.6858781443416047
20700,9675,19760,4678,4997,11297,100,0.516485788113695,16921,10392,0.6141480999940901
20801,11575,29652,6026,5549,11606,95,0.4793952483801296,18004,10871,0.6038102643856921
20802,10251,23147,4976,5275,10036,90,0.5145839430299483,16627,10196,0.6132194623203223
20803,13973,34398,7853,6120,12263,102,0.43798754741286766,21909,12560,0.573280387055548
20804,8572,16897,3235,5337,10060,64,0.6226084927671488,15373,10954,0.7125479737201588
20805,6971,17532,2382,4589,9697,60,0.6582986659015924,11365,8786,0.7730752309722834
20900,10846,23044,4217,6629,12015,141,0.6111930665683201,17720,12253,0.6914785553047404
21000,11662,24671,4867,6795,12236,187,0.5826616360830046,18329,11975,0.6533362431120083
21100,11847,23788,4242,7605,12060,81,0.6419346670043049,19328,14782,0.7647971854304636
21200,8987,23669,5155,3832,6576,116,0.4263936797596528,16403,9825,0.5989757971102847
21301,5540,15201,2431,3109,7617,30,0.5611913357400722,12269,9447,0.7699894041894205
21302,12119,25608,4441,7678,13268,51,0.6335506229886955,20467,14508,0.7088483900913666
21401,8171,16159,2852,5319,10232,48,0.6509607147228001,18439,13729,0.7445631541840664
21402,8154,19623,948,7206,17160,46,0.88373804267844,13293,11408,0.8581960430301663
21403,7683,16652,3498,4185,6891,44,0.5447090980085904,13373,7887,0.5897704329619382
21404,9087,18046,2574,6513,12182,48,0.7167381974248928,12843,9520,0.7412598302577279
21405,12065,29728,5869,6196,12706,61,0.5135515955242437,19102,11048,0.5783687571981991
21406,11554,28507,7145,4409,9965,60,0.3815994460792799,16996,9126,0.5369498705577783
21500,5254,11377,692,4562,9543,54,0.8682908260373049,9113,7925,0.8696367826182377
21600,14446,34407,6619,7827,16934,211,0.5418108819050256,21189,12691,0.5989428477039973
21700,10075,26841,5688,4387,10619,110,0.4354342431761787,16130,9490,0.5883446993180409
21800,7745,19233,3042,4703,9300,95,0.6072304712717882,14223,9390,0.6601982704070871
21900,10497,21537,4423,6074,12004,136,0.5786415166237973,17697,12022,0.6793241792394191
22000,13278,30112,5297,7981,17540,179,0.6010694381683989,20811,14548,0.6990533852289654
22100,14643,32815,7488,7155,13517,252,0.48862937922556854,21154,11987,0.5666540606977404
