County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Baker,3612.4,0.413409,1901.6,921.4,41001
Benton,14089.2,0.525504,6812.7,4313.8,41003
Clackamas,30548.0,0.648029,14312.0,9531.0,41005
Clatsop,5641.1,0.440656,3258.0,1759.1,41007
Columbia,5171.0,0.440656,2986.5,1612.5,41009
Coos,10493.2,0.395654,5890.1,2786.8,41011
Crook,2645.1,0.362063,1008.0,584.8,41013
Curry,3815.7,0.395654,2141.8,1013.4,41015
Deschutes,18595.0,0.512763,9587.0,5989.9,41017
Douglas,19570.0,0.325141,8939.0,3265.0,41019
Gilliam,579.6,0.51411,224.1,147.7,41021
Grant,1738.9,0.51411,672.2,443.0,41023
Harney,2029.4,0.377429,1004.1,439.5,41025
Hood River,3477.9,0.51411,1344.4,886.1,41027
Jackson,27075.0,0.396343,14231.0,6207.0,41029
Jefferson,3022.9,0.362063,1152.0,668.3,41031
Josephine,10493.2,0.395654,5890.1,2786.8,41033
Klamath,14882.1,0.377429,7363.1,3223.3,41035
Lake,1352.9,0.377429,669.4,293.0,41037
Lane,56467.0,0.462235,29354.0,15970.0,41039
Lincoln,10720.3,0.471035,5443.2,2746.3,41041
Linn,17598.8,0.477082,7288.3,3241.2,41043
Malheur,5411.7,0.377429,2677.5,1172.1,41045
Marion,52794.0,0.485415,21435.0,11423.0,41047
Morrow,1738.9,0.51411,672.2,443.0,41049
Multnomah,91351.0,0.481451,52181.0,25814.0,41051
Polk,9027.7,0.471035,4583.8,2312.7,41053
Sherman,579.6,0.51411,224.1,147.7,41055
Tillamook,5171.0,0.440656,2986.5,1612.5,41057
Umatilla,10725.1,0.440621,5240.5,2734.8,41059
Union,4816.5,0.413409,2535.5,1228.5,41061
Wallowa,1806.2,0.413409,950.8,460.7,41063
Wasco,4637.1,0.51411,1792.6,1181.4,41065
Washington,44733.0,0.514519,20587.0,11572.0,41067
Wheeler,579.6,0.51411,224.1,147.7,41069
Yamhill,11199.0,0.440664,6561.0,3816.0,41071
