PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00301,7432,15370,2726,4706,8077,75,0.6332077502691066,10780,7057,0.6546382189239333
00501,3998,8763,1445,2553,5593,38,0.6385692846423212,6818,4736,0.694631856849516
00502,2936,5626,1333,1603,3249,31,0.5459809264305178,7390,4627,0.6261163734776726
00503,4120,8363,1293,2827,6189,37,0.6861650485436893,8034,4887,0.6082897684839432
00504,3258,7796,710,2548,4765,31,0.7820748925721301,5130,4063,0.7920077972709552
01701,6419,10282,2267,4152,6525,50,0.6468297242561146,10377,7930,0.7641900356557771
01702,5328,13981,2237,3091,5062,55,0.5801426426426426,10743,6686,0.6223587452294518
01900,8939,19570,5674,3265,6363,105,0.36525338404743257,15157,7590,0.5007587253414264
02901,6765,11839,4068,2697,4284,46,0.398669623059867,11657,6325,0.5425924337308056
02902,7466,15236,3956,3510,6447,79,0.4701312617197964,12945,7696,0.5945152568559289
03903,14928,28037,7340,7588,12065,108,0.5083065380493034,21845,12711,0.5818722819867247
03904,7055,12940,2883,4172,5863,62,0.5913536498936924,15081,8503,0.5638220277169949
03905,7371,15490,3161,4210,8173,93,0.5711572378239045,13502,8152,0.6037624055695453
04301,6669,16318,3820,2849,7723,67,0.4272004798320588,11315,6239,0.5513919575784357
04703,8189,24305,4029,4160,12097,51,0.5079985346196116,14840,8402,0.5661725067385445
04704,7338,14282,3760,3578,6325,52,0.4875988007631507,12690,7921,0.6241922773837667
04705,5908,14207,2223,3685,7205,52,0.6237305348679756,10184,6586,0.646700706991359
05101,8091,14913,4868,3223,5665,63,0.3983438388332715,11952,5865,0.4907128514056225
05102,11055,18763,5571,5484,9725,90,0.4960651289009498,16323,8620,0.5280891992893463
05103,6363,12507,3429,2934,4830,53,0.4611032531824611,9951,5212,0.5237664556325997
05105,7357,11874,3291,4066,6088,60,0.5526709256490417,10934,6554,0.599414669837205
05114,10524,15097,4064,6460,8566,84,0.6138350437096162,15306,9477,0.6191689533516268
05116,8791,18197,5144,3647,9107,63,0.4148561028324423,14483,7170,0.49506317751846995
05901,9508,18062,4901,4607,7467,119,0.4845393352965923,16164,10231,0.6329497649096758
06501,6274,16230,2139,4135,8344,65,0.6590691743704176,11223,7804,0.6953577474828477
06720,3195,6576,1449,1746,3022,31,0.5464788732394367,7822,4255,0.5439785221171056
06721,4224,7876,2107,2117,3465,49,0.5011837121212122,6614,3715,0.5616873299062595
06722,4923,12314,1768,3155,7516,39,0.6408693885841966,7000,4703,0.6718571428571428
06723,3992,8670,1673,2319,4608,37,0.5809118236472945,6980,4310,0.6174785100286533
06724,4253,9297,2018,2235,4405,37,0.5255114037150247,6860,3770,0.5495626822157434
07100,6561,11199,2745,3816,4935,61,0.5816186556927297,10754,6897,0.6413427561837456
09000,9231,15983,4247,4984,7043,85,0.5399198353374499,16596,9374,0.5648348999758978
09100,13922,24802,7335,6587,9813,149,0.4731360436718862,24835,13175,0.5305013086370042
09200,11714,23676,6586,5128,8936,139,0.43776677479938536,18698,9122,0.4878596641352016
09300,10027,19748,4968,5059,9302,109,0.5045377480801835,15608,8677,0.5559328549461815
