County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adams,11982.3,0.295664,5248.6,2518.4,42001
Allegheny,147893.0,0.511931,79390.0,44346.0,42003
Armstrong,10870.2,0.415593,5212.2,2420.5,42005
Beaver,19665.0,0.365246,10558.1,4231.6,42007
Bedford,5252.3,0.456005,2817.8,1314.8,42009
Berks,54699.0,0.530229,23118.0,14232.0,42011
Blair,17375.7,0.382804,9257.8,3858.9,42013
Bradford,6307.3,0.522216,3335.9,1839.9,42015
Bucks,56102.0,0.359595,24024.0,12431.0,42017
Butler,21407.0,0.549026,10522.0,6241.0,42019
Cambria,19959.0,0.379628,11212.0,5342.0,42021
Cameron,1073.0,0.339012,483.0,193.6,42023
Carbon,6497.8,0.499367,2508.9,1602.4,42025
Centre,29020.0,0.770538,13530.0,10510.0,42027
Chester,32624.0,0.622272,15296.0,9807.0,42029
Clarion,8052.8,0.568502,3433.4,1795.4,42031
Clearfield,10730.0,0.339012,4829.6,1936.0,42033
Clinton,6209.0,0.397231,2863.3,1398.1,42035
Columbia,8089.5,0.552948,4025.5,2406.1,42037
Crawford,10834.3,0.485553,5709.1,2727.4,42039
Cumberland,27701.7,0.583238,12688.3,8185.7,42041
Dauphin,38447.0,0.486358,18932.0,11009.0,42043
Delaware,66451.0,0.553235,28897.0,19665.0,42045
Elk,4828.5,0.339012,2173.3,871.2,42047
Erie,47863.0,0.304828,20821.0,8796.0,42049
Fayette,25799.0,0.254622,12203.0,4221.0,42051
Forest,1238.9,0.568502,528.2,276.2,42053
Franklin,14548.7,0.756717,7080.4,5227.6,42055
Fulton,1313.1,0.456005,704.5,328.7,42057
Greene,3868.0,0.481164,1904.3,901.7,42059
Huntingdon,5944.3,0.382804,3167.2,1320.1,42061
Indiana,13730.8,0.415593,6583.8,3057.5,42063
Jefferson,8052.8,0.568502,3433.4,1795.4,42065
Juniata,3866.1,0.550174,1518.9,720.2,42067
Lackawanna,44482.9,0.457557,20956.3,11131.5,42069
Lancaster,50409.0,0.590331,21191.0,12804.0,42071
Lawrence,10073.0,0.375801,5267.9,2294.4,42073
Lebanon,12277.0,0.551356,6409.0,3771.0,42075
Lehigh,64939.0,0.557287,25686.8,14772.8,42077
Luzerne,62501.5,0.409109,26732.5,12738.9,42079
Lycoming,19869.0,0.397231,9162.7,4473.9,42081
McKean,6438.0,0.339012,2897.8,1161.6,42083
Mercer,14513.0,0.286364,6728.0,2336.0,42085
Mifflin,8376.4,0.550174,3291.1,1560.3,42087
Monroe,16656.0,0.62512,8114.0,5438.0,42089
Montgomery,67999.0,0.610833,32572.0,21030.0,42091
Montour,2360.1,0.494653,1289.7,746.3,42093
Northampton,28558.2,0.508489,13163.4,7190.8,42095
Northumberland,14750.9,0.494653,8060.3,4664.7,42097
Perry,6375.3,0.481753,2974.7,1669.3,42099
Philadelphia,343346.0,0.380179,163136.0,72336.0,42101
Pike,6841.7,0.64538,3240.5,2387.5,42103
Potter,3755.5,0.339012,1690.4,677.6,42105
Schuylkill,21729.0,0.306641,10178.0,3833.0,42107
Snyder,5154.7,0.550174,2025.3,960.2,42109
Somerset,10504.6,0.456005,5635.7,2629.5,42111
Sullivan,1682.0,0.522216,889.6,490.6,42113
Susquehanna,5045.9,0.522216,2668.7,1471.9,42115
Tioga,4204.9,0.522216,2223.9,1226.6,42117
Union,7087.8,0.550174,2784.7,1320.3,42119
Venango,10530.6,0.568502,4489.9,2347.9,42121
Warren,6123.7,0.485553,3226.9,1541.6,42123
Washington,21493.0,0.396029,10507.7,5027.3,42125
Wayne,4652.3,0.64538,2203.5,1623.5,42127
Westmoreland,38720.0,0.483574,21544.0,11724.0,42129
Wyoming,3683.1,0.553483,2100.7,1303.5,42131
York,43122.0,0.488057,20504.0,10750.0,42133
