PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00111,14473,34266,9707,4766,6807,105,0.3293028397706073,22143,11527,0.5205708350268708
00112,6348,13597,2318,4030,7783,79,0.6348456206679269,11764,7361,0.6257225433526011
00200,8936,16958,4667,4269,8234,196,0.47773052820053713,15140,8391,0.554227212681638
00300,12074,26825,7234,4840,9094,226,0.4008613549776379,22774,13011,0.5713093878984807
00400,9118,17240,4089,5029,9003,257,0.5515463917525774,19364,12823,0.6622082214418509
00500,5444,11494,1433,4011,7418,78,0.7367744305657604,9569,7126,0.7446964155084126
00600,8114,16656,2676,5438,10412,63,0.6701996549174267,17916,12396,0.6918955123911588
00701,13454,31329,6978,6476,13073,100,0.4813438382637134,19711,10122,0.5135203693369185
00702,9603,16837,3644,5959,9319,128,0.6205352494012287,15666,10692,0.682497127537342
00801,11032,23416,5489,5543,8856,85,0.5024474256707759,17313,10301,0.5949864263847976
00802,10417,28468,6379,4038,10843,90,0.38763559566093886,17396,8979,0.5161531386525638
00803,9309,18707,3745,5564,10344,142,0.5977011494252874,15783,10961,0.6944814040423241
00900,12026,26078,6154,5872,10359,193,0.48827540329286545,19335,11682,0.604189294026377
01000,9350,17111,3939,5411,8464,104,0.578716577540107,15241,9412,0.6175447805262122
01100,9620,24485,5059,4561,13471,123,0.47411642411642413,16503,9883,0.5988608131854815
01200,13530,29020,3020,10510,22361,108,0.7767923133776792,19206,15111,0.7867853795688847
01300,11885,27875,5670,6215,15847,262,0.5229280605805637,21458,13677,0.6373846584024606
01400,6728,14513,4392,2336,4156,111,0.34720570749108204,13308,7543,0.5668019236549444
01511,6773,12951,3823,2950,4867,102,0.43555293075446627,14001,8419,0.6013141918434397
01512,9053,16787,5477,3576,6101,100,0.3950071799403513,18217,10014,0.5497063182741395
01600,10522,21407,4281,6241,11753,122,0.5931381866565292,16482,11211,0.6801965780851839
01701,19475,37694,7445,12030,22086,145,0.6177150192554557,28744,19462,0.6770804341775675
01702,9528,21142,5317,4211,7362,72,0.44196053736356006,13517,7269,0.5377672560479396
01801,5062,7068,1840,3222,4042,34,0.6365073093638878,10376,7172,0.6912104857363146
01802,5913,9154,2175,3738,5280,64,0.6321664129883308,10813,7789,0.720336631832054
01803,6921,9064,1686,5235,6954,59,0.7563935847420893,10675,7475,0.7002341920374707
01804,12879,25257,6659,6220,12523,92,0.4829567513005668,21290,12466,0.585533114138093
01805,9096,18254,5136,3960,7937,90,0.43535620052770446,15344,8033,0.5235271115745568
01806,7133,13182,3396,3737,5623,50,0.5239029861208467,11458,7181,0.6267236865072439
01807,3383,7078,1390,1993,3904,37,0.5891220809932013,6829,4278,0.6264460389515303
01900,11796,24601,6318,5478,10224,183,0.4643947100712106,20898,12380,0.5924011867164322
02011,6161,10868,3163,2998,5739,71,0.48660931666937185,10827,7067,0.6527200517225454
02012,5850,10057,2097,3753,5092,62,0.6415384615384615,10929,7669,0.701711044011346
02013,9533,17795,4560,4973,7893,94,0.5216615965593202,15098,8138,0.539011789641012
02100,11212,19959,5870,5342,7577,146,0.4764537995005351,20121,11779,0.5854082799065653
02200,12425,23320,7246,5179,8927,160,0.4168209255533199,23490,13847,0.5894848871860366
02301,8924,19126,3916,5008,9214,97,0.5611833258628418,15012,10149,0.6760591526778578
02302,6739,14951,1892,4847,10014,40,0.7192461789583025,12062,7897,0.6547007129829215
02401,11512,26899,5282,6230,11832,61,0.5411744266851981,17346,10652,0.6140897036780814
02402,7420,11548,2641,4779,6867,66,0.6440700808625337,11985,8484,0.7078848560700877
02500,6409,12277,2638,3771,6769,53,0.5883913246996412,11101,7157,0.6447166921898928
02600,10178,21729,6345,3833,6663,142,0.3765965808606799,17322,8550,0.4935919639764461
02701,6654,11171,1439,5215,7733,57,0.7837391042981665,9694,7662,0.7903858056529812
02702,11678,31404,6166,5512,12813,84,0.47199862990238056,24223,14023,0.5789126037237337
02703,4786,12124,1281,3505,8457,56,0.7323443376514835,10112,8046,0.7956882911392406
02801,4575,11849,1653,2922,5917,42,0.6386885245901639,9839,6647,0.6755767862587662
02802,7861,19057,2036,5825,13747,46,0.7409998727897215,13274,10251,0.7722615639596203
02803,14713,38445,7641,7072,18580,72,0.4806633589342758,20863,10976,0.5260988352585918
02901,9001,17938,4218,4783,10238,61,0.531385401622042,18135,9867,0.5440860215053763
02902,5209,12706,2245,2964,5474,44,0.5690151660587445,10080,6867,0.68125
03011,4563,9030,2208,2355,3744,33,0.5161078238001315,7579,4918,0.648898271539781
03012,3513,5180,957,2556,3487,33,0.7275832621690862,5104,4040,0.7915360501567398
03013,3086,6509,970,2116,3071,21,0.6856772521062865,5786,4360,0.7535430349118563
03014,6494,16176,4123,2371,3676,37,0.3651062519248537,10404,5848,0.5620915032679739
03015,6368,19207,3335,3033,6196,40,0.47628768844221103,9079,5049,0.556118515254984
03111,5651,14297,2838,2813,5454,39,0.497788002123518,8293,4791,0.5777161461473532
03112,3234,6982,598,2636,5762,25,0.8150896722325294,5693,5026,0.882838573686984
03113,3707,7287,1689,2018,3305,33,0.5443755057998382,8151,6193,0.7597840755735492
03114,6677,10497,2692,3985,6762,36,0.5968249213718736,10879,6730,0.6186230352054417
03115,5695,15452,1069,4626,12007,44,0.8122914837576822,7833,6539,0.8348014809140815
03116,2783,4188,640,2143,3365,27,0.7700323392022996,5173,4298,0.8308525033829499
03117,4825,9296,2016,2809,4881,38,0.5821761658031088,8199,5733,0.6992316136114161
03216,11637,17996,5559,6078,11888,62,0.5222995617427172,17211,8681,0.5043867294172332
03221,7740,17109,2995,4745,8290,41,0.6130490956072352,15029,9204,0.6124159957415664
03222,18720,46144,10202,8518,16588,75,0.4550213675213675,30166,13853,0.45922561824570707
03223,9435,23787,7082,2353,5447,34,0.24939056703762585,12940,4505,0.348145285935085
03224,16819,38956,6872,9947,18698,60,0.5914144717284024,26208,16776,0.6401098901098901
03225,24717,53818,16432,8285,13497,76,0.33519440061496136,32941,11817,0.3587322789229228
03227,19481,40102,11638,7843,11305,87,0.4025974025974026,29285,14513,0.4955779409253884
03228,20581,43932,12251,8330,16983,87,0.4047422379864924,28907,14029,0.4853149756114436
03229,14010,28418,8086,5924,12540,63,0.42284082798001427,21205,11662,0.5499646309832587
03230,8967,11668,2828,6139,7771,59,0.6846213895394223,12278,9152,0.7453982733344193
03231,11029,21416,6855,4174,7526,54,0.37845679572037355,18781,8958,0.4769714072733081
03311,3609,7125,106,3503,6489,30,0.970628983097811,6658,6430,0.9657554821267648
03312,8473,22130,2490,5983,13459,53,0.7061253393131123,15026,11538,0.7678690270198323
03313,13887,32930,6205,7682,13139,83,0.5531792323756031,20653,12550,0.6076599041301506
03314,2928,4266,431,2497,3676,20,0.8528005464480874,6401,5671,0.885955319481331
03411,2887,5654,1874,1013,1948,18,0.3508832698302736,4200,2261,0.5383333333333333
03412,1580,2648,153,1427,2071,15,0.9031645569620254,3037,2655,0.8742179782680276
03413,2755,4850,310,2445,4540,21,0.8874773139745916,6636,4718,0.7109704641350211
03414,4287,8188,2538,1749,2664,29,0.4079776067179846,7866,3815,0.4849987287058225
03415,3787,11284,614,3173,9078,36,0.8378663850013203,6458,5438,0.8420563641994425
03501,5782,13462,3525,2257,4515,45,0.39034936008301624,11556,6149,0.532104534440983
03502,4686,13272,1418,3268,7574,29,0.6973965002134016,8373,6615,0.7900394123969904
03503,6397,15647,2089,4308,11675,56,0.6734406753165546,15143,12125,0.8006999933962887
03504,4326,8028,1355,2971,5994,33,0.6867776236708275,8325,6463,0.7763363363363364
03601,9576,18104,5261,4315,7000,74,0.4506056808688388,17647,10054,0.5697285657618859
03602,4150,9072,1401,2749,5661,44,0.6624096385542169,10834,8358,0.7714602178327488
03603,6778,15946,3092,3686,8385,62,0.5438182354676896,10805,6784,0.6278574733919482
03701,6415,14645,3337,3078,4330,56,0.4798129384255651,12368,7641,0.6178040103492884
03702,5914,11886,1246,4668,10222,45,0.7893134934054785,12005,9268,0.7720116618075802
03800,9158,17070,4885,4273,7784,198,0.4665865909587246,18042,11409,0.6323578317259727
03900,12203,25799,7982,4221,6569,119,0.3458985495369991,19732,8939,0.45302047435637544
04011,5747,11823,2974,2773,3859,54,0.4825126152775361,13467,7888,0.5857280760377218
04012,6665,13538,3509,3156,6514,96,0.47351837959489873,12769,7153,0.5601848226172762
