case_id,navigator_id,enrollment_month,civica_assisted,household_size,earned_income_share,primary_language,county,intake_channel,expedited,payment_error,time_to_decision_days,intake_to_handoff_complete,recert_success
0,28,7,0.0,5,0.6110911150517583,english,los_angeles,in_person,0,12.79752345163872,31.82260836245698,0,0
1,27,5,0.0,4,0.44291722334843264,english,san_diego,partner_cbo,0,7.541208475913765,35.68374550314399,1,1
2,37,2,0.0,3,0.5198983552722861,english,san_diego,partner_cbo,1,13.979859808218539,27.549340607721458,1,1
3,35,5,1.0,2,0.8907093708887364,other,other,partner_cbo,0,8.422447766588057,25.422818141715606,0,1
4,3,12,1.0,3,0.6364600452685059,english,other,online,0,4.703310212079476,25.225560843178908,0,1
5,8,1,1.0,2,0.5918403089341759,english,other,online,1,7.0669253238091,22.085463380276988,1,1
6,37,9,1.0,2,0.7335723616810182,english,other,online,0,14.820969702980085,13.92982125639592,1,1
7,16,10,1.0,5,0.6179508767382442,english,los_angeles,online,1,6.927665985292023,20.21599038567871,0,1
8,19,12,0.0,3,0.583050737679317,english,san_diego,phone,0,8.390342100434896,31.423357299530633,0,0
9,32,9,1.0,2,0.46572833714941214,english,other,partner_cbo,1,11.984074338717951,11.62866024671712,1,1
10,11,9,0.0,3,0.6414240636138716,chinese,los_angeles,phone,1,12.062835699273155,30.390593127166696,0,0
11,25,8,0.0,7,0.7313517236847262,english,san_diego,online,0,7.1406764861595455,41.70447791502181,1,0
12,16,12,0.0,7,0.8216795752730375,english,fresno,phone,0,13.013267943811549,30.763580728923237,0,0
13,4,12,0.0,7,0.29932954027090314,english,los_angeles,online,0,3.0322408072446247,40.8048885191252,1,0
14,39,7,0.0,6,0.5875663843914556,english,los_angeles,in_person,0,2.626348799357322,37.35938262208698,1,1
15,4,3,1.0,7,0.3046259076864268,english,san_diego,in_person,0,12.925313030441325,19.44856306959128,1,1
16,36,6,0.0,1,0.5971485477041012,english,san_diego,phone,1,7.872163647125768,29.954081995456967,1,0
17,38,4,1.0,6,0.5187456878569461,english,fresno,in_person,0,10.692766927748922,17.651712422044447,0,1
18,37,2,1.0,3,0.9702336885209699,english,other,phone,1,6.018336093038079,27.51438329812284,1,1
19,22,3,0.0,3,0.3647159108546287,english,fresno,online,0,13.101300647691449,28.562252372897056,0,0
20,9,4,1.0,2,0.5686402890617603,spanish,other,partner_cbo,1,17.75085913695954,23.792953665614917,0,0
21,18,7,1.0,7,0.2522865776774929,spanish,san_diego,partner_cbo,0,9.606306146900806,25.296810222637454,1,0
22,25,4,1.0,4,0.17191308445543194,spanish,los_angeles,phone,0,11.762352920683561,41.410346363064946,1,1
23,29,8,0.0,4,0.35506707160374607,english,los_angeles,online,1,9.960878056560139,41.94176584270639,1,1
24,23,3,1.0,4,0.5669965260766487,english,other,online,0,0.0,24.098196836394827,1,1
25,22,10,0.0,5,0.34985352013811083,spanish,sacramento,partner_cbo,0,17.542021396300704,33.85656481290951,1,0
26,4,11,1.0,6,0.23055358343463067,spanish,other,partner_cbo,0,8.552294179078913,32.53638544372858,0,0
27,22,11,0.0,1,0.256465960419222,english,los_angeles,online,1,5.473929871649635,24.360491118835323,1,1
28,5,7,0.0,6,0.2036910273534641,english,los_angeles,online,1,9.478495880156176,23.616939557838847,1,1
29,39,2,1.0,7,0.5109761077946711,english,other,partner_cbo,0,11.304087208224232,40.88343268697888,1,1
30,10,10,1.0,1,0.7970878020045502,english,other,online,1,2.1988474284096897,18.047570798539876,0,1
31,34,2,0.0,5,0.6206484847970812,english,san_diego,online,0,10.214612584874999,39.64234870446971,1,1
32,12,1,0.0,6,0.4691745326715342,english,los_angeles,online,0,7.939487292317933,22.498346044407654,1,1
33,7,12,1.0,4,0.7461889140988497,spanish,fresno,online,0,8.929880967012272,31.54143754534277,1,0
34,14,6,1.0,2,0.7122048438495736,spanish,other,in_person,1,10.74510175845455,4.412187402019395,1,1
35,16,8,0.0,2,0.4974270753167542,spanish,los_angeles,in_person,0,18.404651631211337,37.58912370576248,0,0
36,39,5,1.0,6,0.6707536344827553,english,san_diego,partner_cbo,1,14.236138919061005,30.294956706377196,1,0
37,35,3,1.0,5,0.6624949673243217,chinese,sacramento,online,0,13.036009021506871,24.889222856344098,1,0
38,5,12,1.0,1,0.9195339352275161,english,other,partner_cbo,0,4.378634549522552,31.572509867902564,1,1
39,4,7,0.0,3,0.7888731033740258,english,los_angeles,partner_cbo,1,12.540482370041627,40.57370087925033,0,1
40,6,4,0.0,3,0.36494716829670676,vietnamese,los_angeles,online,0,7.157343962406418,27.89133041246392,1,1
41,14,8,1.0,3,0.5351220008918304,english,los_angeles,in_person,1,7.893807975002258,9.99756880990601,1,1
42,38,6,0.0,4,0.6115358326359148,chinese,fresno,online,1,17.086362461724267,35.67460030216529,0,1
43,3,3,1.0,4,0.5598318525416399,english,other,online,0,7.1227484424856335,24.62643408944338,1,1
44,29,5,0.0,2,0.37648782145216136,english,san_diego,phone,0,7.922454945947543,24.15043702052656,1,1
45,1,6,0.0,1,0.6639866970643561,english,los_angeles,partner_cbo,1,14.325038493273931,30.891293676590113,0,1
46,39,12,0.0,6,0.5065592351172394,english,sacramento,partner_cbo,0,13.569143463773353,28.104812070178028,0,0
47,33,7,0.0,2,0.36573090282132825,vietnamese,san_diego,online,0,18.215262288464224,26.65100618982534,0,1
48,24,1,1.0,3,0.7603442771268537,spanish,fresno,online,1,16.042359767051753,28.268070456614215,0,1
49,33,2,1.0,3,0.5928016912918288,english,los_angeles,online,0,9.415363500754243,39.21827551884833,1,0
50,39,9,0.0,6,0.3928246174761258,english,los_angeles,in_person,1,6.110637942501377,22.886823022969587,1,1
51,37,9,1.0,4,0.4953119341402502,english,other,partner_cbo,1,12.384085845688382,21.287307244479273,1,0
52,25,9,1.0,6,0.7701386450914599,spanish,los_angeles,phone,0,15.153249518936374,32.32142331809553,0,0
53,20,2,1.0,4,0.28918312214438124,english,fresno,online,1,17.302950653635726,7.34700069586755,1,1
54,4,1,1.0,7,0.6892850426111602,spanish,other,partner_cbo,0,7.222888387154769,33.12606534256976,1,0
55,32,2,1.0,3,0.37206137691768537,vietnamese,sacramento,partner_cbo,0,11.51039875357357,21.053896873272244,0,1
56,19,3,1.0,3,0.34637715545081493,english,san_diego,partner_cbo,0,7.976495813571958,26.691158978052993,1,1
57,37,1,1.0,5,0.48125027610833904,english,los_angeles,phone,0,7.151980724615887,22.079439706806856,1,1
58,6,7,0.0,7,0.8533923359324096,english,los_angeles,online,0,10.137867371799263,41.845901980779885,0,0
59,10,9,1.0,5,0.31040004259697485,spanish,los_angeles,online,0,14.554743263310641,26.67264206711349,0,1
60,5,10,0.0,3,0.11006943667097764,spanish,los_angeles,phone,0,12.997261721224195,28.564521141423306,1,0
61,32,12,0.0,4,0.49468279439469987,english,los_angeles,in_person,0,10.747412275769257,39.82338679057836,1,1
62,13,3,1.0,5,0.8251910662847398,english,san_diego,partner_cbo,0,6.75307187344465,33.56905304909658,0,1
63,2,6,0.0,6,0.7801076686404677,english,san_diego,online,1,17.477520018486025,33.29429550183507,1,0
64,16,8,0.0,2,0.47511912235384596,english,sacramento,online,0,10.206271073848626,22.884470842777574,1,0
65,29,9,0.0,1,0.9016340082546912,english,san_diego,online,0,0.7154637050553383,33.93455465100596,0,1
66,5,3,1.0,4,0.23357410111633048,english,los_angeles,online,0,8.986824059021503,21.488352951970636,1,1
67,28,12,1.0,5,0.644925167370715,english,los_angeles,partner_cbo,0,7.423470078738216,21.445359587513583,1,1
68,1,12,0.0,4,0.21112444379891387,english,other,partner_cbo,0,14.00705791330274,37.60984167583218,0,0
69,37,4,0.0,4,0.18092861669591342,spanish,los_angeles,online,1,15.193924580158686,23.589026650900013,1,1
70,30,12,0.0,7,0.29578603303088224,spanish,sacramento,partner_cbo,0,11.389744339854193,51.62305074955241,0,0
71,34,3,1.0,4,0.555719170558214,spanish,los_angeles,partner_cbo,1,5.348860544165056,21.805427809197397,1,0
72,20,3,0.0,6,0.9000496241160147,english,los_angeles,in_person,0,16.151893181829056,34.19424111585826,0,0
73,11,6,0.0,3,0.7113539192058318,spanish,san_diego,partner_cbo,1,18.06974486863026,45.46814565025652,1,0
74,21,6,0.0,3,0.34386229104465726,english,sacramento,online,0,19.23369606834359,31.878512042477965,1,1
75,0,4,0.0,1,0.27403853438574377,english,los_angeles,online,0,13.29925549416074,30.16892097497087,1,1
76,39,7,1.0,2,0.1368847300317088,other,other,partner_cbo,0,19.670357481719158,21.089717534708097,1,1
77,11,7,0.0,4,0.4100302188879352,chinese,fresno,in_person,0,14.216586025718666,33.0584691648122,0,0
78,9,7,1.0,1,0.7742703354035847,vietnamese,sacramento,in_person,0,19.909746096735727,19.75846353987128,1,1
79,36,7,0.0,1,0.39796369942485593,vietnamese,other,in_person,0,12.648968281470056,24.94235096488674,1,1
80,16,12,1.0,2,0.8436187926544738,chinese,san_diego,online,0,2.404709808046956,32.038857427962775,0,1
81,20,7,0.0,5,0.11963792994946082,english,sacramento,partner_cbo,1,8.673373590954952,15.679611281793797,1,0
82,25,5,0.0,6,0.190491109901973,english,other,partner_cbo,0,13.510358389523708,33.77524856583073,1,0
83,13,10,1.0,2,0.658202033614182,spanish,los_angeles,online,0,17.202372640276536,22.682127265720265,1,1
84,29,4,1.0,4,0.31724436610204293,english,other,partner_cbo,0,7.697083324695658,25.789538606821242,1,0
85,27,7,1.0,4,0.472847031717432,english,other,in_person,0,1.9047549645072763,23.26221343050384,1,1
86,17,10,0.0,1,0.5958323936585925,spanish,san_diego,online,0,10.346757916810603,22.164428731072796,1,1
87,14,5,1.0,1,0.7054922343548207,spanish,los_angeles,phone,0,11.760717421589455,13.806632026995613,1,1
88,18,10,1.0,2,0.16810671882482314,english,fresno,online,1,5.643850632111174,16.32532524718151,1,1
89,31,6,0.0,3,0.6830664481764986,english,sacramento,online,1,11.491767887225537,29.64307516072809,1,0
90,0,10,0.0,1,0.5039759619994543,english,los_angeles,online,1,10.177299041998156,22.01636212311363,1,0
91,8,7,1.0,6,0.46279590721377656,spanish,other,partner_cbo,0,13.783401799360758,31.353507571121558,1,0
92,6,6,1.0,5,0.5385788801446787,vietnamese,los_angeles,online,0,9.416502696226607,27.569280358124175,1,1
93,7,8,1.0,7,0.288011025894594,spanish,los_angeles,phone,0,8.222683352084678,33.0327611821916,1,1
94,28,10,1.0,7,0.2246373934511001,english,other,partner_cbo,0,14.878098412353271,26.16858631834182,1,1
95,24,5,1.0,4,0.5586544690816325,chinese,other,phone,1,12.875997943326913,19.380144807205568,0,0
