state_code,state_name,fiscal_year,per_total,per_overpayment,per_underpayment,per_wage_only,per_se_only,per_no_earned,n_wage_only,n_se_only
AL,Alabama,2023,7.91,6.13,1.78,12.24,3.57,4.88,264,24
AK,Alaska,2023,4.78,3.57,1.21,5.90,6.32,,,29,5
AZ,Arizona,2023,8.12,5.40,2.72,26.26,13.46,,,200,50
AR,Arkansas,2023,10.40,7.22,3.18,7.22,0.81,,,112,15
CA,California,2023,9.85,7.18,2.67,16.79,7.77,8.44,174,49
CO,Colorado,2023,9.79,6.22,3.57,14.10,5.76,,,219,50
CT,Connecticut,2023,7.90,5.40,2.50,18.73,19.84,5.20,233,21
DE,Delaware,2023,12.31,7.46,4.85,14.53,11.96,,,97,12
FL,Florida,2023,10.28,6.87,3.41,18.56,6.70,,,217,
GA,Georgia,2023,10.30,7.91,2.39,27.85,11.70,,,235,8
HI,Hawaii,2023,6.56,5.05,1.51,7.12,6.63,,,79,21
ID,Idaho,2023,11.67,8.88,2.79,4.59,2.01,,,225,90
IL,Illinois,2023,7.99,6.31,1.68,14.31,12.53,,,203,27
IN,Indiana,2023,5.73,4.54,1.19,13.98,4.25,5.21,204,47
IA,Iowa,2023,6.58,5.19,1.39,8.49,8.07,,,269,13
KS,Kansas,2023,5.88,4.55,1.33,9.33,5.79,,,207,19
KY,Kentucky,2023,6.93,5.26,1.67,9.10,3.30,,,230,6
LA,Louisiana,2023,8.22,5.71,2.51,13.23,1.46,4.51,185,51
ME,Maine,2023,10.64,7.56,3.08,22.22,19.00,6.68,178,36
MD,Maryland,2023,8.62,5.48,3.14,27.75,,,,152,
MA,Massachusetts,2023,8.86,6.46,2.40,15.44,14.81,,,207,20
MI,Michigan,2023,10.34,6.21,4.13,20.58,14.42,,,249,
MN,Minnesota,2023,6.08,3.77,2.31,11.73,3.59,,,306,33
MS,Mississippi,2023,4.67,3.68,0.99,13.34,7.98,,,209,27
MO,Missouri,2023,8.27,5.75,2.52,6.47,8.38,,,134,40
MT,Montana,2023,4.97,3.26,1.71,9.92,7.46,,,127,6
NE,Nebraska,2023,5.90,4.23,1.67,7.37,4.20,,,217,71
NV,Nevada,2023,7.38,5.71,1.67,12.52,1.96,,,264,55
NH,New Hampshire,2023,12.16,7.76,4.40,15.24,2.24,,,118,23
NJ,New Jersey,2023,5.09,3.22,1.87,10.21,15.06,,,123,4
NM,New Mexico,2023,9.27,7.13,2.14,18.86,12.02,,,281,30
NY,New York,2023,10.63,7.51,3.12,14.68,3.47,,,162,4
NC,North Carolina,2023,10.71,6.56,4.15,14.27,6.33,,,313,58
ND,North Dakota,2023,6.95,4.45,2.50,7.86,11.19,,,98,16
OH,Ohio,2023,4.53,3.54,0.99,9.84,1.70,,,187,4
OK,Oklahoma,2023,9.58,6.60,2.98,16.35,5.45,,,228,10
OR,Oregon,2023,12.37,9.27,3.10,33.61,8.17,,,178,62
PA,Pennsylvania,2023,7.93,5.99,1.94,13.92,,,,206,5
RI,Rhode Island,2023,8.93,5.81,3.12,21.67,11.06,,,184,31
SC,South Carolina,2023,10.24,8.19,2.05,15.95,4.40,,,171,21
SD,South Dakota,2023,4.95,3.25,1.70,4.69,1.46,1.53,131,16
TN,Tennessee,2023,10.89,8.38,2.51,8.64,6.97,,,164,1
TX,Texas,2023,8.45,5.49,2.96,13.27,3.74,,,189,3
UT,Utah,2023,12.41,7.91,4.50,6.46,2.28,,,218,58
VT,Vermont,2023,4.73,3.08,1.65,10.50,7.89,,,108,32
VA,Virginia,2023,12.18,7.40,4.78,14.37,,,,197,2
WA,Washington,2023,10.19,8.04,2.15,19.33,7.12,4.11,141,39
WV,West Virginia,2023,8.89,6.97,1.92,16.39,10.09,,,166,13
WI,Wisconsin,2023,10.05,7.79,2.26,12.54,4.34,,,310,46
WY,Wyoming,2023,5.90,4.42,1.48,4.25,2.79,,,59,1
DC,District of Columbia,2023,6.59,4.39,2.20,72.55,66.19,10.18,163,5
PR,Puerto Rico,2023,12.39,8.29,4.10,,,,
GU,Guam,2023,11.84,7.59,4.25,9.63,8.16,,,73,8
