County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Abbeville,4008.4,0.518725,1978.4,1216.2,45001
Aiken,26157.0,0.737432,12700.0,9387.0,45003
Allendale,2099.6,0.635828,942.1,593.9,45005
Anderson,33854.6,0.590872,15275.6,10150.8,45007
Bamberg,4199.2,0.635828,1884.1,1187.8,45009
Barnwell,4449.4,0.355262,1998.1,1010.5,45011
Beaufort,24538.4,0.709469,10907.1,7720.3,45013
Berkeley,28183.0,0.721605,11934.0,8923.0,45015
Calhoun,2224.7,0.355262,999.1,505.3,45017
Charleston,39096.0,0.730919,22604.0,16469.0,45019
Cherokee,9366.6,0.648112,4393.4,2694.1,45021
Chester,8302.6,0.59662,3823.7,2541.5,45023
Chesterfield,12226.1,0.420137,5954.8,3154.4,45025
Clarendon,6511.2,0.63722,3439.5,2121.3,45027
Colleton,9798.2,0.635828,4396.3,2771.4,45029
Darlington,16592.6,0.420137,8081.5,4281.0,45031
Dillon,9002.2,0.428069,3760.4,1831.7,45033
Dorchester,19034.0,0.459021,9126.0,5425.0,45035
Edgefield,4798.5,0.604497,2287.8,1595.4,45037
Fairfield,6038.2,0.59662,2780.9,1848.4,45039
Florence,27137.0,0.398275,11240.0,5423.0,45041
Georgetown,11394.6,0.63722,6019.1,3712.3,45043
Greenville,70245.0,0.737063,30776.0,23141.0,45045
Greenwood,12339.0,0.604497,5882.8,4102.4,45047
Hampton,4899.1,0.635828,2198.1,1385.7,45049
Horry,56806.9,0.651489,28596.9,20554.2,45051
Jasper,3343.4,0.787163,1471.3,1164.0,45053
Kershaw,11785.7,0.665789,4538.5,2792.5,45055
Lancaster,16605.2,0.59662,7647.4,5083.1,45057
Laurens,14724.5,0.45336,6348.5,3492.5,45059
Lee,5294.3,0.480305,2640.1,1414.3,45061
Lexington,41155.0,0.63584,17237.0,12038.0,45063
McCormick,2056.5,0.604497,980.5,683.7,45065
Marion,8001.9,0.428069,3342.6,1628.1,45067
Marlboro,6986.3,0.420137,3402.7,1802.5,45069
Newberry,7362.2,0.45336,3174.2,1746.2,45071
Oconee,16525.6,0.73728,7492.0,5613.6,45073
Orangeburg,21690.9,0.355262,9740.8,4926.2,45075
Pickens,28103.4,0.633055,12182.0,8715.4,45077
Richland,66476.3,0.599796,31080.5,19669.5,45079
Saluda,4113.0,0.604497,1960.9,1367.5,45081
Spartanburg,56100.0,0.638093,22008.0,15476.0,45083
Sumter,15294.7,0.480305,7626.9,4085.7,45085
Union,7362.2,0.45336,3174.2,1746.2,45087
Williamsburg,6511.2,0.63722,3439.5,2121.3,45089
York,30675.4,0.71883,12900.6,9720.9,45091
