PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00101,9365,20657,2348,7017,15230,83,0.7492792311799252,14604,11961,0.8190221857025473
00201,10309,23972,2997,7312,14745,108,0.7092831506450674,17021,12983,0.7627636449092298
00301,5604,13290,588,5016,11905,62,0.8950749464668094,9882,8930,0.9036632260675976
00302,10196,23888,2985,7211,15913,89,0.70723813260102,17081,12892,0.7547567472630408
00303,6652,13570,3275,3377,7150,65,0.5076668671076368,10284,6195,0.6023920653442241
00304,4377,8693,655,3722,6390,34,0.8503541238291067,8697,7214,0.8294814303782914
00305,3947,10804,132,3815,10417,40,0.9665568786420066,9902,9056,0.9145627146031104
00401,7328,20288,1312,6016,16876,76,0.8209606986899564,13475,11119,0.8251576994434138
00402,6510,15820,2079,4431,8431,60,0.6806451612903226,12967,10258,0.7910850620806663
00403,8170,19992,3141,5029,10490,98,0.6155446756425949,15594,11178,0.7168141592920354
00501,7963,16977,3080,4883,11003,81,0.6132111013437147,14704,10469,0.7119831338411317
00601,3816,8246,502,3314,7430,28,0.8684486373165619,6915,6263,0.9057122198120029
00602,5515,14819,1297,4218,9688,52,0.7648232094288304,10772,8985,0.834106943928704
00700,14252,30946,4779,9473,18463,154,0.6646786415941622,21729,16204,0.745731510884072
00800,12697,29449,5712,6985,13351,155,0.5501299519571552,22501,15145,0.6730811963912715
00901,9623,22402,2947,6676,14063,94,0.6937545463992518,15797,11525,0.7295689054883838
01001,7631,15461,2940,4691,8020,93,0.6147293932643166,13001,9317,0.7166371817552496
01100,11112,23307,3363,7749,14089,131,0.697354211663067,17560,13314,0.7582004555808656
01200,12700,26157,3313,9387,19289,123,0.7391338582677165,20328,15869,0.7806473829201102
01301,7647,18827,789,6858,17090,72,0.8968222832483327,14933,13086,0.8763142034420411
01302,9590,22328,4410,5180,9078,128,0.5401459854014599,17625,12423,0.7048510638297872
01401,5018,12075,1616,3402,7204,51,0.6779593463531287,9277,7194,0.775466206747871
01402,14088,24534,5569,8519,12441,101,0.6046990346394094,20218,13361,0.660846770204768
01403,9201,22665,3159,6042,15432,67,0.6566677535050538,16228,12308,0.7584421986689672
01501,7312,18988,2813,4499,12642,64,0.6152899343544858,13302,9884,0.7430461584724102
01600,17439,35805,8201,9238,15043,202,0.5297322094156776,26016,15555,0.5979012915129152
01700,10267,20589,4767,5500,9889,113,0.5356968929580208,18555,12489,0.6730800323362975
01800,12738,28365,6296,6442,10077,164,0.5057308839692259,19064,12077,0.633497691984893
01901,15073,33594,5571,9502,21360,159,0.630398726199164,25018,16902,0.675593572627708
02001,6726,15284,1405,5321,12031,54,0.7911091287540886,12122,10654,0.8788978716383435
02100,9126,19034,3701,5425,8737,96,0.5944554021477099,16106,11052,0.6862038991680119
02201,6408,15083,1480,4928,11123,67,0.7690387016229713,10965,9059,0.8261741906064751
02202,5526,13100,1531,3995,9214,52,0.7229460731089395,10391,8766,0.8436146665383505
02301,7439,11611,1077,6362,9817,74,0.855222476139266,12444,10575,0.8498071359691417
02302,11493,21471,4519,6974,13438,75,0.60680414165144,19523,13556,0.6943604978743021
02303,3672,6014,539,3133,5321,30,0.8532135076252724,6227,5571,0.8946523205395857
02400,12898,24417,4943,7955,15559,168,0.6167622887269344,20284,13984,0.6894103727075528
02500,11240,27137,5817,5423,10808,102,0.4824733096085409,19779,13213,0.6680317508468577
02601,12117,29007,6215,5902,12417,127,0.48708426178096886,19489,11250,0.5772487043973523
02701,10319,19269,2026,8293,13968,79,0.8036631456536486,17063,14432,0.8458067162867022
02702,13264,25535,3445,9819,17903,112,0.7402744270205066,20633,16529,0.80109533271943
