County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Aurora,531.9,0.612693,228.5,168.8,46003
Beadle,3191.3,0.612693,1371.1,1012.7,46005
Bennett,1386.4,0.505169,443.5,257.4,46007
Bon Homme,1063.8,0.612693,457.0,337.6,46009
Brookings,3723.1,0.612693,1599.6,1181.5,46011
Brown,5040.0,0.717271,2336.2,1746.5,46013
Brule,1063.8,0.612693,457.0,337.6,46015
Buffalo,693.2,0.505169,221.8,128.7,46017
Butte,1485.8,0.480259,666.2,425.4,46019
Campbell,630.0,0.717271,292.0,218.3,46021
Charles Mix,2079.7,0.505169,665.2,386.1,46023
Clark,630.0,0.717271,292.0,218.3,46025
Clay,1932.4,0.88007,795.0,593.4,46027
Codington,5040.0,0.717271,2336.2,1746.5,46029
Corson,1386.4,0.505169,443.5,257.4,46031
Custer,990.5,0.480259,444.1,283.6,46033
Davison,2659.4,0.612693,1142.6,843.9,46035
Day,1890.0,0.717271,876.1,654.9,46037
Deuel,1260.0,0.717271,584.0,436.6,46039
Dewey,1386.4,0.505169,443.5,257.4,46041
Douglas,531.9,0.612693,228.5,168.8,46043
Edmunds,1260.0,0.717271,584.0,436.6,46045
Fall River,1386.4,0.505169,443.5,257.4,46047
Faulk,630.0,0.717271,292.0,218.3,46049
Grant,1260.0,0.717271,584.0,436.6,46051
Gregory,1386.4,0.505169,443.5,257.4,46053
Haakon,693.2,0.505169,221.8,128.7,46055
Hamlin,1260.0,0.717271,584.0,436.6,46057
Hand,1063.8,0.612693,457.0,337.6,46059
Hanson,531.9,0.612693,228.5,168.8,46061
Harding,495.3,0.480259,222.1,141.8,46063
Hughes,2772.9,0.505169,887.0,514.8,46065
Hutchinson,1595.6,0.612693,685.5,506.3,46067
Hyde,693.2,0.505169,221.8,128.7,46069
Jackson,1386.4,0.505169,443.5,257.4,46071
Jerauld,531.9,0.612693,228.5,168.8,46073
Jones,693.2,0.505169,221.8,128.7,46075
Kingsbury,1063.8,0.612693,457.0,337.6,46077
Lake,2127.5,0.612693,914.0,675.1,46079
Lawrence,3962.0,0.480259,1776.5,1134.5,46081
Lincoln,6888.9,0.667763,3266.3,2059.8,46083
Lyman,1386.4,0.505169,443.5,257.4,46085
McCook,1288.2,0.88007,530.0,395.6,46087
McPherson,630.0,0.717271,292.0,218.3,46089
Marshall,630.0,0.717271,292.0,218.3,46091
Meade,3466.8,0.480259,1554.4,992.7,46093
Mellette,693.2,0.505169,221.8,128.7,46095
Miner,531.9,0.612693,228.5,168.8,46097
Minnehaha,22426.1,0.535351,11510.7,6592.2,46099
Moody,1063.8,0.612693,457.0,337.6,46101
Oglala Lakota,2079.7,0.505169,665.2,386.1,46102
Pennington,12381.4,0.480259,5551.6,3545.2,46103
Perkins,495.3,0.480259,222.1,141.8,46105
Potter,630.0,0.717271,292.0,218.3,46107
Roberts,2520.0,0.717271,1168.1,873.2,46109
Sanborn,531.9,0.612693,228.5,168.8,46111
Spink,1890.0,0.717271,876.1,654.9,46115
Stanley,693.2,0.505169,221.8,128.7,46117
Sully,693.2,0.505169,221.8,128.7,46119
Todd,1386.4,0.505169,443.5,257.4,46121
Tripp,1386.4,0.505169,443.5,257.4,46123
Turner,1288.2,0.88007,530.0,395.6,46125
Union,2576.5,0.88007,1060.0,791.2,46127
Walworth,1260.0,0.717271,584.0,436.6,46129
Yankton,3220.6,0.88007,1325.0,989.1,46135
Ziebach,693.2,0.505169,221.8,128.7,46137
