state,state_fips,overpay,underpay,per,fy24_issuance_usd
ALABAMA,1.0,7.32,0.99,8.32,1733693703.0
ALASKA,2.0,22.5,2.16,24.66,249618195.0
ARIZONA,4.0,7.56,1.28,8.84,2015185004.0
ARKANSAS,5.0,7.97,1.59,9.56,515343148.0
CALIFORNIA,6.0,9.01,1.98,10.98,12183085552.0
COLORADO,8.0,7.91,2.06,9.97,1303172697.0
CONNECTICUT,9.0,8.61,1.65,10.25,892819650.0
DELAWARE,10.0,10.49,1.88,12.37,254854243.0
DISTRICT OF COLUMBIA,11.0,13.62,3.76,17.38,319119173.0
FLORIDA,12.0,13.05,2.08,15.13,6548475145.0
GEORGIA,13.0,13.59,2.06,15.65,3181329856.0
GUAM,,7.88,1.84,9.72,
HAWAII,15.0,5.87,0.8,6.68,731331421.0
IDAHO,16.0,3.02,0.57,3.59,281230283.0
ILLINOIS,17.0,10.64,0.93,11.56,4469341818.0
INDIANA,18.0,7.42,2.1,9.52,1435952329.0
IOWA,19.0,5.3,0.84,6.14,528905499.0
KANSAS,20.0,9.43,0.55,9.98,408410165.0
KENTUCKY,21.0,8.23,0.88,9.11,1150201172.0
LOUISIANA,22.0,5.14,1.48,6.62,1902455806.0
MAINE,23.0,8.57,1.68,10.26,363838898.0
MARYLAND,24.0,8.85,4.79,13.64,1498308252.0
MASSACHUSETTS,25.0,13.03,1.07,14.1,2617666701.0
MICHIGAN,26.0,8.03,1.5,9.53,3061361572.0
MINNESOTA,27.0,6.32,2.66,8.98,859038624.0
MISSISSIPPI,28.0,8.93,1.76,10.69,842267063.0
MISSOURI,29.0,8.16,1.26,9.42,1512570795.0
MONTANA,30.0,6.47,2.41,8.89,169446871.0
NEBRASKA,31.0,4.64,0.86,5.5,331710249.0
NEVADA,32.0,5.63,0.32,5.94,1006600692.0
NEW HAMPSHIRE,33.0,4.52,3.05,7.57,154254645.0
NEW JERSEY,34.0,12.11,2.22,14.33,1925707853.0
NEW MEXICO,35.0,13.07,1.54,14.61,1028090754.0
NEW YORK,36.0,12.65,1.44,14.09,7231611169.0
NORTH CAROLINA,37.0,8.11,2.1,10.21,2934626410.0
NORTH DAKOTA,38.0,5.72,2.19,7.91,111448901.0
OHIO,39.0,7.67,1.34,9.01,3186433783.0
OKLAHOMA,40.0,9.63,1.25,10.87,1506326652.0
OREGON,41.0,12.66,1.4,14.06,1596585242.0
PENNSYLVANIA,42.0,9.49,1.27,10.76,4268035433.0
RHODE ISLAND,44.0,10.61,1.68,12.29,343066538.0
SOUTH CAROLINA,45.0,7.89,1.36,9.25,1293584986.0
SOUTH DAKOTA,46.0,2.43,0.85,3.28,180195817.0
TENNESSEE,47.0,8.43,1.04,9.47,1623231075.0
TEXAS,48.0,5.77,2.55,8.32,7332023032.0
UTAH,49.0,5.09,0.65,5.74,382660017.0
VERMONT,50.0,4.74,0.39,5.13,148302129.0
VIRGIN ISLANDS,,3.0,0.54,3.54,
VIRGINIA,51.0,9.54,1.96,11.5,1465193891.0
WASHINGTON,53.0,5.79,0.26,6.06,1920375025.0
WEST VIRGINIA,54.0,8.57,0.86,9.43,565647589.0
WISCONSIN,55.0,3.81,0.66,4.47,1363921863.0
WYOMING,56.0,3.27,1.85,5.12,56701860.0
