state_fips,yearmonth,unemployment
1,199601,5.4
1,199602,5.4
1,199603,5.3
1,199604,5.3
1,199605,5.2
1,199606,5.2
1,199607,5.1
1,199608,5.1
1,199609,5.0
1,199610,5.1
1,199611,5.1
1,199612,5.1
1,199701,5.1
1,199702,5.1
1,199703,5.1
1,199704,5.1
1,199705,5.1
1,199706,5.0
1,199707,5.0
1,199708,4.9
1,199709,4.9
1,199710,4.8
1,199711,4.7
1,199712,4.6
1,199801,4.5
1,199802,4.4
1,199803,4.4
1,199804,4.4
1,199805,4.4
1,199806,4.4
1,199807,4.5
1,199808,4.5
1,199809,4.5
1,199810,4.5
1,199811,4.5
1,199812,4.5
1,199901,4.6
1,199902,4.6
1,199903,4.7
1,199904,4.7
1,199905,4.8
1,199906,4.8
1,199907,4.8
1,199908,4.8
1,199909,4.8
1,199910,4.8
1,199911,4.7
1,199912,4.7
1,200001,4.7
1,200002,4.7
1,200003,4.7
1,200004,4.7
1,200005,4.6
1,200006,4.6
1,200007,4.6
1,200008,4.6
1,200009,4.6
1,200010,4.6
1,200011,4.6
1,200012,4.7
1,200101,4.7
1,200102,4.8
1,200103,4.8
1,200104,4.8
1,200105,4.9
1,200106,5.0
1,200107,5.1
1,200108,5.2
1,200109,5.4
1,200110,5.6
1,200111,5.7
1,200112,5.8
1,200201,5.8
1,200202,5.9
1,200203,5.9
1,200204,5.9
1,200205,5.9
1,200206,5.9
1,200207,5.9
1,200208,5.9
1,200209,5.9
1,200210,5.9
1,200211,5.9
1,200212,5.9
1,200301,5.9
1,200302,5.9
1,200303,5.9
1,200304,5.9
1,200305,6.0
1,200306,6.0
1,200307,6.0
1,200308,6.0
1,200309,6.0
1,200310,6.0
1,200311,5.9
1,200312,5.9
1,200401,5.9
1,200402,5.9
1,200403,5.8
1,200404,5.8
1,200405,5.7
1,200406,5.7
1,200407,5.6
1,200408,5.5
1,200409,5.4
1,200410,5.3
1,200411,5.2
1,200412,5.1
1,200501,5.0
1,200502,4.9
1,200503,4.8
1,200504,4.6
1,200505,4.5
1,200506,4.4
1,200507,4.3
1,200508,4.2
1,200509,4.2
1,200510,4.2
1,200511,4.2
1,200512,4.2
1,200601,4.2
1,200602,4.1
1,200603,4.1
1,200604,4.1
1,200605,4.1
1,200606,4.1
1,200607,4.0
1,200608,4.0
1,200609,3.9
1,200610,3.9
1,200611,3.8
1,200612,3.8
1,200701,3.8
1,200702,3.9
1,200703,3.9
1,200704,3.9
1,200705,4.0
1,200706,4.0
1,200707,4.0
1,200708,4.1
1,200709,4.2
1,200710,4.2
1,200711,4.3
1,200712,4.5
1,200801,4.6
1,200802,4.7
1,200803,4.9
1,200804,5.2
1,200805,5.4
1,200806,5.7
1,200807,6.0
1,200808,6.3
1,200809,6.5
1,200810,6.9
1,200811,7.2
1,200812,7.6
1,200901,8.0
1,200902,8.4
1,200903,8.8
1,200904,9.1
1,200905,9.4
1,200906,9.7
1,200907,10.0
1,200908,10.3
1,200909,10.5
1,200910,10.7
1,200911,10.9
1,200912,11.0
1,201001,11.0
1,201002,11.0
1,201003,10.9
1,201004,10.5
1,201005,10.3
1,201006,10.2
1,201007,10.1
1,201008,10.1
1,201009,10.1
1,201010,10.1
1,201011,10.1
1,201012,10.1
1,201101,10.1
1,201102,10.0
1,201103,9.9
1,201104,9.9
1,201105,9.8
1,201106,9.8
1,201107,9.7
1,201108,9.5
1,201109,9.3
1,201110,9.1
1,201111,8.9
1,201112,8.7
1,201201,8.6
1,201202,8.5
1,201203,8.4
1,201204,8.4
1,201205,8.4
1,201206,8.3
1,201207,8.2
1,201208,8.1
1,201209,7.9
1,201210,7.8
1,201211,7.8
1,201212,7.7
1,201301,7.7
1,201302,7.6
1,201303,7.5
1,201304,7.4
1,201305,7.3
1,201306,7.3
1,201307,7.3
1,201308,7.3
1,201309,7.3
1,201310,7.2
1,201311,7.2
1,201312,7.2
1,201401,7.2
1,201402,7.1
1,201403,7.1
1,201404,7.0
1,201405,6.9
1,201406,6.9
1,201407,6.8
1,201408,6.7
1,201409,6.6
1,201410,6.4
1,201411,6.3
1,201412,6.2
1,201501,6.2
1,201502,6.1
1,201503,6.1
1,201504,6.1
1,201505,6.1
1,201506,6.1
1,201507,6.1
1,201508,6.1
1,201509,6.1
1,201510,6.0
1,201511,6.0
1,201512,6.0
1,201601,5.9
1,201602,5.9
1,201603,5.9
1,201604,5.8
1,201605,5.8
1,201606,5.8
1,201607,5.8
1,201608,5.8
1,201609,5.8
1,201610,5.8
1,201611,5.7
1,201612,5.6
1,201701,5.4
1,201702,5.2
1,201703,5.0
1,201704,4.8
1,201705,4.6
1,201706,4.5
1,201707,4.3
1,201708,4.2
1,201709,4.1
1,201710,4.0
1,201711,4.0
1,201712,4.0
1,201801,4.0
1,201802,4.0
1,201803,4.0
1,201804,4.0
1,201805,4.0
1,201806,4.0
1,201807,3.9
1,201808,3.9
1,201809,3.9
1,201810,3.8
1,201811,3.8
1,201812,3.8
1,201901,3.7
1,201902,3.6
1,201903,3.4
1,201904,3.3
1,201905,3.2
1,201906,3.0
1,201907,3.0
1,201908,3.0
1,201909,3.0
1,201910,3.0
1,201911,3.0
1,201912,3.1
1,202001,3.2
1,202002,3.3
1,202003,3.4
1,202004,13.8
1,202005,10.4
1,202006,8.6
1,202007,7.5
1,202008,6.3
1,202009,5.9
1,202010,5.2
1,202011,4.8
1,202012,4.5
2,199601,7.7
2,199602,7.7
2,199603,7.6
2,199604,7.6
2,199605,7.5
2,199606,7.4
2,199607,7.3
2,199608,7.3
2,199609,7.3
2,199610,7.3
2,199611,7.4
2,199612,7.4
2,199701,7.5
2,199702,7.4
2,199703,7.3
2,199704,7.2
2,199705,7.1
2,199706,7.0
2,199707,7.0
2,199708,6.9
2,199709,6.8
2,199710,6.7
2,199711,6.5
2,199712,6.4
2,199801,6.3
2,199802,6.2
2,199803,6.2
2,199804,6.2
2,199805,6.2
2,199806,6.3
2,199807,6.4
2,199808,6.4
2,199809,6.4
2,199810,6.4
2,199811,6.4
2,199812,6.4
2,199901,6.4
2,199902,6.4
2,199903,6.5
2,199904,6.5
2,199905,6.5
2,199906,6.4
2,199907,6.4
2,199908,6.3
2,199909,6.3
2,199910,6.2
2,199911,6.2
2,199912,6.1
2,200001,6.2
2,200002,6.2
2,200003,6.2
2,200004,6.3
2,200005,6.3
2,200006,6.4
2,200007,6.4
2,200008,6.4
2,200009,6.3
2,200010,6.3
2,200011,6.3
2,200012,6.2
2,200101,6.2
2,200102,6.1
2,200103,6.1
2,200104,6.1
2,200105,6.1
2,200106,6.1
2,200107,6.2
2,200108,6.3
2,200109,6.4
2,200110,6.5
2,200111,6.6
2,200112,6.7
