County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Anderson,10922.9,0.495579,5951.2,3783.9,47001
Bedford,7764.8,0.763239,3141.6,2200.0,47003
Benton,3200.4,0.603718,1498.9,971.8,47005
Bledsoe,3112.1,0.600276,1578.2,987.1,47007
Blount,13656.0,0.629613,6560.0,4848.0,47009
Bradley,20836.3,0.6613,8788.7,6596.0,47011
Campbell,10333.9,0.539178,4996.8,3056.1,47013
Cannon,3528.5,0.509817,1400.5,917.4,47015
Carroll,5760.7,0.603718,2698.0,1749.2,47017
Carter,13747.8,0.477895,6148.8,3951.6,47019
Cheatham,3779.3,0.723937,1625.3,1197.3,47021
Chester,3841.2,0.641803,1704.4,1065.6,47023
Claiborne,7154.2,0.539178,3459.3,2115.8,47025
Clay,1668.5,0.668638,839.3,589.4,47027
Cocke,7477.2,0.58902,3032.2,2148.2,47029
Coffee,8113.1,0.582514,3493.8,2115.6,47031
Crockett,2783.8,0.489272,1280.7,706.2,47033
Cumberland,13169.5,0.680881,5171.0,3754.6,47035
Davidson,80629.0,0.717893,44163.0,33602.0,47037
Decatur,3802.5,0.531732,1785.4,1046.0,47039
DeKalb,4410.6,0.509817,1750.6,1146.8,47041
Dickson,4619.2,0.723937,1986.5,1463.4,47043
Dyer,8353.6,0.572714,3623.6,2351.2,47045
Fayette,6985.5,0.647005,3316.5,2199.5,47047
Fentress,3873.4,0.680881,1520.9,1104.3,47049
Franklin,4772.4,0.582514,2055.2,1244.5,47051
Gibson,9464.9,0.489272,4354.3,2401.1,47053
Giles,7197.5,0.635176,3184.4,2005.8,47055
Grainger,5865.4,0.687899,2562.2,1855.2,47057
Greene,14214.8,0.508352,6320.0,3618.7,47059
Grundy,3669.8,0.574099,1629.9,992.6,47061
Hamblen,11730.8,0.687899,5124.4,3710.4,47063
Hamilton,45466.0,0.513791,22143.0,14103.0,47065
Hancock,1589.8,0.539178,768.7,470.2,47067
Hardeman,4563.0,0.531732,2142.5,1255.2,47069
Hardin,6084.0,0.531732,2856.7,1673.6,47071
Hawkins,10870.2,0.508352,4833.0,2767.3,47073
Haywood,3340.5,0.489272,1536.8,847.5,47075
Henderson,5323.5,0.531732,2499.6,1464.4,47077
Henry,7680.9,0.603718,3597.3,2332.2,47079
Hickman,2939.5,0.723937,1264.1,931.3,47081
Houston,1920.2,0.603718,899.3,583.0,47083
Humphreys,3200.4,0.603718,1498.9,971.8,47085
Jackson,3528.5,0.509817,1400.5,917.4,47087
Jefferson,11730.8,0.687899,5124.4,3710.4,47089
Johnson,3818.8,0.477895,1708.0,1097.7,47091
Knox,69484.0,0.700017,31656.0,22415.0,47093
Lake,1670.7,0.572714,724.7,470.2,47095
Lauderdale,5010.8,0.489272,2305.2,1271.2,47097
Lawrence,8797.0,0.635176,3892.1,2451.5,47099
Lewis,1599.4,0.635176,707.7,445.7,47101
Lincoln,6988.3,0.763239,2827.4,1980.0,47103
Loudon,11053.0,0.783846,4600.1,3561.4,47105
McMinn,10892.5,0.600276,5523.8,3454.9,47107
McNairy,6084.0,0.531732,2856.7,1673.6,47109
Macon,4410.6,0.509817,1750.6,1146.8,47111
Madison,21510.8,0.641803,9544.6,5967.4,47113
Marion,6422.1,0.574099,2852.4,1737.0,47115
Marshall,4658.9,0.763239,1885.0,1320.0,47117
Maury,14891.0,0.698811,7621.0,5602.0,47119
Meigs,2334.1,0.600276,1183.7,740.3,47121
Monroe,9474.0,0.783846,3942.9,3052.6,47123
Montgomery,36689.0,0.67061,13886.0,10134.0,47125
Moore,954.5,0.582514,411.0,248.9,47127
Morgan,2730.7,0.495579,1487.8,946.0,47129
Obion,8353.6,0.572714,3623.6,2351.2,47131
Overton,6673.9,0.668638,3357.3,2357.6,47133
Perry,2399.2,0.635176,1061.5,668.6,47135
Pickett,1668.5,0.668638,839.3,589.4,47137
Polk,5000.7,0.6613,2109.3,1583.0,47139
Putnam,15016.2,0.668638,7554.0,5304.6,47141
Rhea,4668.2,0.600276,2367.3,1480.7,47143
Roane,8738.3,0.495579,4761.0,3027.1,47145
Robertson,5768.9,0.730991,2535.8,2107.7,47147
Rutherford,35146.0,0.751608,13256.0,10033.0,47149
Scott,4769.5,0.539178,2306.2,1410.5,47151
Sequatchie,3669.8,0.574099,1629.9,992.6,47153
Sevier,22431.8,0.58902,9096.8,6444.8,47155
Shelby,166975.0,0.513628,71373.0,43013.0,47157
Smith,4410.6,0.509817,1750.6,1146.8,47159
Stewart,3840.4,0.603718,1798.6,1166.1,47161
Sullivan,25105.0,0.551165,13243.0,7439.0,47163
Sumner,20071.1,0.681776,9037.2,6367.3,47165
Tipton,8255.5,0.647005,3919.5,2599.5,47167
Trousdale,1764.2,0.509817,700.2,458.7,47169
Unicoi,3055.1,0.477895,1366.4,878.1,47171
Union,3974.6,0.539178,1921.9,1175.4,47173
Van Buren,1834.9,0.574099,815.0,496.3,47175
Warren,9174.4,0.574099,4074.8,2481.5,47177
Washington,25223.3,0.822533,11561.8,9503.6,47179
Wayne,3198.9,0.635176,1415.3,891.4,47181
Weakley,9189.0,0.572714,3986.0,2586.3,47183
White,4648.1,0.680881,1825.1,1325.1,47185
Williamson,14313.0,0.906588,6174.0,5391.0,47187
Wilson,9441.0,0.738057,4610.0,3462.0,47189
