PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,11958,27567,4199,7759,15788,146,0.6488543234654625,16957,11768,0.6939906823140886
00200,11991,25603,4217,7774,15457,166,0.6483195730130932,18949,14160,0.7472689851707214
00301,6761,17099,1141,5620,12851,50,0.8312379825469605,10719,9025,0.8419628696706782
00302,7125,19590,2611,4514,11753,49,0.6335438596491229,12246,8431,0.6884697043932713
00401,6255,14230,1056,5199,10402,73,0.8311750599520383,12839,11034,0.8594127268478854
00501,5318,11610,2042,3276,7499,40,0.6160210605490786,10120,8045,0.7949604743083004
00600,8753,22053,3019,5734,11243,107,0.655089683537073,15101,11281,0.7470366200913847
00700,12590,25027,3749,8841,16734,129,0.7022239872915012,19831,15185,0.7657203368463517
00800,13453,27822,5225,8228,15001,189,0.6116107931316435,21710,15129,0.6968678028558268
00900,11153,25085,4767,6386,12752,116,0.5725813682417287,20612,15007,0.7280710265864545
01000,13243,25105,5804,7439,13837,141,0.5617307256663898,21151,14372,0.679495059335256
01101,10248,22913,3662,6586,10950,126,0.6426619828259172,17992,13650,0.7586705202312138
01201,10537,22932,1692,8845,19652,90,0.8394229856695454,16066,13730,0.8545997759243122
01300,12811,29327,3535,9276,20174,112,0.7240652564202639,21366,17114,0.800992230646822
01400,12129,29909,3536,8593,17617,109,0.7084673097534834,22818,18195,0.7973967920063109
01501,15519,34765,6069,9450,20693,140,0.6089309878213802,25384,17715,0.6978805546801135
01502,3555,7217,252,3303,6870,32,0.9291139240506329,6828,6489,0.9503514938488576
01503,6979,16785,1308,5671,13753,60,0.8125805989396762,13082,11373,0.869362482800795
01504,5603,10717,1612,3991,7324,69,0.7122969837587007,10736,7418,0.690946348733234
01600,6560,13656,1712,4848,8598,81,0.7390243902439024,11140,8920,0.800718132854578
01700,12200,22392,4443,7757,11097,142,0.6358196721311475,21029,15331,0.7290408483522755
01800,8517,21691,2333,6184,14769,111,0.7260772572502054,15845,11679,0.7370779425686337
01900,4610,9441,1148,3462,6968,41,0.7509761388286335,10516,9278,0.8822746291365539
02001,5850,10270,1473,4377,7831,51,0.7482051282051282,12234,9618,0.7861696910250122
02002,4910,17110,1750,3160,10819,38,0.6435845213849287,8703,6740,0.7744455934735148
02003,2496,7766,0,2496,7766,18,1.0,5618,5205,0.9264862940548237
02101,3234,7385,629,2605,6263,31,0.8055040197897341,6008,5231,0.8706724367509987
02102,2940,6928,154,2786,6713,23,0.9476190476190476,4610,4162,0.9028199566160521
02200,7621,14891,2019,5602,10406,63,0.7350741372523291,12104,9560,0.7898215465961665
02300,4876,11338,1284,3592,8208,57,0.7366694011484823,10821,9142,0.8448387394880326
02401,12439,19789,3914,8525,12100,70,0.6853444810676099,18656,12644,0.6777444253859348
02402,4671,8902,686,3985,7386,42,0.8531363733675872,11866,10046,0.8466205966627338
02403,7532,10948,1302,6230,8871,47,0.8271375464684015,11877,10354,0.8717689652269092
02404,9343,15437,3035,6308,9020,62,0.675157872203789,15576,10643,0.6832948125321007
02405,6072,17481,1450,4622,12723,39,0.7611989459815547,9897,7300,0.7375972516924321
02406,4106,8072,174,3932,7783,39,0.9576229907452508,7518,7344,0.9768555466879489
02501,15873,29515,7094,8779,13375,166,0.5530775530775531,23869,14581,0.6108760316728812
02502,11020,23836,3838,7182,12445,80,0.6517241379310345,17310,12113,0.6997689196995956
02503,11782,30838,6161,5621,14103,84,0.4770836869801392,18297,10136,0.553970596272613
02504,4247,9056,854,3393,7089,39,0.7989168825052979,7016,5952,0.8483466362599772
02505,2751,6547,511,2240,4422,23,0.8142493638676844,5953,4649,0.7809507811187637
02506,4615,11624,806,3809,9012,43,0.8253521126760563,6052,4910,0.8113020489094515
02507,6354,15654,2366,3988,8265,51,0.6276361347182877,13875,9902,0.7136576576576577
02508,14731,39905,6730,8001,17052,84,0.5431403163396918,20222,12537,0.6199683513005637
02600,7236,15241,2437,4799,9861,87,0.6632117191818684,11768,8128,0.69068660774983
02700,9477,20600,4251,5226,10079,121,0.551440329218107,15546,10430,0.6709121317380676
02800,11249,25352,4216,7033,16271,103,0.6252111298782114,17075,12119,0.7097510980966325
02900,12141,25857,5028,7113,13749,175,0.5858660736347912,20092,13853,0.6894783993629305
03000,10261,23192,3798,6463,14731,125,0.6298606373647793,17201,12160,0.7069356432765537
03100,7854,19412,2354,5500,14816,76,0.7002801120448179,13612,11140,0.8183955333529239
03200,5960,13840,2351,3609,8062,75,0.6055369127516779,11744,8392,0.7145776566757494
03300,11002,24771,4302,6700,14221,148,0.6089801854208325,17890,12352,0.6904415874790386
03401,11074,23947,4317,6757,11714,101,0.6101679609897056,16712,10627,0.6358903781713738
03402,5455,10513,1611,3844,5663,49,0.7046746104491293,8983,6956,0.7743515529333185
03403,5614,11006,2112,3502,5983,54,0.6237976487353046,9010,6352,0.7049944506104329
03500,10653,21007,3990,6663,12610,127,0.6254576175725148,19302,14111,0.7310641384312506
03600,10898,25837,2719,8179,17086,113,0.7505046797577537,15698,12534,0.7984456618677539
03700,8543,20527,1929,6614,16090,94,0.7742011003160483,14462,11420,0.7896556492877886
