County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Anderson,8181.3,0.648198,3231.3,2260.8,48001
Andrews,2159.7,0.665498,983.0,688.6,48003
Angelina,16701.6,0.521276,7385.4,4710.6,48005
Aransas,8044.5,0.693919,3493.4,2471.8,48007
Archer,1544.1,0.506469,592.1,390.8,48009
Armstrong,474.4,0.639631,210.6,154.6,48011
Atascosa,9938.0,0.543468,4039.5,2448.6,48013
Austin,5010.8,0.643674,1978.0,1330.6,48015
Bailey,1040.1,0.639852,438.0,289.5,48017
Bandera,5351.2,0.543468,2175.1,1318.5,48019
Bastrop,11777.3,0.696913,4755.3,3409.9,48021
Baylor,1029.4,0.506469,394.7,260.6,48023
Bee,6581.8,0.693919,2858.2,2022.4,48025
Bell,44285.0,0.598645,21315.0,14135.0,48027
Bexar,341772.0,0.508921,131986.0,80878.0,48029
Blanco,1864.2,0.77559,911.3,747.9,48031
Borden,498.5,0.689276,232.6,169.4,48033
Bosque,3628.4,0.660309,1698.6,1182.9,48035
Bowie,16463.2,0.320819,7384.7,3515.2,48037
Brazoria,41480.0,0.640477,15914.0,11340.0,48039
Brazos,60913.0,0.689705,23987.0,18293.0,48041
Brewster,1619.8,0.665498,737.2,516.4,48043
Briscoe,474.4,0.639631,210.6,154.6,48045
Brooks,1426.8,0.462574,548.1,294.2,48047
Brown,5648.2,0.479834,2487.4,1312.4,48049
Burleson,3805.3,0.689628,1779.8,1275.6,48051
Burnet,8755.1,0.56146,3424.6,2085.3,48053
Caldwell,6169.0,0.696913,2490.9,1786.2,48055
Calhoun,4149.8,0.654107,1692.8,1168.5,48057
Callahan,1303.4,0.479834,574.0,302.9,48059
Cameron,122336.0,0.409659,41628.0,20749.0,48061
Camp,1946.6,0.559333,880.1,577.0,48063
Carson,948.7,0.639631,421.2,309.2,48065
Cass,5698.8,0.320819,2556.3,1216.8,48067
Castro,1423.1,0.639631,631.8,463.8,48069
Chambers,5846.1,0.604576,2406.7,1515.8,48071
Cherokee,9334.8,0.512748,3638.0,2286.8,48073
Childress,948.7,0.639631,421.2,309.2,48075
Clay,1544.1,0.506469,592.1,390.8,48077
Cochran,520.1,0.639852,219.0,144.7,48079
Coke,997.1,0.689276,465.2,338.8,48081
Coleman,1303.4,0.479834,574.0,302.9,48083
Collin,81136.0,0.779481,34151.0,28412.0,48085
Collingsworth,474.4,0.639631,210.6,154.6,48087
Colorado,3131.7,0.643674,1236.2,831.6,48089
Comal,19092.0,0.713126,7566.0,5915.0,48091
Comanche,2172.4,0.479834,956.7,504.8,48093
Concho,498.5,0.689276,232.6,169.4,48095
Cooke,6223.1,0.725218,2408.6,1835.1,48097
Coryell,11089.8,0.56146,4337.9,2641.3,48099
Cottle,514.7,0.506469,197.4,130.3,48101
Crane,539.9,0.665498,245.8,172.1,48103
Crockett,498.5,0.689276,232.6,169.4,48105
Crosby,1560.2,0.639852,656.9,434.2,48107
Culberson,539.9,0.665498,245.8,172.1,48109
Dallam,948.7,0.639631,421.2,309.2,48111
Dallas,394358.0,0.629996,145536.0,100768.0,48113
Dawson,1994.1,0.689276,930.3,677.7,48115
Deaf Smith,1897.5,0.639631,842.4,618.4,48117
Delta,1515.0,0.669958,660.2,470.0,48119
Denton,58210.0,0.780278,26751.0,21654.0,48121
DeWitt,4981.5,0.54312,1863.2,1064.4,48123
Dickens,520.1,0.639852,219.0,144.7,48125
Dimmit,3664.1,0.401209,1291.4,577.5,48127
Donley,948.7,0.639631,421.2,309.2,48129
Duval,3664.1,0.401209,1291.4,577.5,48131
Eastland,3041.3,0.479834,1339.4,706.7,48133
Ector,19305.0,0.583269,9424.0,5837.0,48135
Edwards,1102.0,0.405277,391.1,170.1,48137
Ellis,23677.0,0.588123,8198.0,5112.0,48139
El Paso,190627.0,0.508884,74739.0,41598.0,48141
Erath,7041.2,0.696469,3172.3,2274.8,48143
Falls,3110.0,0.660309,1456.0,1013.9,48145
Fannin,6223.1,0.725218,2408.6,1835.1,48147
Fayette,5047.4,0.696913,2038.0,1461.4,48149
Fisher,869.0,0.479834,382.7,201.9,48151
Floyd,1040.1,0.639852,438.0,289.5,48153
Foard,514.7,0.506469,197.4,130.3,48155
Fort Bend,91012.0,0.727981,34160.0,27436.0,48157
Franklin,3029.9,0.669958,1320.4,939.9,48159
Freestone,4146.7,0.660309,1941.3,1351.8,48161
Frio,4586.8,0.543468,1864.4,1130.1,48163
Gaines,2159.7,0.665498,983.0,688.6,48165
Galveston,41179.0,0.603074,19962.0,13383.0,48167
Garza,1560.2,0.639852,656.9,434.2,48169
Gillespie,3262.4,0.77559,1594.8,1308.8,48171
Glasscock,498.5,0.689276,232.6,169.4,48173
Goliad,1660.5,0.54312,621.1,354.8,48175
Gonzales,4981.5,0.54312,1863.2,1064.4,48177
Gray,3320.6,0.639631,1474.2,1082.2,48179
Grayson,20743.8,0.725218,8028.8,6116.9,48181
Gregg,18761.0,0.517723,7740.0,4891.0,48183
Grimes,4348.9,0.689628,2034.0,1457.9,48185
Guadalupe,16772.0,0.425888,6657.0,4118.0,48187
Hale,4680.6,0.639852,1970.8,1302.7,48189
Hall,474.4,0.639631,210.6,154.6,48191
Hamilton,1751.0,0.56146,684.9,417.1,48193
Hansford,948.7,0.639631,421.2,309.2,48195
Hardeman,514.7,0.506469,197.4,130.3,48197
Hardin,8734.9,0.491774,3513.5,2182.6,48199
Harris,862888.0,0.576213,320527.0,205366.0,48201
Harrison,12371.2,0.453871,5019.7,3006.4,48203
Hartley,474.4,0.639631,210.6,154.6,48205
Haskell,869.0,0.479834,382.7,201.9,48207
Hays,27373.0,0.771527,13055.0,11024.0,48209
Hemphill,474.4,0.639631,210.6,154.6,48211
Henderson,19089.7,0.648198,7539.7,5275.2,48213
Hidalgo,266214.0,0.424989,85757.0,42537.0,48215
Hill,6220.1,0.660309,2911.9,2027.8,48217
Hockley,3640.5,0.639852,1532.8,1013.2,48219
Hood,8214.8,0.696469,3701.0,2653.9,48221
Hopkins,7574.8,0.669958,3301.1,2349.8,48223
Houston,6202.2,0.564191,2955.2,1845.8,48225
Howard,4985.3,0.689276,2325.8,1694.2,48227
Hudspeth,539.9,0.665498,245.8,172.1,48229
Hunt,8273.6,0.528809,3321.8,2247.0,48231
Hutchinson,3795.0,0.639631,1684.7,1236.7,48233
Irion,498.5,0.689276,232.6,169.4,48235
Jack,1544.1,0.506469,592.1,390.8,48237
Jackson,2490.8,0.54312,931.6,532.2,48239
Jasper,7657.9,0.663671,3389.1,2289.1,48241
Jeff Davis,539.9,0.665498,245.8,172.1,48243
Jefferson,55990.0,0.572013,22876.0,13408.0,48245
Jim Hogg,2442.8,0.401209,860.9,385.0,48247
Jim Wells,7847.4,0.462574,3014.6,1618.3,48249
Johnson,24603.0,0.762062,9885.0,7805.0,48251
Jones,2606.9,0.479834,1148.0,605.7,48253
Karnes,4151.2,0.54312,1552.6,887.0,48255
Kaufman,16729.0,0.785941,5533.0,4412.0,48257
Kendall,4194.5,0.77559,2050.4,1682.7,48259
Kenedy,1426.8,0.462574,548.1,294.2,48261
Kent,434.5,0.479834,191.3,101.0,48263
Kerr,6524.8,0.77559,3189.5,2617.6,48265
Kimble,997.1,0.689276,465.2,338.8,48267
King,520.1,0.639852,219.0,144.7,48269
Kinney,1102.0,0.405277,391.1,170.1,48271
Kleberg,7134.0,0.462574,2740.6,1471.1,48273
Knox,869.0,0.479834,382.7,201.9,48275
Lamar,9847.2,0.669958,4291.4,3054.7,48277
Lamb,2600.3,0.639852,1094.9,723.7,48279
Lampasas,3502.0,0.56146,1369.9,834.1,48281
La Salle,2442.8,0.401209,860.9,385.0,48283
Lavaca,4981.5,0.54312,1863.2,1064.4,48285
Lee,2243.3,0.696913,905.8,649.5,48287
Leon,3261.7,0.689628,1525.5,1093.4,48289
Liberty,12422.9,0.604576,5114.3,3221.2,48291
Limestone,4146.7,0.660309,1941.3,1351.8,48293
Lipscomb,948.7,0.639631,421.2,309.2,48295
Live Oak,2853.6,0.462574,1096.2,588.5,48297
Llano,4669.4,0.56146,1826.5,1112.1,48299
Loving,539.9,0.665498,245.8,172.1,48301
Lubbock,58664.0,0.586987,25884.0,18379.0,48303
Lynn,1560.2,0.639852,656.9,434.2,48305
McCulloch,1495.6,0.689276,697.7,508.3,48307
McLennan,51278.0,0.546199,22714.0,14914.0,48309
McMullen,1221.4,0.401209,430.5,192.5,48311
Madison,2174.5,0.689628,1017.0,728.9,48313
Marion,3092.8,0.453871,1254.9,751.6,48315
Martin,997.1,0.689276,465.2,338.8,48317
Mason,997.1,0.689276,465.2,338.8,48319
Matagorda,8142.5,0.643674,3214.2,2162.2,48321
Maverick,14326.3,0.405277,5084.6,2211.0,48323
Medina,8409.1,0.543468,3418.0,2071.9,48325
Menard,498.5,0.689276,232.6,169.4,48327
Midland,24504.0,0.645323,8705.0,6141.0,48329
Milam,3805.3,0.689628,1779.8,1275.6,48331
Mills,1167.3,0.56146,456.6,278.0,48333
Mitchell,869.0,0.479834,382.7,201.9,48335
Montague,4117.6,0.506469,1578.9,1042.2,48337
Montgomery,88075.0,0.652092,30439.0,22003.0,48339
Moore,2846.2,0.639631,1263.6,927.6,48341
Morris,2272.4,0.669958,990.3,704.9,48343
Motley,520.1,0.639852,219.0,144.7,48345
Nacogdoches,13520.4,0.521276,5978.6,3813.4,48347
Navarro,6220.1,0.660309,2911.9,2027.8,48349
Newton,3829.0,0.663671,1694.6,1144.6,48351
Nolan,2172.4,0.479834,956.7,504.8,48353
Nueces,60865.0,0.516192,24266.0,13970.0,48355
Ochiltree,1423.1,0.639631,631.8,463.8,48357
Oldham,474.4,0.639631,210.6,154.6,48359
Orange,16126.1,0.491774,6486.5,4029.4,48361
Palo Pinto,5867.7,0.696469,2643.6,1895.6,48363
Panola,4667.4,0.512748,1819.0,1143.4,48365
Parker,14541.0,0.65752,6950.0,5362.0,48367
Parmer,948.7,0.639631,421.2,309.2,48369
Pecos,2492.7,0.689276,1162.9,847.1,48371
Polk,10078.6,0.564191,4802.3,2999.4,48373
Potter,16728.0,0.50813,8882.0,5297.0,48375
Presidio,1079.9,0.665498,491.5,344.3,48377
Rains,1946.6,0.559333,880.1,577.0,48379
Randall,14982.0,0.710186,6255.0,4642.0,48381
Reagan,498.5,0.689276,232.6,169.4,48383
Real,1102.0,0.405277,391.1,170.1,48385
Red River,3787.4,0.669958,1650.5,1174.9,48387
Reeves,2159.7,0.665498,983.0,688.6,48389
Refugio,1462.6,0.693919,635.2,449.4,48391
Roberts,474.4,0.639631,210.6,154.6,48393
Robertson,3261.7,0.689628,1525.5,1093.4,48395
Rockwall,11425.4,0.528809,4587.2,3103.0,48397
Runnels,1737.9,0.479834,765.4,403.8,48399
Rusk,9334.8,0.512748,3638.0,2286.8,48401
Sabine,2297.4,0.663671,1016.7,686.7,48403
San Augustine,2297.4,0.663671,1016.7,686.7,48405
San Jacinto,6977.5,0.564191,3324.6,2076.5,48407
San Patricio,11701.1,0.693919,5081.3,3595.4,48409
San Saba,1167.3,0.56146,456.6,278.0,48411
Schleicher,498.5,0.689276,232.6,169.4,48413
Scurry,1737.9,0.479834,765.4,403.8,48415
Shackelford,434.5,0.479834,191.3,101.0,48417
Shelby,5360.6,0.663671,2372.4,1602.4,48419
Sherman,474.4,0.639631,210.6,154.6,48421
Smith,37406.0,0.594423,13258.0,8935.0,48423
Somervell,1760.3,0.696469,793.1,568.7,48425
Starr,20763.5,0.401209,7318.0,3272.5,48427
Stephens,1303.4,0.479834,574.0,302.9,48429
Sterling,498.5,0.689276,232.6,169.4,48431
Stonewall,434.5,0.479834,191.3,101.0,48433
Sutton,498.5,0.689276,232.6,169.4,48435
Swisher,1423.1,0.639631,631.8,463.8,48437
Tarrant,263862.0,0.624546,104275.0,72199.0,48439
Taylor,18998.0,0.6537,9221.0,6168.0,48441
Terrell,498.5,0.689276,232.6,169.4,48443
Terry,1560.2,0.639852,656.9,434.2,48445
