PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,12425,27988,3304,9121,17902,192,0.7340845070422535,22333,17571,0.7867729369095061
00200,8882,16728,3585,5297,8500,93,0.5963746903850484,15806,9948,0.6293812476274833
00300,6255,14982,1613,4642,10640,66,0.7421262989608314,12865,10070,0.7827438787407696
00400,9416,22363,3192,6224,14309,149,0.6610025488530161,17310,13165,0.7605430387059503
00501,16592,38055,5129,11463,21158,174,0.6908751205400193,26078,19707,0.7556944550962497
00502,9292,20609,2376,6916,13277,108,0.7442961687473095,17563,13506,0.7690030177076809
00600,9276,24191,3153,6123,12252,158,0.6600905562742562,17019,11727,0.6890534108937071
00700,8546,21478,3008,5538,12421,119,0.6480224666510648,14948,10998,0.7357506020872357
00800,12846,33190,3059,9787,24070,184,0.761871399657481,25096,19400,0.7730315588141536
00900,7909,19699,2559,5350,10417,116,0.6764445568339866,14502,11302,0.7793407805819887
01000,15185,34844,4376,10809,23344,219,0.7118208758643398,23187,16991,0.7327812998663044
01100,9941,22162,5209,4732,7110,141,0.4760084498541394,17521,10252,0.5851264197249015
01200,9412,23196,3775,5637,10528,107,0.5989162770930727,16054,11445,0.7129064407624268
01300,9388,20764,3233,6155,11614,123,0.6556242011077972,17707,13387,0.7560286892189529
01400,5533,16729,1121,4412,13148,61,0.7973974335803362,10828,8690,0.8025489471739934
01501,6780,17701,1488,5292,13041,75,0.7805309734513274,11355,8945,0.7877586966094232
01502,6478,19705,2835,3643,9194,77,0.5623649274467428,10923,6940,0.6353565870182184
01600,7740,18761,2849,4891,9713,87,0.6319121447028424,14606,10160,0.6956045460769547
01700,9095,23337,3378,5717,11966,129,0.628587135788895,13869,10007,0.721537241329584
01800,10771,27271,3235,7536,17677,148,0.6996564850060347,17824,13625,0.7644187612208259
01901,8037,14520,1137,6900,11514,74,0.8585293019783501,14659,13000,0.8868272051299543
01902,3423,7146,183,3240,6530,29,0.9465381244522348,4564,4079,0.8937335670464505
01903,4327,9916,1130,3197,7544,43,0.73884908712734,8407,6535,0.7773284167955276
01904,4373,13275,298,4075,10653,34,0.9318545620855249,7483,7097,0.9484164105305359
01905,5669,11765,1105,4564,9138,49,0.8050802610689716,8647,7335,0.8482710766739909
01907,4444,13249,834,3610,9756,53,0.8123312331233123,10498,9343,0.8899790436273576
01908,578,1736,0,578,1736,8,1.0,1984,1984,1.0
01909,3300,9529,1052,2248,6373,16,0.6812121212121212,5030,3731,0.7417495029821074
02001,3254,6653,1189,2065,4194,36,0.6346035648432699,6826,4862,0.7122765895106944
02002,3366,7239,298,3068,5973,33,0.9114676173499703,8221,7087,0.8620605765721931
02003,2396,5911,490,1906,3650,31,0.7954924874791319,5374,4461,0.8301079270561965
02004,2617,6349,198,2419,6151,22,0.9243408482995796,4947,4540,0.9177279159086315
02005,9026,16653,1610,7416,14294,91,0.8216264125858631,14711,12381,0.8416151179389573
02006,6092,15405,1312,4780,11158,60,0.7846355876559422,9789,8069,0.8242925732965574
02101,8198,23677,3086,5112,13925,76,0.6235667235911198,16125,12354,0.7661395348837209
02102,9885,24603,2080,7805,18749,101,0.7895801719777441,16940,13515,0.7978158205430933
02200,10310,22884,2917,7393,15938,126,0.717070805043647,16189,12972,0.801284823027982
02301,4031,10816,698,3333,7804,48,0.8268419746961052,6880,6063,0.88125
02302,6889,22375,1356,5533,19645,52,0.8031644650892727,10847,8540,0.7873144648289849
02303,6316,21678,1833,4483,12674,46,0.7097846738442052,10550,8397,0.7959241706161138
02304,9324,25327,3804,5520,13096,57,0.592020592020592,16950,10706,0.631622418879056
02305,7042,25233,3257,3785,12000,55,0.5374893496165862,14481,8523,0.5885643256681169
02306,6628,16941,3032,3596,7653,46,0.5425467712733857,12235,7072,0.5780138945647731
02307,9021,22806,2039,6982,17464,65,0.773971843476333,15876,13083,0.8240740740740741
02308,6084,16247,846,5238,13649,57,0.8609467455621301,11022,9560,0.8673561966975141
02309,4308,7930,520,3788,6783,45,0.8792943361188487,8107,7411,0.9141482669298138
02310,5139,14435,292,4847,13214,40,0.9431796069274178,9902,9179,0.9269844475863462
02311,3357,7903,900,2457,5397,41,0.7319034852546917,7533,6160,0.8177352980220364
02312,4842,7264,1048,3794,5212,44,0.7835605121850475,7836,6788,0.8662582950484942
02313,8732,13061,1873,6859,10358,70,0.7855016032982135,13519,11157,0.825282935128338
02314,11830,34631,6451,5379,11669,85,0.45469146238377006,19709,10539,0.5347303262468923
02315,7872,22641,4104,3768,8212,60,0.47865853658536583,12567,7549,0.600700246677807
02316,8988,28038,4391,4597,13007,60,0.5114597240765465,14125,8630,0.6109734513274336
02317,4951,13524,1506,3445,8662,31,0.6958190264593012,9665,7211,0.7460941541645111
02318,4207,11139,1652,2555,5439,45,0.6073211314475874,8286,5261,0.6349263818489017
02319,7834,21516,2143,5691,13609,59,0.72644881286699,11852,9329,0.7871245359433007
02320,8058,23249,983,7075,20021,68,0.8780094316207495,12810,11075,0.8645589383294301
02321,6888,20562,1510,5378,16576,53,0.7807781649245064,9971,8150,0.817370374084846
02322,3195,7042,530,2665,6300,27,0.8341158059467919,5891,5170,0.8776099134272619
02400,6950,14541,1588,5362,9561,71,0.7715107913669065,12204,10276,0.8420190101606031
02501,3157,6471,0,3157,6471,32,1.0,6164,5477,0.8885463984425698
02502,7587,18164,2614,4973,10987,66,0.6554632924739686,13912,9882,0.7103220241518113
02503,12838,33495,3262,9576,23827,108,0.7459105779716467,19448,15213,0.7822398190045249
02504,4608,12605,710,3898,9851,27,0.8459201388888888,7009,6016,0.8583250107005279
02505,3939,10605,944,2995,7109,30,0.7603452652957603,6949,5484,0.7891782990358325
02506,5739,16342,1568,4171,11813,51,0.7267816692803625,9686,6588,0.6801569275242618
02507,6367,16606,1547,4820,12296,58,0.7570284278310037,10642,8695,0.8170456681074986
02508,11889,31708,5702,6187,14773,113,0.5203970056354613,17356,10906,0.6283705923023738
02509,6499,16334,1558,4941,9849,72,0.7602708108939837,15457,12779,0.8267451640033642
02510,2274,5633,162,2112,5412,26,0.9287598944591029,5073,4691,0.9246993889217425
02511,2669,8369,1291,1378,2950,25,0.5162982390408393,7392,4662,0.6306818181818182
02512,4957,12355,2553,2404,4757,51,0.48497074843655436,11637,6295,0.5409469794620607
02513,6796,15443,1179,5617,13273,69,0.8265155974102413,11456,9573,0.8356319832402235
02514,11355,27389,5130,6225,11021,84,0.5482166446499339,17855,11313,0.6336040324838981
02515,7294,15489,1936,5358,11238,64,0.7345763641349053,11942,8937,0.7483671076871545
