Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
1695660,Ace Of Spirits Llc,3720 W Olympic Blvd,,Los Angeles,CA,90019,2029,LOS ANGELES,Convenience Store,34.053116,-118.31937,,,2
843531,Carniceria La Oaxaquena,3701 W Pico Blvd,,Los Angeles,CA,90019,3451,LOS ANGELES,Grocery Store,34.047501,-118.32166,,,3
1602171,McDonald's #12036,405 N Alvarado St,,Los Angeles,CA,90026,4901,LOS ANGELES,Restaurant Meals Program,34.070583,-118.26817,,,4
1694653,Yoshinoya #1261,9157 De Soto Ave,,Chatsworth,CA,91311,4906,LOS ANGELES,Restaurant Meals Program,34.23719,-118.58907,,,5
1013367,Ideal Market,2036 Market St,,Oakland,CA,94607,3336,ALAMEDA,Convenience Store,37.81292,-122.27889,,,6
1404673,7-eleven 17970G,3923 Pioneer Trl,,South Lake Tahoe,CA,96150,8809,EL DORADO,Convenience Store,38.952816,-119.94675,,,8
1693176,Wendy's #24,395 Oro Dam Blvd E,,Oroville,CA,95965,5713,BUTTE,Restaurant Meals Program,39.497597,-121.5723,,,19
1681764,Oroville Downtown Wednesday Market,1200 Montgomery St,,Oroville,CA,95965,4903,BUTTE,Farmers and Markets,39.51136,-121.56374,,,20
1693173,Wendy's #12,1301 Bridge St,,Yuba City,CA,95993,3549,SUTTER,Restaurant Meals Program,39.132664,-121.63529,,,21
1696879,Papa John's #2765,105 W Carson St,Ste C,Carson,CA,90745,2602,LOS ANGELES,Restaurant Meals Program,33.832035,-118.27869,,,55
1694038,Yoshinoya #1149,6800 Reseda Blvd,Ste H,Reseda,CA,91335,4256,LOS ANGELES,Restaurant Meals Program,34.194107,-118.53583,,,57
1449591,Covina Burgers,523 E San Bernardino Rd,,Covina,CA,91723,1732,LOS ANGELES,Restaurant Meals Program,34.091129,-117.88074,,,58
1693932,Yoshinoya #1153,1701 N Broadway,Ste A,Santa Ana,CA,92706,2644,ORANGE,Restaurant Meals Program,33.760361,-117.86913,,,59
1698585,Vallarta Supermarkets 76,851 W Olive Avenue,Suite 370,Merced,CA,95348,    ,MERCED,Super Store,37.320354,-120.48341,,,60
1689370,Perkins Shell,585 E Perkins St,,Ukiah,CA,95482,4508,MENDOCINO,Convenience Store,39.151134,-123.19943,,,68
1693924,Yoshinoya #1152,13750 Roscoe Blvd,,Panorama City,CA,91402,3840,LOS ANGELES,Restaurant Meals Program,34.22123,-118.43314,,,102
1693550,Carniceria Robledo,1612 11th St,,Reedley,CA,93654,2902,FRESNO,Specialty Store,36.59671,-119.44987,,,104
1692757,Premium Meat Market #2,1544 W Grand Ave,,Grover Beach,CA,93433,2238,SAN LUIS OBISPO,Grocery Store,35.120209,-120.61262,,,105
1688842,Lost Sierra Food Project,501 Crescent St,,Quincy,CA,95971,9130,PLUMAS,Farmers and Markets,39.942917,-120.95507,,,107
1698021,University Pizza Shop,7242 University Ave,,La Mesa,CA,91942,5928,SAN DIEGO,Restaurant Meals Program,32.755798,-117.04196,,,148
1690924,7-eleven 26688C,22950 Joaquin Gully Rd,,Twain Harte,CA,95383,9591,TUOLUMNE,Convenience Store,38.038322,-120.23,,,150
1688661,Yc Asia International,1100 Garden Hwy,Ste 1400,Yuba City,CA,95991,7595,SUTTER,Grocery Store,39.111172,-121.61658,,,151
1634117,Taco Bell #15599,17170 Main St,,Hesperia,CA,92345,6036,SAN BERNARDINO,Restaurant Meals Program,34.419903,-117.28795,,,201
1397016,SOCAL FOOD GROUP LP DEL TACO 1307,1155 B Street,,San Diego,CA,92101,    ,SAN DIEGO,Restaurant Meals Program,32.717762,-117.15422,,,203
679690,JACK'S GIT-N-GO,105 N J St,,Tulare,CA,93274,4021,TULARE,Convenience Store,36.208221,-119.34767,,,204
1634424,Safeway Fuel Center 5841,1790 Pleasant Grove Blvd,,Roseville,CA,95747,8720,PLACER,Convenience Store,38.766361,-121.35819,,,205
1395931,Indian Groceries 1,1560 Geer Rd,,Turlock,CA,95380,3233,STANISLAUS,Other,37.506882,-120.84825,,,206
1632025,Carl's Jr. #7462,100 N Walnut Rd,,Turlock,CA,95380,9588,STANISLAUS,Restaurant Meals Program,37.493225,-120.87146,,,207
1628687,South Turlock Grocery Outlet 262,1330 W Main St,,Turlock,CA,95380,5116,STANISLAUS,Supermarket,37.491272,-120.86368,,,208
1690969,Royal Market And Deli,10846 Downey Ave,,Downey,CA,90241,3720,LOS ANGELES,Convenience Store,33.942768,-118.13063,,,223
