Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
1694069,Los Amigos Supermarket,122 Lafayette St,,Salem,MA,01970,3625,ESSEX,Convenience Store,42.517876,-70.893356,,,22
1693286,South Main Convenience Store,238 S Main St,,Fall River,MA,02721,5308,BRISTOL,Convenience Store,41.699108,-71.157379,,,23
1694699,Assembly Row Farmers Market,375 Assembly Row,,Somerville,MA,02145,4336,MIDDLESEX,Farmers and Markets,42.392914,-71.078827,,,117
1684439,Morline Super Caribbean Market 1,657 Route 28,Unit 4,Yarmouth,MA,02673,    ,BARNSTABLE,Grocery Store,41.648106,-70.224937,,,237
1687910,Fab Farms,12 S Main St,,Natick,MA,01760,4944,MIDDLESEX,Farmers and Markets,42.283337,-71.346771,,,310
1694427,Puma Express,841 Morton St,,Mattapan,MA,02126,2453,SUFFOLK,Convenience Store,42.28104,-71.086533,,,311
1691407,Convenience Plus,225 Western Ave,,Lynn,MA,01904,2745,ESSEX,Convenience Store,42.478004,-70.948708,,,376
1694490,Dracut Convenience,26 Pleasant St,,Dracut,MA,01826,4792,MIDDLESEX,Convenience Store,42.663013,-71.325752,,,377
759599,East Side Market,364 Centre St,,Brockton,MA,02302,2722,PLYMOUTH,Convenience Store,42.084129,-71.005234,,,378
1435332,Luau Brazilian Market,564 Washington St,,Abington,MA,02351,2424,PLYMOUTH,Grocery Store,42.107597,-70.94471,,,421
1697627,Big Y Pembroke 145,24 Mattakeesett St,,Pembroke,MA,02359,2527,PLYMOUTH,Super Store,42.067177,-70.812233,,,422
1450768,Richdale Food Shops 101,22 S Main St,,Randolph,MA,02368,4821,NORFOLK,Convenience Store,42.16124,-71.041107,,,423
1501336,Nubia Farms NAFMNP,402 Rindge,Avenue,Cambridge,MA,02140,    ,MIDDLESEX,Farmers and Markets,42.393116,-71.139908,,,424
1688698,Tiptop Co-op Community Market,8 Central St,,Brookfield,MA,01506,1612,WORCESTER,Convenience Store,42.215172,-72.100868,,,605
1690957,World Farmers,769 Main St,,Lancaster,MA,01523,2248,WORCESTER,Farmers and Markets,42.456455,-71.673355,,,661
1233786,Brothers Meat Market Inc.,113 Irving St,Ste 1,Framingham,MA,01702,7385,MIDDLESEX,Supermarket,42.275253,-71.415321,,,662
1694090,Nalee Yang,326 7 Bridge Rd,,Lancaster,MA,01523,2601,WORCESTER,Farmers and Markets,42.462364,-71.65921,,,663
1697548,M & M Market,169 Lincoln St,,Worcester,MA,01605,3743,WORCESTER,Convenience Store,42.279854,-71.793236,,,664
1694359,Joes Gas,33 Bedford St,,Lakeville,MA,02347,1307,PLYMOUTH,Convenience Store,41.88929,-70.957191,,,704
1694786,Niki's Liquor,24 Haydenville Rd,,Leeds,MA,01053,9713,HAMPSHIRE,Convenience Store,42.350327,-72.690666,,,855
1696296,Key Food Market Place,235 South St,,Holyoke,MA,01040,3611,HAMPDEN,Supermarket,42.196278,-72.621498,,,856
1388076,Jds Variety,259 Franklin Rd,,Fitchburg,MA,01420,5105,WORCESTER,Convenience Store,42.568623,-71.820923,,,857
1662260,The Farm Stand,244 School St,,Winchendon,MA,01475,1155,WORCESTER,Other,42.688892,-72.058144,,,1077
