County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Beaver,959.2,0.53339,370.5,253.6,49001
Box Elder,5383.4,0.584627,2015.2,1401.1,49003
Cache,14054.8,0.874968,4985.8,4318.1,49005
Carbon,2754.2,0.710252,1087.9,769.9,49007
Daggett,550.8,0.710252,217.6,154.0,49009
Davis,23733.0,0.683774,9113.0,5399.0,49011
Duchesne,2203.4,0.710252,870.3,615.9,49013
Emery,1652.5,0.710252,652.7,461.9,49015
Garfield,959.2,0.53339,370.5,253.6,49017
Grand,1652.5,0.710252,652.7,461.9,49019
Iron,5755.1,0.53339,2222.9,1521.7,49021
Juab,959.2,0.53339,370.5,253.6,49023
Kane,959.2,0.53339,370.5,253.6,49025
Millard,1438.8,0.53339,555.7,380.4,49027
Morgan,1505.9,0.874968,534.2,462.7,49029
Piute,479.6,0.53339,185.2,126.8,49031
Rich,502.0,0.874968,178.1,154.2,49033
Salt Lake,117850.0,0.703623,45878.0,34585.0,49035
San Juan,2203.4,0.710252,870.3,615.9,49037
Sanpete,3357.2,0.53339,1296.7,887.7,49039
Sevier,2398.0,0.53339,926.2,634.1,49041
Summit,7027.4,0.874968,2492.9,2159.0,49043
Tooele,7626.6,0.584627,2854.8,1984.9,49045
Uintah,4406.7,0.710252,1740.6,1231.8,49047
Utah,73286.0,0.78019,21810.0,17567.0,49049
Wasatch,5508.4,0.710252,2175.8,1539.7,49051
Washington,28087.0,0.826076,9769.0,8438.0,49053
Wayne,479.6,0.53339,185.2,126.8,49055
Weber,26437.0,0.61308,10808.0,6632.0,49057
