PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
03000,4870,13010,1484,3386,7606,65,0.6952772073921971,8697,6918,0.795446705760607
05000,8191,23090,1097,7094,20203,91,0.8660725186179954,14771,12716,0.860876040890935
11002,3354,10039,1034,2320,7817,24,0.691711389385808,6396,5094,0.7964352720450282
11003,2556,6223,1371,1185,4010,19,0.4636150234741784,3877,2506,0.6463760639669848
11004,3203,7471,1309,1894,4401,24,0.5913206369029035,5637,4328,0.7677842824197268
13000,8268,20932,2417,5851,14867,131,0.7076681180454766,16044,13037,0.81257791074545
21000,6854,17745,2162,4692,9465,106,0.6845637583892618,15858,12838,0.809559843612057
35008,2885,8187,604,2281,6149,25,0.7906412478336222,5194,4590,0.8837119753561802
35009,2711,7415,332,2379,6321,23,0.8775359645887126,5816,5132,0.8823933975240715
35011,9035,20116,2647,6388,13765,56,0.7070282235749862,14473,10806,0.7466316589511505
35012,6533,12025,790,5743,10759,54,0.8790754630338282,8112,7269,0.8960798816568047
35013,5789,18132,2544,3245,10396,47,0.5605458628433235,10099,7004,0.6935340132686405
35014,4163,15896,1271,2892,9762,28,0.6946913283689646,10106,8633,0.8542450029685336
35015,6989,14147,2061,4928,7335,58,0.7051080268994133,11525,8990,0.7800433839479393
35016,4620,15314,1027,3593,11834,38,0.7777056277056277,7265,5865,0.8072952512044047
35017,3153,6618,17,3136,6601,23,0.9946083095464637,5928,5911,0.9971322537112011
49001,4813,17569,639,4174,14782,43,0.8672345730313734,8226,7523,0.9145392657427668
49002,6449,21205,1353,5096,17471,52,0.7902000310125601,11252,9371,0.832829719161038
49003,7543,24137,1505,6038,18553,72,0.8004772636881877,13607,11743,0.863011685162049
49004,3005,10375,746,2259,6371,33,0.751747088186356,7321,6296,0.8599918043983062
53000,9769,28087,1331,8438,23202,67,0.8637526870713481,17711,15578,0.8795663711817514
57001,4207,9988,1278,2929,7166,38,0.6962205847397195,9063,7502,0.827761226966788
57002,6601,16449,2898,3703,9042,56,0.5609756097560976,11305,7753,0.6858027421494913
