County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Accomack,5206.2,0.615177,2557.5,1650.2,51001
Albemarle,14845.4,0.470209,7063.7,4014.3,51003
Alleghany,2625.7,0.565613,1269.1,889.0,51005
Amelia,2042.3,0.450649,987.6,514.0,51007
Amherst,4685.9,0.770274,2227.9,1792.6,51009
Appomattox,1874.4,0.770274,891.2,717.1,51011
Arlington,16003.0,0.61226,8278.0,5628.0,51013
Augusta,8003.3,0.719964,4364.8,3300.3,51015
Bath,889.3,0.719964,485.0,366.7,51017
Bedford,9371.8,0.770274,4455.9,3585.3,51019
Bland,1517.9,0.461707,696.1,391.2,51021
Botetourt,3938.5,0.565613,1903.7,1333.5,51023
Brunswick,4084.6,0.450649,1975.3,1028.0,51025
Buchanan,5031.6,0.332862,2459.2,1034.1,51027
Buckingham,2723.1,0.450649,1316.8,685.3,51029
Campbell,8452.8,0.541251,3467.0,2168.9,51031
Caroline,2260.8,0.616297,938.9,585.6,51033
Carroll,7589.5,0.461707,3480.7,1956.2,51035
Charles City,1008.0,0.768601,475.5,351.8,51036
Charlotte,2723.1,0.450649,1316.8,685.3,51037
Chesterfield,20982.0,0.578877,10088.0,6517.0,51041
Clarke,2085.7,0.628133,932.0,700.7,51043
Craig,437.6,0.565613,211.5,148.2,51045
Culpeper,3913.4,0.767176,1597.3,1272.7,51047
Cumberland,2042.3,0.450649,987.6,514.0,51049
Dickenson,2875.2,0.332862,1405.2,590.9,51051
Dinwiddie,4422.9,0.389459,2015.8,1108.4,51053
Essex,1041.2,0.615177,511.5,330.0,51057
Fairfax,66091.2,0.630398,27541.4,18950.4,51059
Fauquier,7826.8,0.767176,3194.5,2545.5,51061
Floyd,3764.1,0.640155,1766.4,1220.5,51063
Fluvanna,2268.8,0.471084,1108.8,571.6,51065
Franklin,7001.8,0.565613,3384.3,2370.7,51067
Frederick,9906.9,0.628133,4427.0,3328.3,51069
Giles,3011.2,0.640155,1413.1,976.4,51071
Gloucester,3123.7,0.615177,1534.5,990.1,51073
Goochland,1784.0,0.905269,695.5,609.0,51075
Grayson,3794.7,0.461707,1740.4,978.1,51077
Greene,2170.1,0.469823,1020.2,604.5,51079
Greensville,1474.3,0.389459,671.9,369.5,51081
Halifax,7488.5,0.450649,3621.3,1884.7,51083
Hanover,7936.0,0.830047,3451.5,2742.2,51085
Henrico,35920.0,0.516398,14412.0,8926.0,51087
Henry,10954.3,0.499478,4986.3,2759.4,51089
Highland,444.6,0.719964,242.5,183.3,51091
Isle of Wight,3373.1,0.564438,1567.4,1046.9,51093
James City,6648.3,0.634405,3125.9,2194.7,51095
