PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
01301,3503,5298,488,3015,4311,29,0.8606908364259206,6218,5669,0.911707944676745
01302,4775,10705,2162,2613,5487,34,0.5472251308900523,6189,3991,0.64485377282275
01500,10427,19119,2543,7884,13765,117,0.7561139349765033,19811,16124,0.8138912725253648
01900,7575,15932,1480,6095,12272,78,0.8046204620462046,13837,11025,0.7967767579677676
04101,4338,7632,1952,2386,3906,34,0.5500230520977409,9499,7010,0.7379724181492788
04102,3484,8396,1237,2247,4029,22,0.6449483352468427,7125,5441,0.7636491228070176
04103,2266,4954,382,1884,4211,25,0.8314210061782877,5452,4360,0.7997065297138665
05901,2094,5398,577,1517,3876,22,0.724450811843362,4490,3281,0.7307349665924276
05902,4747,10209,1396,3351,5535,41,0.705919528123025,8628,6380,0.7394529439035697
05904,2175,4981,47,2128,4793,22,0.9783908045977011,3514,3308,0.9413773477518498
05905,1861,3982,416,1445,2962,18,0.7764642665233745,3685,3099,0.840976933514247
05906,1814,4008,134,1680,3554,20,0.9261300992282249,4218,3347,0.7935040303461356
05907,6836,18452,3329,3507,8012,41,0.5130193095377413,11576,7119,0.6149792674498963
05908,3208,8497,1970,1238,3722,19,0.3859102244389027,6742,3711,0.5504301394245031
06100,7028,17219,1428,5600,13210,69,0.796812749003984,12369,9558,0.772738297356294
06900,6757,15121,1677,5080,9498,60,0.7518129347343495,12280,10129,0.8248371335504886
07300,10571,21519,3750,6821,13238,131,0.6452558887522467,21984,16555,0.7530476710334789
08300,18765,38804,8999,9766,17487,211,0.5204369837463363,26989,16494,0.6111378709844751
08501,3804,8064,990,2814,6198,46,0.7397476340694006,6491,5205,0.8018795254968418
08701,6405,14387,2939,3466,6357,59,0.5411397345823575,13679,8996,0.657650413041889
08702,8007,21533,2547,5460,12192,67,0.6819033345822405,12380,8989,0.7260904684975767
09500,7355,15643,2191,5164,9924,56,0.7021074099252209,13596,10172,0.7481612238893792
10701,3029,6426,569,2460,5132,21,0.8121492241663916,3741,3101,0.8289227479283614
10702,2892,6093,242,2650,5851,18,0.9163208852005532,4748,4235,0.8919545071609098
10703,2754,8363,394,2360,7102,27,0.8569353667392883,3482,3088,0.8868466398621482
10901,6431,13159,3116,3315,6199,60,0.5154719328253771,9969,6223,0.6242351288995888
12100,16957,36135,5240,11717,23132,158,0.6909830748363508,24718,17876,0.7231976697143782
14300,21370,46947,9544,11826,23449,221,0.5533926064576509,32875,19559,0.5949505703422053
14501,2782,7136,346,2436,6460,28,0.875629043853343,5924,5179,0.8742403781228899
14900,11423,25063,5142,6281,9761,116,0.5498555545828592,19184,10227,0.5331005004170142
15301,1493,4100,400,1093,2797,17,0.7320830542531815,3255,2763,0.8488479262672811
15302,3806,10613,1269,2537,6486,36,0.6665790856542302,7085,4561,0.6437544107268878
15303,2464,6935,1045,1419,4883,18,0.5758928571428571,5516,4047,0.7336838288614939
16101,11422,23631,3421,8001,13366,108,0.7004902819120995,20935,16491,0.7877239073322188
16500,8961,19385,2266,6695,14383,93,0.7471264367816092,14068,11473,0.8155388114870629
17100,7196,13364,2472,4724,8298,86,0.6564758198999444,12842,9557,0.7441987229403519
17700,5112,12309,1924,3188,7586,57,0.6236306729264476,12395,8540,0.6889874949576442
17900,5257,10546,1651,3606,6140,41,0.6859425527867605,9562,6555,0.6855260405772851
18500,20376,41690,11808,8568,13877,250,0.4204946996466431,34888,19647,0.5631449208897042
19100,19492,42501,8537,10955,19623,222,0.5620254463369587,32545,20948,0.6436626209863267
51000,6179,11700,2262,3917,5841,56,0.6339213464961968,9563,6959,0.7277005123915089
54001,8927,18988,3638,5289,8921,80,0.5924722751204212,13324,9066,0.6804262984088862
55001,7927,20171,2383,5544,11372,52,0.6993818594676422,12325,9026,0.7323326572008113
55002,4195,9636,553,3642,6983,35,0.868176400476758,6948,5741,0.8262809441565918
60001,3064,8465,134,2930,8121,36,0.956266318537859,4718,4584,0.9715981348028826
61001,2384,3570,673,1711,2397,23,0.7177013422818792,4788,3976,0.8304093567251462
65000,8639,22927,2363,6276,10223,70,0.7264729714087279,14655,11022,0.7520982599795292
68000,10112,24654,3786,6326,13344,96,0.6255933544303798,15465,10417,0.673585515680569
68701,5954,17706,974,4980,14282,31,0.8364124958011421,8439,7327,0.8682308330370897
70000,12053,28897,5396,6657,12306,104,0.5523106280594043,22168,14817,0.6683958859617467
71001,7348,16783,4162,3186,7191,60,0.4335873707131192,11111,6729,0.6056160561605616
71002,11431,21946,5050,6381,12100,100,0.5582188784883212,17971,11137,0.6197206610650492
74001,10488,24071,4623,5865,13046,79,0.5592105263157895,14413,8227,0.5708041351557621
76001,7378,10187,2248,5130,7465,61,0.695310382217403,12039,9147,0.7597807126837777
76002,10661,21579,4589,6072,10600,62,0.5695525748053654,17242,10535,0.6110080037118664
77001,13433,30476,5833,7600,15652,90,0.5657708628005658,21893,14671,0.6701228703238478
80000,9230,19864,3065,6165,11212,87,0.6679306608884074,14603,10889,0.745668698212696
81001,4792,8233,1419,3373,5754,40,0.703881469115192,8942,7141,0.7985909192574369
81002,9993,28126,2539,7454,19511,66,0.7459221455018513,16701,13319,0.7974971558589306
81003,4154,10848,1223,2931,8560,36,0.7055849783341358,6759,5208,0.7705281846426987
