County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Addison,2472.5,0.478059,1599.2,730.5,50001
Bennington,3792.2,0.495483,2604.3,1423.8,50003
Caledonia,4018.4,0.395856,2072.3,1012.6,50005
Chittenden,9187.0,0.6679,6703.0,4360.0,50007
Essex,1205.5,0.395856,621.7,303.8,50009
Franklin,4420.2,0.395856,2279.6,1113.8,50011
Grand Isle,803.7,0.395856,414.5,202.5,50013
Lamoille,2812.9,0.395856,1450.6,708.8,50015
Orange,2472.5,0.478059,1599.2,730.5,50017
Orleans,4018.4,0.395856,2072.3,1012.6,50019
Rutland,6320.3,0.495483,4340.6,2373.0,50021
Washington,4945.0,0.478059,3198.5,1461.0,50023
Windham,5688.3,0.495483,3906.5,2135.7,50025
Windsor,6004.3,0.495483,4123.6,2254.4,50027
