County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adams,5186.1,0.568076,2141.3,1313.7,53001
Asotin,4445.2,0.568076,1835.4,1126.1,53003
Benton,26666.1,0.594783,10991.0,6771.0,53005
Chelan,11674.7,0.655544,5247.6,3932.3,53007
Clallam,9072.2,0.620637,5768.8,3639.6,53009
Clark,33606.0,0.549783,17234.0,10493.0,53011
Columbia,740.9,0.568076,305.9,187.7,53013
Cowlitz,11865.3,0.461516,6258.1,2672.1,53015
Douglas,4568.3,0.655544,2053.4,1538.7,53017
Ferry,1316.8,0.556104,613.7,362.2,53019
Franklin,13961.3,0.650556,5468.0,3668.0,53021
Garfield,740.9,0.568076,305.9,187.7,53023
Grant,18023.3,0.555839,7465.7,4695.7,53025
Grays Harbor,7838.8,0.577389,4318.1,2729.5,53027
Island,7951.3,0.570566,4465.5,2897.5,53029
Jefferson,3991.8,0.620637,2538.2,1601.4,53031
King,183476.0,0.545581,93659.0,57710.0,53033
Kitsap,22109.0,0.502601,11235.0,6331.0,53035
Kittitas,10970.7,0.555839,4544.3,2858.3,53037
Klickitat,2884.9,0.522423,1392.8,761.2,53039
Lewis,10097.1,0.522423,4874.6,2664.4,53041
Lincoln,2963.5,0.568076,1223.6,750.7,53043
Mason,7092.2,0.577389,3906.9,2469.5,53045
Okanogan,5705.9,0.556104,2659.2,1569.8,53047
Pacific,4746.1,0.461516,2503.3,1068.8,53049
Pend Oreille,2194.6,0.556104,1022.8,603.8,53051
Pierce,74258.0,0.535659,34796.0,19983.0,53053
San Juan,2981.7,0.570566,1674.5,1086.5,53055
Skagit,7904.0,0.552379,5343.0,2988.0,53057
Skamania,2404.1,0.522423,1160.6,634.4,53059
Snohomish,70566.0,0.611527,30689.0,18596.0,53061
Spokane,63067.0,0.469976,33154.0,17885.0,53063
Stevens,6583.8,0.556104,3068.3,1811.2,53065
Thurston,17940.0,0.588462,10895.0,6850.0,53067
Wahkiakum,395.5,0.461516,208.6,89.1,53069
Walla Walla,5679.7,0.633999,2689.9,1709.0,53071
Whatcom,23396.0,0.50966,12561.0,7158.0,53073
Whitman,8890.5,0.568076,3670.8,2252.1,53075
Yakima,40563.0,0.443508,16122.0,8097.0,53077
