PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
20501,5572,11765,2032,3540,7459,56,0.6353194544149318,9698,6062,0.6250773355330996
20502,5888,14186,2496,3392,7785,46,0.5760869565217391,12134,7764,0.6398549530245591
20503,7689,20356,2473,5216,13300,62,0.6783716998309273,11778,7673,0.6514688402105621
20700,7301,16243,1830,5471,10648,69,0.7493494041912067,11816,8338,0.7056533513879485
20900,8307,13064,3066,5241,8108,114,0.6309136872517154,13702,9383,0.6847905415267844
21101,3795,8363,569,3226,6831,31,0.8500658761528327,7189,5335,0.7421059952705522
21102,3359,6044,950,2409,3682,29,0.7171777314676987,6501,5373,0.8264882325796031
21103,6564,13200,3208,3356,4906,54,0.5112736136502133,13498,7188,0.5325233367906357
21104,3516,5999,2014,1502,3057,32,0.4271899886234357,7523,4574,0.6080021268111125
21500,8970,17007,5140,3830,7849,99,0.4269788182831661,14922,8390,0.5622570700978421
22500,12010,28994,4456,7554,16116,98,0.6289758534554538,17859,12277,0.6874405061873565
22700,8225,14931,3026,5199,8621,123,0.63209726443769,14271,9685,0.6786490084787331
22900,6140,10933,2156,3984,6238,94,0.6488599348534202,9200,6147,0.6681521739130435
23301,5121,11212,1502,3619,7974,44,0.706697910564343,8072,5946,0.7366204162537165
23302,1942,2887,534,1408,1716,21,0.7250257466529351,2451,1865,0.7609139126886985
23303,6329,12336,1223,5106,8050,46,0.8067625217253911,8150,6457,0.7922699386503067
23304,5345,11230,1828,3517,6877,46,0.6579981290926099,7507,5556,0.7401092313840416
23305,3220,6259,718,2502,5444,31,0.7770186335403727,5137,3988,0.7763285964570761
23306,3542,11062,798,2744,7028,33,0.7747035573122529,5560,4405,0.7922661870503597
23307,5009,10216,1930,3079,6054,44,0.6146935516071073,10448,6355,0.6082503828483921
23308,7629,16862,4059,3570,7421,57,0.4679512386944554,11589,6215,0.5362844076279231
23309,6513,14405,3549,2964,5707,59,0.4550898203592814,12370,6628,0.5358124494745352
23310,6334,15834,2898,3436,6684,49,0.5424692137669719,11031,6938,0.6289547638473393
23311,5390,10661,2758,2632,3829,44,0.4883116883116883,8646,5364,0.6204024982650936
23312,3367,7352,1033,2334,3901,35,0.6931986931986932,5231,3587,0.6857197476581915
23313,5895,13869,3082,2813,4385,42,0.4771840542832909,7861,4555,0.5794428189797736
23314,8054,11831,3222,4832,7389,50,0.5999503352371492,11180,7572,0.6772808586762075
23315,6552,7947,2408,4144,5539,41,0.6324786324786325,8917,5988,0.6715262980823147
23316,2999,4371,1723,1276,2295,24,0.4254751583861287,4833,3018,0.6244568590937306
23317,6172,9320,921,5251,6571,57,0.8507777057679844,9968,9047,0.9076043338683788
23318,4246,5822,1763,2483,3237,30,0.5847856806406029,7189,5168,0.7188760606482125
23501,3834,7244,1123,2711,5435,50,0.707094418362024,6669,4938,0.7404408457040036
23502,7401,14865,3781,3620,5677,59,0.48912309147412514,10370,5821,0.5613307618129219
24100,7428,15386,3368,4060,8038,88,0.5465805061927841,13293,8581,0.6455277213571052
25301,5278,7197,2485,2793,3294,49,0.5291777188328912,7830,4376,0.5588761174968071
25302,5654,13334,3534,2120,4805,45,0.3749557835160948,9325,4361,0.4676675603217158
25303,2610,6310,570,2040,4841,35,0.7816091954022989,4105,3231,0.787088915956151
25304,3703,6523,518,3185,5321,36,0.8601134215500945,6353,5195,0.8177239099637966
25305,2183,3949,295,1888,3238,28,0.8648648648648649,6157,4563,0.7411076823128147
25306,4034,9415,1967,2067,5657,40,0.5123946455131383,7075,4132,0.5840282685512368
25307,8019,16249,4504,3515,6330,48,0.4383339568524754,12321,5491,0.4456618780943105
25308,3315,11281,940,2375,6291,33,0.7164404223227753,5717,4216,0.7374497113870911
25701,5343,7904,2355,2988,4366,113,0.5592363840539023,9668,6011,0.6217418287132809
26101,7248,16462,3627,3621,10185,70,0.4995860927152318,12503,6562,0.5248340398304407
26102,4404,10460,1370,3034,7161,52,0.6889191643960036,8962,7275,0.8117607676857844
26103,2438,5981,117,2321,5672,25,0.9520098441345365,5017,4583,0.9134941199920271
26104,4189,7211,1497,2692,4347,46,0.6426354738601098,6390,4184,0.654773082942097
26105,4569,14118,1420,3149,7797,26,0.6892098927555264,7529,5846,0.7764643378934786
26106,7841,16334,4062,3779,7991,48,0.48195383241933426,13575,8060,0.5937384898710866
26301,6414,13287,2680,3734,7462,55,0.5821640162145307,10035,5880,0.585949177877429
26302,7754,13383,3964,3790,5966,63,0.4887799845241166,14304,8310,0.5809563758389261
26303,11190,20383,4429,6761,10909,102,0.6042001787310098,18072,11123,0.6154825143868968
26304,7796,16014,4196,3600,5303,75,0.4617752693689071,15749,8592,0.5455584481554384
26500,7364,15801,3017,4347,8787,130,0.5903041825095057,15336,10503,0.6848591549295775
26701,3084,6292,901,2183,4475,34,0.7078469520103762,5429,4071,0.7498618530116044
26702,7811,11648,3144,4667,6082,58,0.5974907182178978,13563,8845,0.6521418565214185
27301,3891,8108,1013,2878,5011,64,0.7396556155230019,7119,5514,0.7745469869363675
27302,8670,15288,4390,4280,6913,64,0.4936562860438293,14803,9599,0.648449638586773
27500,9483,22967,3665,5818,13047,129,0.61351892860909,13903,8200,0.5898007624253758
27701,7089,21417,3447,3642,8934,89,0.5137537029200169,12453,6714,0.5391471934473621
27702,9033,19146,4578,4455,9056,66,0.49319163068747923,16094,9043,0.5618864172983721
