County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Adams,3840.8,0.534628,1876.0,1090.2,55001
Ashland,2899.8,0.581365,1547.7,918.5,55003
Barron,5618.7,0.736505,2510.7,1754.1,55005
Bayfield,2537.4,0.581365,1354.3,803.7,55007
Brown,23484.0,0.603347,13080.0,8426.0,55009
Buffalo,2391.8,0.6924,1141.1,835.5,55011
Burnett,2174.9,0.581365,1160.8,688.9,55013
Calumet,3293.9,0.541892,2083.2,1519.3,55015
Chippewa,5947.6,0.599518,2485.4,1449.8,55017
Clark,3745.8,0.736505,1673.8,1169.4,55019
Columbia,4544.7,0.596753,2386.4,1559.6,55021
Crawford,4800.0,0.626792,1818.2,1069.4,55023
Dane,51767.0,0.724264,27908.0,20349.0,55025
Dodge,7421.0,0.518504,3671.2,1959.0,55027
Door,3884.7,0.63039,2255.8,1521.9,55029
Douglas,5437.2,0.581365,2902.0,1722.3,55031
Dunn,2714.7,0.627087,1372.3,834.0,55033
Eau Claire,11506.8,0.476886,4510.0,2100.2,55035
Florence,1107.3,0.51174,568.4,299.1,55037
Fond du Lac,6887.1,0.541892,4355.8,3176.7,55039
Forest,1219.4,0.501093,668.0,356.4,55041
Grant,5359.3,0.653315,2795.0,1824.0,55043
Green,3572.9,0.653315,1863.3,1216.0,55045
Green Lake,3075.9,0.597156,1570.5,1028.9,55047
Iowa,2679.7,0.653315,1397.5,912.0,55049
Iron,1449.9,0.581365,773.9,459.3,55051
Jackson,2391.8,0.6924,1141.1,835.5,55053
Jefferson,7792.0,0.518504,3854.8,2057.0,55055
Juneau,6400.0,0.626792,2424.3,1425.9,55057
Kenosha,29232.0,0.307848,10164.0,4471.0,55059
Kewaunee,2330.8,0.63039,1353.5,913.2,55061
La Crosse,17742.0,0.618645,7886.0,5369.0,55063
Lafayette,2233.1,0.653315,1164.6,760.0,55065
Langlade,2133.9,0.501093,1169.0,623.8,55067
Lincoln,3048.4,0.501093,1670.0,891.1,55069
Manitowoc,7769.4,0.63039,4511.7,3043.9,55071
Marathon,18152.0,0.402655,6988.0,3455.0,55073
Marinette,4798.2,0.51174,2462.9,1296.0,55075
Marquette,2563.2,0.597156,1308.7,857.4,55077
Menominee,1107.3,0.51174,568.4,299.1,55078
Milwaukee,155675.0,0.396037,73120.0,35456.0,55079
Monroe,7200.0,0.626792,2727.3,1604.1,55081
Oconto,4429.1,0.51174,2273.4,1196.3,55083
Oneida,4877.5,0.501093,2672.0,1425.8,55085
Outagamie,17862.0,0.548035,8138.0,5139.0,55087
Ozaukee,7253.7,0.582152,4290.0,3106.2,55089
Pepin,956.7,0.6924,456.4,334.2,55091
Pierce,3826.9,0.6924,1825.7,1336.9,55093
Polk,6555.2,0.736505,2929.1,2046.4,55095
Portage,7201.5,0.534628,3517.5,2044.1,55097
Price,2174.9,0.581365,1160.8,688.9,55099
Racine,14914.0,0.666488,8157.0,5531.0,55101
Richland,2233.1,0.653315,1164.6,760.0,55103
Rock,24433.0,0.291491,9229.0,3923.0,55105
Rusk,1812.4,0.581365,967.3,574.1,55107
St. Croix,5429.3,0.627087,2744.7,1668.0,55109
Sauk,8390.3,0.596753,4405.6,2879.4,55111
Sawyer,2899.8,0.581365,1547.7,918.5,55113
Shawano,4060.0,0.51174,2084.0,1096.6,55115
Sheboygan,15325.0,0.515563,5053.0,2714.0,55117
Taylor,2174.9,0.581365,1160.8,688.9,55119
Trempealeau,3826.9,0.6924,1825.7,1336.9,55121
Vernon,5600.0,0.626792,2121.2,1247.6,55123
Vilas,2438.8,0.501093,1336.0,712.9,55125
Walworth,12961.0,0.727722,6275.0,5179.0,55127
Washburn,2174.9,0.581365,1160.8,688.9,55129
Washington,9891.3,0.582152,5850.0,4235.8,55131
Waukesha,25037.0,0.783441,15399.0,12192.0,55133
Waupaca,6151.7,0.597156,3140.9,2057.8,55135
Waushara,4101.2,0.597156,2093.9,1371.9,55137
Winnebago,19483.0,0.332752,9925.0,4584.0,55139
Wood,8161.7,0.534628,3986.5,2316.7,55141
