PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,13736,25736,5584,8152,14962,305,0.5934769947582994,22852,15428,0.6751269035532995
00200,7515,13718,3505,4010,6874,118,0.5335994677312043,15137,9461,0.6250247737332364
00300,7957,15502,3770,4187,7933,142,0.5262033429684555,15774,10567,0.6698998351718017
00400,8138,17862,2999,5139,9789,60,0.6314819365937577,14291,10893,0.7622279756490099
00501,7133,12006,3370,3763,5498,34,0.5275480162624422,15589,10000,0.6414779652318943
00502,5947,11478,1284,4663,8671,41,0.7840928199091979,12308,8513,0.69166395840104
00600,8121,13985,2642,5479,8816,74,0.674670607068095,13694,10236,0.7474806484591792
00700,5053,15325,2339,2714,7901,38,0.5371066693053631,8980,6052,0.6739420935412027
00800,6439,10181,1743,4696,5517,63,0.7293057928249729,14493,10622,0.7329055406058097
00900,9925,19483,5341,4584,6483,60,0.4618639798488665,18234,10314,0.5656465942744324
01000,8114,15892,2798,5316,9490,134,0.6551639142223318,13600,9487,0.6975735294117648
01100,9380,19204,3929,5451,10267,118,0.5811300639658848,16773,10286,0.6132474810707685
01200,6988,18152,3533,3455,7309,67,0.49441900400686895,13470,9220,0.6844840386043058
01300,8369,18729,2522,5847,13794,182,0.6986497789461107,15267,11818,0.7740879020108731
01400,5740,14645,3067,2673,6984,40,0.4656794425087108,9458,5236,0.5536054134066399
01500,4117,8144,1615,2502,5107,57,0.6077240709254311,7947,5229,0.6579841449603624
01600,6390,13394,1711,4679,9274,126,0.7322378716744914,12995,10002,0.7696806464024625
01700,7886,17742,2517,5369,10976,38,0.6808267816383464,13020,9926,0.7623655913978494
01800,9091,24000,3744,5347,15043,176,0.5881641183588164,14769,9959,0.6743178278827273
01900,8385,16078,2913,5472,10504,158,0.6525939177101968,14432,10897,0.7550582039911308
02000,6792,12935,2353,4439,7719,84,0.6535630153121319,11138,8102,0.7274196444604059
02101,12807,23617,1361,11446,22035,50,0.8937299914109471,18774,16007,0.852615319058272
02102,7132,12275,3175,3957,6470,37,0.554823331463825,13719,8033,0.5855383045411473
02103,3036,4856,667,2369,4189,16,0.7803030303030303,3831,3143,0.82041242495432
02104,2456,6374,1567,889,1904,16,0.36197068403908794,6391,3911,0.6119543107494915
02105,2477,4645,789,1688,2895,35,0.6814695195801372,5669,4752,0.838243076380314
02200,9229,24433,5306,3923,7122,60,0.42507313901831184,15142,7909,0.5223220182274468
02300,7526,15213,3510,4016,7888,79,0.5336167951102844,13551,9228,0.6809829532875803
02400,6275,12961,1096,5179,9432,52,0.8253386454183267,9996,8496,0.8499399759903962
02501,3216,5655,868,2348,3720,18,0.7300995024875622,6072,4695,0.7732213438735178
02502,6648,10325,1799,4849,7856,33,0.7293922984356197,10073,7698,0.7642211853469671
02503,5535,9057,540,4995,8039,36,0.9024390243902439,9905,8967,0.9053003533568904
02600,10140,17145,2798,7342,9981,56,0.7240631163708087,18168,14650,0.806362835755174
02801,9616,25116,6074,3542,7776,42,0.3683444259567388,15630,7379,0.47210492642354446
02802,6417,10412,2008,4409,6541,37,0.6870811905875019,11404,8637,0.7573658365485795
02803,13364,26442,8881,4483,6791,69,0.33545345704878776,18413,8528,0.463151034595123
02804,8645,19218,4963,3682,6351,36,0.42591093117408907,14959,7185,0.4803128551373755
02805,9717,28186,5735,3982,11871,48,0.4097972625295873,15717,7444,0.473627282560285
02806,7973,19198,4455,3518,4999,45,0.4412391822400602,12616,6306,0.4998414711477489
02807,12251,19447,4442,7809,11870,63,0.6374173536854134,17775,12428,0.6991842475386779
02808,5137,7656,1106,4031,5454,28,0.7846992408020246,8955,6722,0.7506420993858179
02900,8157,14914,2626,5531,9940,44,0.6780679171263945,18098,11271,0.6227759973477732
03000,10164,29232,5693,4471,8999,45,0.4398858717040535,15177,8687,0.5723792580878961
