County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Barbour,2522.8,0.456009,1155.6,567.1,54001
Berkeley,11726.6,0.569922,5720.6,3173.3,54003
Boone,6492.1,0.402465,2917.3,1266.4,54005
Braxton,2078.4,0.40718,986.2,540.4,54007
Brooke,3940.5,0.319476,1951.3,870.2,54009
Cabell,17783.9,0.353257,8594.9,3942.7,54011
Calhoun,1385.6,0.40718,657.5,360.3,54013
Clay,2078.4,0.40718,986.2,540.4,54015
Doddridge,1273.2,0.47574,591.3,290.5,54017
Fayette,8552.7,0.478695,3780.8,1717.3,54019
Gilmer,2078.4,0.40718,986.2,540.4,54021
Grant,1926.9,0.473511,847.8,380.6,54023
Greenbrier,7191.9,0.387671,3627.6,1571.0,54025
Hampshire,5780.8,0.473511,2543.2,1141.8,54027
Hancock,3940.5,0.319476,1951.3,870.2,54029
Hardy,3211.5,0.473511,1412.9,634.3,54031
Harrison,15767.6,0.456009,7222.5,3544.6,54033
Jackson,4849.6,0.40718,2301.2,1260.9,54035
Jefferson,6765.4,0.569922,3300.4,1830.7,54037
Kanawha,28663.0,0.375432,15904.0,7480.0,54039
Lewis,3153.5,0.456009,1444.5,708.9,54041
Lincoln,4869.1,0.402465,2188.0,949.8,54043
Logan,8115.2,0.402465,3646.6,1583.0,54045
McDowell,6492.1,0.402465,2917.3,1266.4,54047
Marion,10548.3,0.583748,5664.8,3718.4,54049
Marshall,4925.7,0.319476,2439.1,1087.7,54051
Mason,3661.4,0.353257,1769.5,811.7,54053
Mercer,11507.0,0.387671,5804.2,2513.5,54055
Mineral,4496.1,0.473511,1978.1,888.0,54057
Mingo,5680.6,0.402465,2552.6,1108.1,54059
Monongalia,14064.4,0.583748,7553.0,4957.9,54061
Monroe,2157.6,0.387671,1088.3,471.3,54063
Morgan,3853.8,0.473511,1695.5,761.2,54065
Nicholas,5542.5,0.40718,2629.9,1441.0,54067
Ohio,8866.2,0.319476,4390.4,1957.9,54069
Pendleton,1926.9,0.473511,847.8,380.6,54071
Pleasants,1273.2,0.47574,591.3,290.5,54073
Pocahontas,3596.0,0.387671,1813.8,785.5,54075
Preston,5525.3,0.583748,2967.2,1947.7,54077
Putnam,6276.7,0.353257,3033.5,1391.5,54079
Raleigh,11184.3,0.478695,4944.2,2245.7,54081
Randolph,4414.9,0.456009,2022.3,992.5,54083
Ritchie,1909.9,0.47574,887.0,435.7,54085
Roane,3464.0,0.40718,1643.7,900.6,54087
Summers,2876.8,0.387671,1451.0,628.4,54089
Taylor,2522.8,0.456009,1155.6,567.1,54091
Tucker,1926.9,0.473511,847.8,380.6,54093
Tyler,1909.9,0.47574,887.0,435.7,54095
Upshur,3784.2,0.456009,1733.4,850.7,54097
Wayne,8926.7,0.402465,4011.3,1741.3,54099
Webster,2876.8,0.387671,1451.0,628.4,54101
Wetzel,3183.1,0.47574,1478.3,726.2,54103
Wirt,1273.2,0.47574,591.3,290.5,54105
Wood,17825.4,0.47574,8278.7,4066.8,54107
Wyoming,4869.1,0.402465,2188.0,949.8,54109
