PUMA,eligible_hh,eligible_persons,snap_hh,no_snap_hh,no_snap_persons,n_sample,non_enroll_rate,eligible_hh_200fpl,no_snap_hh_200fpl,non_enroll_rate_200fpl
00100,10732,21673,5946,4786,6924,124,0.4459560193812896,19076,10842,0.5683581463619207
00200,13305,28648,6769,6536,13629,157,0.49124389327320556,21248,13200,0.6212349397590361
00300,16185,30138,5561,10624,17593,173,0.6564102564102564,26039,18770,0.7208418142017743
00400,9021,18492,4017,5004,10539,83,0.5547056867309611,15930,9975,0.6261770244821092
00500,10173,23123,5606,4567,10949,113,0.4489334512926374,16710,9718,0.5815679233991622
00600,14734,32166,7503,7231,14668,156,0.4907696484321976,24720,14976,0.6058252427184466
00700,10191,21477,4607,5584,8745,108,0.5479344519674222,18564,11445,0.6165158371040724
00800,13398,27722,7252,6146,9793,120,0.4587251828631139,23781,13979,0.5878222110087885
00900,15904,28663,8424,7480,10761,160,0.4703219315895372,25816,15296,0.592500774713356
01000,8725,19737,4762,3963,9448,72,0.45421203438395413,16123,9374,0.5814054456366681
01100,15236,30206,8638,6598,11710,145,0.43305329482803884,26753,16285,0.6087167794266064
01200,20421,45445,11556,8865,18290,182,0.43411194358748345,31376,16485,0.5254015808261091
