County,eligible_pop,non_enroll_rate,eligible_hh,no_snap_hh,county_fips
Albany,5800.8,0.756993,3084.4,2546.5,56001
Big Horn,1092.9,0.781732,588.8,508.1,56003
Campbell,5603.6,0.797451,2512.1,2062.9,56005
Carbon,2636.8,0.756993,1402.0,1157.5,56007
Converse,2109.4,0.756993,1121.6,926.0,56009
Crook,1120.7,0.797451,502.4,412.6,56011
Fremont,5937.3,0.706378,2593.3,1946.0,56013
Goshen,2241.4,0.797451,1004.9,825.1,56015
Hot Springs,989.6,0.706378,432.2,324.3,56017
Johnson,1681.1,0.797451,753.6,618.9,56019
Laramie,13288.0,0.840006,4840.0,4173.0,56021
Lincoln,1821.6,0.781732,981.4,846.9,56023
Natrona,10547.0,0.756993,5608.0,4630.0,56025
Niobrara,560.4,0.797451,251.2,206.3,56027
Park,2550.2,0.781732,1373.9,1185.7,56029
Platte,1681.1,0.797451,753.6,618.9,56031
Sheridan,2550.2,0.781732,1373.9,1185.7,56033
Sublette,1484.3,0.706378,648.3,486.5,56035
Sweetwater,6432.1,0.706378,2809.4,2108.2,56037
Teton,2550.2,0.781732,1373.9,1185.7,56039
Uinta,2968.7,0.706378,1296.7,973.0,56041
Washakie,1681.1,0.797451,753.6,618.9,56043
Weston,1120.7,0.797451,502.4,412.6,56045
