"citation","section","topic","heading","summary","household_types_affected","civica_relevance","key_quote"
"7 CFR §273.9","273.9","income and deductions (section-level)","Income and deductions","Top-level section governing what counts as income, what is excluded, and what deductions apply when determining SNAP eligibility and benefit level.","all","HIGH",""
"7 CFR §273.9(a)","273.9","eligibility standards","Income eligibility standards","Establishes gross- and net-income tests as a precondition for participation. Households with elderly/disabled members must meet only net; other households must meet both gross and net; categorically eligible households are exempt from both.","all","HIGH","""Households which contain an elderly or disabled member shall meet the net income eligibility standards for SNAP."""
"7 CFR §273.9(a)(1)","273.9","eligibility standards","Gross income eligibility standards","Gross income limit is set at 130% of the Federal poverty level, with separate scales for the 48 contiguous states/DC/Guam/USVI, Alaska, and Hawaii.","all","HIGH","""shall be 130 percent of the Federal income poverty levels"""
"7 CFR §273.9(a)(1)(i)","273.9","eligibility standards","Gross income standard, 48 states / DC / Guam / USVI","130% of the federal poverty guidelines for the 48 states and DC applies to those jurisdictions plus Guam and the Virgin Islands.","all","MEDIUM",""
"7 CFR §273.9(a)(1)(ii)","273.9","eligibility standards","Gross income standard, Alaska","130% of the Alaska federal poverty levels applies in Alaska.","all","LOW",""
"7 CFR §273.9(a)(1)(iii)","273.9","eligibility standards","Gross income standard, Hawaii","130% of the Hawaii federal poverty levels applies in Hawaii.","all","LOW",""
"7 CFR §273.9(a)(2)","273.9","eligibility standards","Net income eligibility standards","Net income limit equals the Federal poverty guidelines, set separately for the 48 contiguous states/DC/Guam/USVI, Alaska, and Hawaii.","all","HIGH","""shall be the Federal income poverty levels"""
"7 CFR §273.9(a)(3)","273.9","eligibility standards","Annual October 1 update of income limits","Both gross and net income standards are revised every October 1 to reflect annual updates to the federal poverty guidelines, with monthly amounts derived by dividing the annual figure by 12 and rounding up.","all","MEDIUM","""are revised each October 1"""
"7 CFR §273.9(a)(4)","273.9","eligibility standards","Publication of monthly income standards","The monthly gross and net income standards are published in tables on the FNS web site rather than in the regulation itself.","all","LOW",""
"7 CFR §273.9(b)","273.9","income inclusion","Definition of income","Household income means all income from whatever source, excluding only the items specifically listed as exclusions in 273.9(c). This is the master inclusion rule.","all","HIGH","""Household income shall mean all income from whatever source excluding only items specified in paragraph (c) of this section."""
"7 CFR §273.9(b)(1)","273.9","earned income","Earned income (umbrella)","Defines the categories of receipts that count as earned income (wages, self-employment, training allowances, certain volunteer pay, on-the-job training under WIA, and work-study above exclusion threshold).","all earned-income households","HIGH",""
"7 CFR §273.9(b)(1)(i)","273.9","earned income","Wages and salaries of employees","All wages and salaries paid to an employee are earned income. Civica's W-2/paystub workers map directly to this clause.","tipped workers, cash-paid workers, all earned-income households","HIGH","""All wages and salaries of an employee."""
"7 CFR §273.9(b)(1)(ii)","273.9","self-employment income","Gross self-employment income; rental as self-employment; boarders","Gross income from a self-employment enterprise (less costs of producing income per 273.9(c)) counts as earned income. Rental income is self-employment only if a household member actively manages it at least 20 hours/week. Boarder payments (other than foster boarders) count as self-employment income.","gig/contract workers, self-employed (non-farm), self-employed (farm)","HIGH","""The gross income from a self-employment enterprise, including the total gain from the sale of any capital goods or equipment related to the business, excluding the costs of doing business"""
