USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AZ	04001	00025441	Apache County	29003497251	54139714	11198.313	20.903	35.385084	-109.490172                                                                                                             
AZ	04003	00025442	Cochise County	16083471945	17648749	6209.863	6.814	31.840129	-109.775163                                                                                                              
AZ	04005	00025443	Coconino County	48216132682	116637123	18616.354	45.034	35.829692	-111.773728                                                                                                          
AZ	04007	00040471	Gila County	12322068647	96466819	4757.578	37.246	33.789618	-110.81187                                                                                                                 
AZ	04009	00025444	Graham County	11970605959	47476264	4621.877	18.331	32.931828	-109.87831                                                                                                               
AZ	04011	00042807	Greenlee County	4772927116	11947401	1842.838	4.613	33.238872	-109.242323                                                                                                              
AZ	04012	00043540	La Paz County	11646086556	36514346	4496.579	14.098	33.72761	-114.038806                                                                                                               
AZ	04013	00037026	Maricopa County	23833110838	62124435	9202.016	23.986	33.345176	-112.49893                                                                                                             
AZ	04015	00025445	Mohave County	34530024142	333399390	13332.117	128.726	35.717705	-113.749689                                                                                                           
AZ	04017	00042808	Navajo County	25769065747	24121095	9949.492	9.313	35.390785	-110.321025                                                                                                               
AZ	04019	00025446	Pima County	23798578895	5112015	9188.683	1.974	32.128038	-111.783657                                                                                                                  
AZ	04021	00025447	Pinal County	13899613086	20747212	5366.671	8.011	32.918521	-111.366339                                                                                                                
AZ	04023	00040472	Santa Cruz County	3201899628	3068237	1236.26	1.185	31.525733	-110.845228                                                                                                              
AZ	04025	00042809	Yavapai County	21038297493	11358280	8122.932	4.385	34.631071	-112.577225                                                                                                              
AZ	04027	00023901	Yuma County	14280726749	13242852	5513.82	5.113	32.773942	-113.910905                                                                                                                  
AR	05001	00063755	Arkansas County	2569631425	120698186	992.14	46.602	34.28957	-91.376547                                                                                                                
AR	05003	00063756	Ashley County	2397012344	38656004	925.492	14.925	33.190835	-91.772267                                                                                                                 
AR	05005	00069895	Baxter County	1434675033	84916246	553.931	32.786	36.280268	-92.329949                                                                                                                 
AR	05007	00069896	Benton County	2195617603	94872357	847.733	36.63	36.337819	-94.256298                                                                                                                  
AR	05009	00069897	Boone County	1527375316	31797985	589.723	12.277	36.304299	-93.079236                                                                                                                  
AR	05011	00063757	Bradley County	1681335016	9505606	649.167	3.67	33.466549	-92.169156                                                                                                                   
AR	05013	00063758	Calhoun County	1628067843	9887802	628.601	3.818	33.56046	-92.513879                                                                                                                   
AR	05015	00066975	Carroll County	1631504871	22715757	629.928	8.771	36.33737	-93.540972                                                                                                                  
AR	05017	00069160	Chicot County	1649764401	140413175	636.978	54.214	33.267139	-91.297158                                                                                                                
AR	05019	00066845	Clark County	2242855171	43965580	865.971	16.975	34.053316	-93.176208                                                                                                                  
AR	05021	00063759	Clay County	1655581941	5497697	639.224	2.123	36.367302	-90.418704                                                                                                                     
AR	05023	00066983	Cleburne County	1434747668	98885396	553.959	38.18	35.593628	-92.008898                                                                                                                
AR	05025	00063760	Cleveland County	1548580962	2561701	597.91	0.989	33.893201	-92.188714                                                                                                                 
AR	05027	00063761	Columbia County	1984098878	1985830	766.065	0.767	33.223038	-93.232843                                                                                                                 
AR	05029	00066846	Conway County	1429458630	37757457	551.917	14.578	35.26569	-92.689249                                                                                                                  
AR	05031	00066847	Craighead County	1831541697	14320048	707.162	5.529	35.827729	-90.631421                                                                                                               
AR	05033	00069161	Crawford County	1541738662	26917846	595.269	10.393	35.582959	-94.236193                                                                                                               
AR	05035	00069162	Crittenden County	1587312632	81689126	612.865	31.54	35.197559	-90.30512                                                                                                               
