election_id,election_date,state,jurisdiction_level,jurisdiction_name,office_or_issue,district_name,district_number,election_type,voter_facing,votenow_location_string,search_tokens,source_name,source_url,verification_status,verification_notes,last_verified_at,anomaly_flag
5229f810-b4bd-4825-820f-f12e2a82a203,2026-02-24,ME,state_legislative_district,Maine House of Representatives District 94,Special general election for Maine House of Representatives District 94,Maine House of Representatives District 94,94,special_general,Y,"Maine House of Representatives District 94, ME","maine,house,of,representatives,district,94,me",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
709c3263-a2b9-4d3b-a054-e288d2acd5e3,2026-02-24,PA,state_legislative_district,Pennsylvania House of Representatives District 22,Special election for Pennsylvania House of Representatives District 22,Pennsylvania House of Representatives District 22,22,special_general,Y,"Pennsylvania House of Representatives District 22, PA","pennsylvania,house,of,representatives,district,22,pa",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
8032392b-e89a-4644-85a0-f96d23efbc87,2026-02-24,PA,state_legislative_district,Pennsylvania House of Representatives District 42,Special election for Pennsylvania House of Representatives District 42,Pennsylvania House of Representatives District 42,42,special_general,Y,"Pennsylvania House of Representatives District 42, PA","pennsylvania,house,of,representatives,district,42,pa",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
43414558-d48d-4b9a-a6aa-bb71afef1df0,2026-03-03,AR,state_legislative_district,Arkansas House of Representatives District 70,Special general election for Arkansas House of Representatives District 70,Arkansas House of Representatives District 70,70,special_general,Y,"Arkansas House of Representatives District 70, AR","arkansas,house,of,representatives,district,70,ar",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
18eab97c-7601-4379-b118-d04ec591aaf0,2026-03-03,AR,state_legislative_district,Arkansas State Senate District 26,Special general election for Arkansas State Senate District 26,Arkansas State Senate District 26,26,special_general,Y,"Arkansas State Senate District 26, AR","arkansas,state,senate,district,26,ar",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
9fe04f8d-1dd2-4dc0-84c1-bba519e83a4e,2026-03-03,AR,recall,Deer-Mount Judea School District,Recall election,Deer-Mount Judea School District,,recall,Y,"Deer-Mount Judea School District, AR","deer,mount,judea,school,district,arkansas,ar",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
fba19156-6368-4c2d-a2f1-f631e6911827,2026-03-03,AR,statewide,Statewide,Arkansas statewide nonpartisan general election,Arkansas,,general,Y,AR Statewide,"statewide,arkansas,ar",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source | Ambiguous statewide listing retained for review | Unusual statewide general timing,,True
446bf610-f181-4a99-a719-b90878645228,2026-03-03,AR,statewide,Statewide,Arkansas statewide primary election,Arkansas statewide primary election,,primary,Y,AR Statewide,"statewide,arkansas,ar",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
e5944a31-cdfd-4a25-b93a-26f1b0bf79ce,2026-03-03,KS,city,Wichita,Special election,Wichita,,special_general,Y,"Wichita, KS","wichita,kansas,ks",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
c2ba8a85-d0ba-46c5-a21a-abad4daeb83c,2026-03-03,MA,special_district,Massachusetts House of Representatives 5th Essex District,Special primary election for Massachusetts House of Representatives 5th Essex District,Massachusetts House of Representatives 5th Essex District,,special_primary,Y,"Massachusetts House of Representatives 5th Essex District, MA","massachusetts,house,of,representatives,5th,essex,district,ma",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
fbd90de4-8f3d-4d88-83b6-1314c4f316c5,2026-03-03,MA,special_district,Massachusetts State Senate 1st Middlesex District,Massachusetts State Senate 1st Middlesex District special general election,Massachusetts State Senate 1st Middlesex District,,special_general,Y,"Massachusetts State Senate 1st Middlesex District, MA","massachusetts,state,senate,1st,middlesex,district,ma",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
75c833fd-ccfc-419b-9350-1ec2edd07a51,2026-03-03,NC,school_district,Durham Public Schools,Durham Public Schools general election,Durham Public Schools,,general,Y,"Durham Public Schools, NC","durham,public,schools,north,carolina,nc",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
1b1c1b7a-a8d2-4130-aad9-58c53cba0837,2026-03-03,NC,statewide,Statewide,North Carolina statewide primary election,North Carolina statewide primary election,,primary,Y,NC Statewide,"statewide,north,carolina,nc",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
a0f0bfb7-8d3f-4261-ae63-2b5ce65b114c,2026-03-03,TX,county,Harris County,Harris county attorney special primary,Harris County,,special_primary,Y,"Harris County, TX","harris,county,texas,tx",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
fbeac627-4a7e-4c2f-9a72-1207e0a796d5,2026-03-03,TX,statewide,Statewide,Texas statewide primary election,Texas statewide primary election,,primary,Y,TX Statewide,"statewide,texas,tx",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
28707833-f055-485d-9bf0-6bd2e4e4295b,2026-03-03,TX,judicial_district,Texas Appellate Court District 1,Special primary election for Texas First District Court of Appeals Place 4,Texas Appellate Court District 1,1,special_primary,Y,"Texas Appellate Court District 1, TX","texas,appellate,court,district,1,tx",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
d319b891-48a3-46d0-8b36-ee894e25a126,2026-03-03,TX,judicial_district,Texas Appellate Court District 12,Special primary election for Texas Twelfth District Court of Appeals Place 3,Texas Appellate Court District 12,12,special_primary,Y,"Texas Appellate Court District 12, TX","texas,appellate,court,district,12,tx",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
5552b933-916e-4f85-addd-9ec4f1a8b0df,2026-03-03,TX,county,Travis County Constable-Justice of the Peace District 4,Special primary election for Travis County Constable District 4,Travis County Constable-Justice of the Peace District 4,4,special_primary,Y,"Travis County Constable-Justice of the Peace District 4, TX","travis,county,constable,justice,of,the,peace,district,4,texas,tx",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
c06e8043-c9ca-480b-b09c-d1ceaf8c8527,2026-03-03,VA,county,Fairfax County School Board Braddock District,Special election for Fairfax County Public School Board Braddock District,Fairfax County School Board Braddock District,,special_general,Y,"Fairfax County School Board Braddock District, VA","fairfax,county,school,board,braddock,district,virginia,va",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
e16fdc12-2e1a-478d-a229-90804c8dca2c,2026-03-03,VT,city,Montpelier,Montpelier general election,Montpelier,,general,Y,"Montpelier, VT","montpelier,vermont,vt",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
9e81a11e-7b85-42fe-862b-c55bf265ab1b,2026-03-10,AZ,county,Pima County,"Pima County, Arizona, special election March 2026",Pima County,,special_general,Y,"Pima County, AZ","pima,county,arizona,az",Ballotpedia Elections Calendar,https://ballotpedia.org/Elections_calendar,needs_official_verification,Source: Ballotpedia calendar — requires confirmation with official state source,,False
